,Open,High,Low,Close,Volume,Change,com_name,com_code,vol_mean_60,vol_std_60,vol_bolin_check,mean_60,std_60,bolin_check,inverse_hammer_candle,high_246,ma_5,vel_5,ma_20,vel_20,ma_60,vel_60,earning_max_20,earning_min_20,golden_cross,pump_date,pmp_close_max_date_20,pmp_close_max_from_date_20,dump_date,pmp_Open,pmp_High,pmp_Low,pmp_Close,pmp_Volume,pmp_Change,pmp_high_246,pmp_ma_5,pmp_vel_5,pmp_ma_20,pmp_vel_20,pmp_ma_60,pmp_vel_60,pmp_earning_max_20,pmp_earning_min_20,dump_period,trading_value,average_price,average_price_to_Close
1,76300,80200,76200,79300,182663,0.04617414248021112,롯데쇼핑,023530,51654.316666666666,31204.455207490402,True,72448.33333333333,2069.6754569841232,True,-70.96774193548387,102000.0,75500.0,1220.0,72175.0,340.0,72448.33333333333,110.0,,,False,2023-11-27,No pmp,No pmp,2023-11-08,79200.0,80800.0,79000.0,80700.0,51307.0,0.018939393939394034,102000.0,79860.0,300.0,77565.0,435.0,73936.66666666667,143.33333333334303,,,19,14405805600,78865.48233632428,-0.5
0,14740,15270,14590,14960,824752,0.014925373134328401,HDC현대산업개발,294870,249153.86666666667,187881.00351412344,True,11138.166666666666,1355.270304726012,True,-16.216216216216218,14850.0,14274.0,320.0,12811.5,210.5,11138.166666666666,80.66666666666606,,,False,2023-11-27,No pmp,No pmp,2023-11-22,15220.0,15390.0,15000.0,15270.0,444043.0,0.013271400132714106,15270.0,14952.0,262.0,13358.0,188.0,11379.333333333334,83.66666666666788,,,5,12380223990,15010.844459910373,0.3
3,20600,21000,20100,20450,313295,-0.007281553398058249,대상,001680,97267.9,42143.74483883187,True,18681.5,759.9996097226312,True,-20.0,23050.0,20186.0,114.0,19586.5,73.5,18681.5,47.83333333333212,,,False,2023-11-27,No pmp,No pmp,2023-11-07,20650.0,21750.0,20600.0,21050.0,928420.0,0.031862745098039325,23050.0,20550.0,130.0,20348.0,69.5,19253.833333333332,46.66666666666424,,,20,6438647950,20551.390702053974,0.5
9,4910,5880,4880,5170,27056075,0.09766454352441611,국제약품,002720,2308057.066666667,8000556.662703695,True,4138.083333333333,465.8026530429975,True,144.82758620689654,6704.0,4914.0,20.0,4409.5,74.0,4138.083333333333,19.33333333333303,,,False,2023-11-27,No pmp,No pmp,2023-11-07,5070.0,6090.0,4890.0,5950.0,9533084.0,0.26326963906581735,6704.0,5019.0,215.0,5099.5,30.5,4388.833333333333,30.83333333333303,,,20,145969581305,5395.076015460483,4.4
0,65500,74100,65300,70700,172306,0.10468750000000004,툴젠,199800,15508.483333333334,11242.162454831476,True,65345.0,2857.901624428619,True,-37.03703703703704,166500.0,65480.0,1160.0,67065.0,55.0,65345.0,105.0,-0.4243281471004243,-15.841584158415841,False,2023-11-27,No pmp,No pmp,2022-08-04,65400.0,76400.0,65300.0,75500.0,254175.0,0.17601246105919,73200.0,65700.0,2500.0,51120.0,2077.5,39664.166666666664,666.6666666666642,,,480,12195891900,70780.42494167354,0.1
3,70000,74700,68100,69900,114550,-0.011315417256011262,툴젠,199800,18026.6,23153.571061979226,True,65436.666666666664,2914.7181546249776,True,147.36842105263156,166500.0,66600.0,1120.0,67035.0,-30.0,65436.666666666664,91.66666666666424,0.7153075822603719,-16.88125894134478,False,2023-11-27,No pmp,No pmp,2022-08-05,65400.0,76400.0,65300.0,75500.0,254175.0,0.17601246105919,73200.0,65700.0,2500.0,51120.0,2077.5,39664.166666666664,666.6666666666642,,,479,8197482700,71562.48537756439,2.4
1,64600,69000,61000,63000,717810,0.01941747572815533,툴젠,199800,73848.05,141083.9013295049,True,37187.5,7508.879630483137,True,22.22222222222222,67900.0,53670.0,2460.0,42007.5,1815.0,37187.5,454.16666666666424,,,False,2023-11-27,No pmp,No pmp,2023-11-20,65400.0,76400.0,65300.0,75500.0,254175.0,0.17601246105919,73200.0,65700.0,2500.0,51120.0,2077.5,39664.166666666664,666.6666666666642,,,7,46476132400,64747.12305484738,2.8
11,5680,6000,5550,5660,9287606,0.005328596802841812,우리기술투자,041190,1239976.45,2321833.108305639,True,4355.0,427.2309342575064,True,146.15384615384613,10200.0,5022.0,233.0,4246.25,96.25,4355.0,20.16666666666697,1.2367491166077738,-19.52296819787986,False,2023-11-27,No pmp,No pmp,2023-01-26,5820.0,6190.0,5780.0,6010.0,4657988.0,0.045217391304347876,6040.0,5688.0,108.0,5097.25,81.75,3992.0833333333335,42.833333333333485,,,305,53539373790,5764.6043329142085,1.8
2,8830,10310,8720,10130,5754834,0.15507411630558732,NHN KCP,060250,162709.13333333333,184639.27077793397,True,8522.166666666666,430.88828890326766,True,-87.2340425531915,15550.0,9014.0,324.0,8711.0,101.0,8522.166666666666,21.83333333333212,,,False,2023-11-27,No pmp,No pmp,2023-11-24,10130.0,11820.0,10130.0,11150.0,5552406.0,0.10069101678183623,15550.0,9504.0,490.0,8863.0,152.0,8559.166666666666,37.0,,,3,56776366400,9865.856495600046,-2.6
4,25700,28000,25700,27650,1430587,0.0737864077669903,에이디테크놀로지,200710,352978.4166666667,289118.9323530366,True,23457.5,1495.213408043653,True,-82.05128205128204,29300.0,25820.0,650.0,24555.0,222.5,23457.5,106.66666666666788,,,False,2023-11-27,No pmp,No pmp,2023-11-24,27950.0,29850.0,27850.0,29500.0,2060844.0,0.06690777576853524,29300.0,26770.0,950.0,24862.5,307.5,23597.5,140.0,,,3,39183573350,27389.856995764676,-0.9
