포착일,종목
2023-09-15,진양폴리
2023-09-15,교보11호스팩
2023-09-18,씨씨에스
2023-09-19,KR모터스
2023-09-20,SK디스커버리우
2023-09-21,아센디오
2023-09-21,진양산업
2023-09-21,씨씨에스
2023-09-22,스타리츠
2023-09-22,케이엠
2023-09-25,현대리바트
2023-09-25,KISCO홀딩스
2023-09-26,스타리츠
2023-09-27,KR모터스
2023-09-27,KISCO홀딩스
2023-09-27,씨씨에스
2023-10-04,삼보산업
2023-10-06,삼보산업
2023-10-06,종근당
2023-10-10,솔고바이오
2023-10-10,시공테크
2023-10-10,카스
2023-10-10,텔코웨어
2023-10-11,SH에너지화학
2023-10-11,대성에너지
2023-10-12,대림B&Co
2023-10-12,오스템
2023-10-12,나노캠텍
2023-10-12,보령
2023-10-13,SH에너지화학
2023-10-13,나노캠텍
2023-10-13,대성에너지
2023-10-13,제이엠티
2023-10-16,경동도시가스
2023-10-17,비즈니스온
2023-10-18,SK가스
2023-10-23,지엔코
2023-10-24,제이엠티
2023-10-25,HK이노엔
2023-10-26,지엘팜텍
2023-10-27,SNT다이내믹스
2023-10-27,삼보산업
2023-10-30,극동유화
2023-10-30,SNT다이내믹스
2023-10-30,미래에셋생명
2023-10-30,오스템
2023-10-30,시공테크
2023-10-30,유니드
2023-11-01,오스템
2023-11-01,스타리츠
2023-11-02,씨씨에스
2023-11-02,유니드
2023-11-02,테크윙
2023-11-03,동성제약
2023-11-03,삼일기업공사
2023-11-03,SNT다이내믹스
2023-11-03,하인크코리아
2023-11-03,우리바이오
2023-11-06,한국앤컴퍼니
2023-11-06,시공테크
2023-11-06,앤디포스
2023-11-06,동아지질
2023-11-07,유아이디
2023-11-07,레고켐바이오
2023-11-07,시공테크
2023-11-08,클리오
2023-11-08,KNN
2023-11-09,한세실업
2023-11-09,경농
2023-11-10,스타리츠
2023-11-10,제이엠티
2023-11-10,안랩
2023-11-10,에이디엠코리아
2023-11-13,한화투자증권
2023-11-13,한화투자증권우
2023-11-14,하츠
2023-11-14,정다운
2023-11-14,오뚜기
2023-11-14,플레이위드
2023-11-15,레고켐바이오
2023-11-15,SK
2023-11-15,NH프라임리츠
2023-11-15,SK하이닉스
2023-11-16,텔코웨어
2023-11-16,SGC에너지
2023-11-16,한국앤컴퍼니
2023-11-16,우리엔터프라이즈
2023-11-17,지엘팜텍
2023-11-17,한진칼
2023-11-20,지엔코
2023-11-20,제주반도체
2023-11-20,한국공항
2023-11-21,SNT홀딩스
2023-11-21,이씨에스
2023-11-21,제이에스코퍼레이션
2023-11-22,CJ대한통운
2023-11-22,대신정보통신
2023-11-22,우리엔터프라이즈
2023-11-23,노루홀딩스
2023-11-23,원익큐브
2023-11-23,누리플렉스
2023-11-23,리파인
2023-11-23,사조대림
2023-11-23,스타리츠
2023-11-24,사조대림
2023-11-24,엠브레인
2023-11-27,에이디테크놀로지
2023-11-27,제주반도체
2023-11-28,백산
2023-11-29,제주반도체
2023-11-29,큐알티
2023-11-29,웰크론
2023-11-29,안랩
2023-11-30,크라운제과우
2023-12-01,쌍용정보통신
2023-12-01,큐알티
2023-12-01,알테오젠
2023-12-01,성신양회우
2023-12-01,한국앤컴퍼니
2023-12-01,웰크론
2023-12-04,SK디스커버리우
2023-12-04,SK디앤디
2023-12-05,한전KPS
2023-12-06,지어소프트
2023-12-06,세경하이테크
2023-12-07,SNT홀딩스
2023-12-07,진양제약
2023-12-08,계양전기우
2023-12-08,큐알티
2023-12-08,웰크론
2023-12-11,케이탑리츠
2023-12-11,HLB
2023-12-12,TJ미디어
2023-12-12,폴라리스AI
2023-12-13,사조대림
2023-12-13,바이오솔루션
2023-12-14,케이탑리츠
2023-12-14,HLB생명과학
2023-12-15,커넥트웨이브
2023-12-15,HLB글로벌
2023-12-18,HDC
2023-12-19,엘티씨
2023-12-20,퍼시스
2023-12-21,삼화페인트
2023-12-21,메이슨캐피탈
2023-12-26,유일로보틱스
2023-12-28,텔레칩스
2023-12-29,서연
2024-01-02,하나제약
2024-01-02,안국약품
2024-01-02,지엠비코리아
2024-01-03,녹십자웰빙
2024-01-04,영보화학
2024-01-05,이스타코
2024-01-08,해성티피씨
2024-01-11,일신석재
2024-01-12,삼성전자
2024-01-29,부국증권
2024-02-01,삼정펄프
2024-02-12,KPX홀딩스
2024-02-15,동일고무벨트
2024-02-16,플랜티넷
2024-02-19,종근당홀딩스
2024-02-19,대교
2024-02-19,콤텍시스템
2024-02-20,오상자이엘
2024-02-21,쎌바이오텍
2024-02-23,씨엑스아이
2024-02-23,아이스크림에듀
2024-03-13,두산에너빌리티
2024-03-13,제주맥주
2024-03-15,이삭엔지니어링
2024-03-15,도이치모터스
2024-03-18,수산아이앤티
2024-04-11,옴니시스템
2024-04-12,조일알미늄
2024-04-12,남선알미늄
2024-04-19,LS ELECTRIC
2024-04-19,토니모리
2024-04-22,CJ제일제당
2024-04-22,큐로컴
2024-04-23,한국유니온제약
2024-04-23,대양전기공업
