pump_date,com,code
2024-09-13,흥구석유,24060
2024-09-19,삼일제약,520
2024-09-20,교보증권,30610
2024-09-23,HK이노엔,195940
2024-09-24,성우전자,81580
2024-09-25,리파인,377450
2024-09-26,PN풍년,24940
2024-09-27,신세계건설,34300
2024-09-30,삼목에스폼,18310
2024-09-30,미창석유,3650
2024-10-02,부국증권,1270
2024-10-04,미창석유,3650
2024-10-04,씨아이테크,4920
2024-10-07,LG에너지솔루션,373220
2024-10-07,유일로보틱스,388720
2024-10-07,씨아이테크,4920
2024-10-08,금호에이치티,214330
2024-10-08,아이디피,332370
2024-10-10,유엔젤,72130
2024-10-10,코메론,49430
2024-10-11,에이비엘바이오,298380
2024-10-11,티앤알바이오팹,246710
