순번,포착일,종목
1,2023-09-15,진양폴리
2,2023-09-15,교보11호스팩
3,2023-09-18,씨씨에스
4,2023-09-19,KR모터스
5,2023-09-20,SK디스커버리우
6,2023-09-21,아센디오
7,2023-09-21,진양산업
8,2023-09-21,씨씨에스
9,2023-09-22,모두투어리츠
10,2023-09-22,케이엠
11,2023-09-25,현대리바트
12,2023-09-25,KISCO홀딩스
13,2023-09-26,모두투어리츠
14,2023-09-27,KR모터스
15,2023-09-27,KISCO홀딩스
16,2023-09-27,씨씨에스
17,2023-10-04,삼보산업
18,2023-10-06,삼보산업
19,2023-10-06,종근당
20,2023-10-10,솔고바이오
21,2023-10-10,시공테크
22,2023-10-10,카스
23,2023-10-10,텔코웨어
24,2023-10-11,SH에너지화학
25,2023-10-11,대성에너지
26,2023-10-12,대림B&Co
27,2023-10-12,오스템
28,2023-10-12,나노캠텍
29,2023-10-12,보령
30,2023-10-13,SH에너지화학
31,2023-10-13,나노캠텍
32,2023-10-13,대성에너지
33,2023-10-13,제이엠티
34,2023-10-16,경동도시가스
35,2023-10-17,비즈니스온
36,2023-10-18,SK가스
37,2023-10-23,지엔코
38,2023-10-24,제이엠티
39,2023-10-25,HK이노엔
40,2023-10-26,지엘팜텍
41,2023-10-27,SNT다이내믹스
42,2023-10-27,삼보산업
43,2023-10-30,극동유화
44,2023-10-30,SNT다이내믹스
45,2023-10-30,미래에셋생명
46,2023-10-30,오스템
47,2023-10-30,시공테크
48,2023-10-30,유니드
49,2023-11-01,오스템
50,2023-11-01,모두투어리츠
51,2023-11-02,씨씨에스
52,2023-11-02,유니드
53,2023-11-02,테크윙
54,2023-11-03,동성제약
55,2023-11-03,삼일기업공사
56,2023-11-03,SNT다이내믹스
57,2023-11-03,하인크코리아
58,2023-11-03,우리바이오
59,2023-11-06,한국앤컴퍼니
60,2023-11-06,시공테크
61,2023-11-06,앤디포스
62,2023-11-06,동아지질
63,2023-11-07,유아이디
64,2023-11-07,레고켐바이오
65,2023-11-07,시공테크
66,2023-11-08,클리오
67,2023-11-08,KNN
68,2023-11-09,한세실업
69,2023-11-09,경농
70,2023-11-10,모두투어리츠
71,2023-11-10,제이엠티
72,2023-11-10,안랩
73,2023-11-10,에이디엠코리아
74,2023-11-13,한화투자증권
75,2023-11-13,한화투자증권우
76,2023-11-14,하츠
77,2023-11-14,정다운
78,2023-11-14,오뚜기
79,2023-11-14,플레이위드
80,2023-11-15,레고켐바이오
81,2023-11-15,SK
82,2023-11-15,NH프라임리츠
83,2023-11-15,SK하이닉스
84,2023-11-16,텔코웨어
85,2023-11-16,SGC에너지
86,2023-11-16,한국앤컴퍼니
87,2023-11-16,우리엔터프라이즈
88,2023-11-17,지엘팜텍
89,2023-11-17,한진칼
90,2023-11-20,지엔코
91,2023-11-20,제주반도체
92,2023-11-20,한국공항
93,2023-11-21,SNT홀딩스
94,2023-11-21,이씨에스
95,2023-11-21,제이에스코퍼레이션
96,2023-11-22,CJ대한통운
97,2023-11-22,대신정보통신
98,2023-11-22,우리엔터프라이즈
99,2023-11-23,노루홀딩스
100,2023-11-23,원익큐브
101,2023-11-23,누리플렉스
102,2023-11-23,리파인
103,2023-11-23,사조대림
104,2023-11-23,모두투어리츠
