날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-08-09,60500,68900,53900,54600,324642,,0,0.0,0.0,0,0.0,0,-94372,-1930,90916,5386,0,122952,544,192615,8531,324642,217324,2474,101699,3145,324642,-5376088100,-105552600,5124381300,357259400,0,7196379300,29755900,11162818700,531749900,18920703800,12572467400,135308500,6038437400,174490500,18920703800
2019-08-12,54400,56200,53000,53600,166709,-1.8315018315018317,0,0.0,0.0,0,0.0,0,44481,1913,25395,-71789,0,75510,2463,78633,10103,166709,31029,550,53238,81892,166709,2440950000,104375200,1346025900,-3891351100,0,4129843100,134858200,4263663000,545394300,9073758600,1688893100,30483000,2917637100,4436745400,9073758600
2019-08-13,52600,53200,51400,51800,163852,-3.3582089552238807,0,0.0,0.0,0,0.0,0,32121,825,80432,-113378,0,56193,825,104008,2826,163852,24072,0,23576,116204,163852,1670757300,43246100,4183049100,-5897052500,0,2921786400,43246100,5409800000,147119800,8521952300,1251029100,0,1226750900,6044172300,8521952300
2019-08-14,52400,52900,51900,51900,95402,0.19305019305019305,0,0.0,0.0,0,0.0,0,46143,439,11967,-58549,0,52855,590,30911,11046,95402,6712,151,18944,69595,95402,2414369900,22849100,621530800,-3058749800,0,2765342600,30707000,1613447400,576517100,4986014100,350972700,7857900,991916600,3635266900,4986014100
2019-08-16,51200,51800,50000,51100,63207,-1.5414258188824663,0,0.0,0.0,0,0.0,0,13233,-10186,33702,-36749,0,14294,92,46662,2159,63207,1061,10278,12960,38908,63207,676577000,-523735600,1722594500,-1875435900,0,730889000,4716200,2383358200,109865800,3228829200,54312000,528451800,660763700,1985301700,3228829200
2019-08-19,51700,54100,51400,52500,82918,2.73972602739726,0,0.0,0.0,0,0.0,0,16103,-1324,13926,-28705,0,32333,2724,33646,14215,82918,16230,4048,19720,42920,82918,856151800,-68174800,734182000,-1522159000,0,1717178300,144485600,1779641800,752890100,4394195800,861026500,212660400,1045459800,2275049100,4394195800
2019-08-20,53200,53800,52500,53800,37312,2.4761904761904763,0,0.0,0.0,0,0.0,0,2398,-739,6453,-8112,0,10750,201,19950,6411,37312,8352,940,13497,14523,37312,130518500,-39224000,339121300,-430415800,0,574830400,10696000,1061008300,342977400,1989512100,444311900,49920000,721887000,773393200,1989512100
2019-08-21,53800,56000,53200,55000,41778,2.2304832713754648,0,0.0,0.0,0,0.0,0,9958,195,4701,-14854,0,14624,195,22644,4315,41778,4666,0,17943,19169,41778,542061700,10686400,255904300,-808652400,0,798391200,10686400,1237230000,236166900,2282474500,256329500,0,981325700,1044819300,2282474500
2019-08-22,55000,56700,55000,56400,27663,2.5454545454545454,0,0.0,0.0,0,0.0,0,-535,41,1876,-1382,0,4332,45,21144,2142,27663,4867,4,19268,3524,27663,-30139900,2303900,104582300,-76746300,0,242097000,2528700,1184336800,120385600,1549348100,272236900,224800,1079754500,197131900,1549348100
2019-08-23,55900,56600,55300,56100,23459,-0.5319148936170213,0,0.0,0.0,0,0.0,0,5278,286,-333,-5231,0,8767,315,10459,3918,23459,3489,29,10792,9149,23459,296520800,16013500,-20114400,-292419900,0,493349900,17646400,585088300,220693700,1316778300,196829100,1632900,605202700,513113600,1316778300
2019-08-26,55000,55600,54400,54700,15880,-2.4955436720142603,0,0.0,0.0,0,0.0,0,30,-278,4865,-4617,0,3440,37,12310,93,15880,3410,315,7445,4710,15880,1239800,-15311200,267585300,-253513900,0,189247800,2034900,676904800,5116700,873304200,188008000,17346100,409319500,258630600,873304200
2019-08-27,54600,55400,53700,53700,29742,-1.8281535648994516,0,0.0,0.0,0,0.0,0,16861,-98,5788,-22551,0,17497,1,12132,112,29742,636,99,6344,22663,29742,912976700,-5389600,315761500,-1223348600,0,947653300,54800,661131300,6117500,1614956900,34676600,5444400,345369800,1229466100,1614956900
2019-08-28,53800,55000,53800,54900,19888,2.2346368715083798,0,0.0,0.0,0,0.0,0,10543,0,940,-11483,0,11610,0,8131,147,19888,1067,0,7191,11630,19888,575019900,0,49294200,-624314100,0,633503600,0,441508800,7994300,1083006700,58483700,0,392214600,632308400,1083006700
2019-08-29,54900,56000,54900,55100,24045,0.36429872495446264,0,0.0,0.0,0,0.0,0,15202,16,-3684,-11534,0,15938,16,7168,923,24045,736,0,10852,12457,24045,843635400,882200,-205929900,-638587700,0,884416700,882200,396654200,51228400,1333181500,40781300,0,602584100,689816100,1333181500
2019-08-30,55900,56900,55300,56000,43353,1.6333938294010888,0,0.0,0.0,0,0.0,0,16485,10,7027,-23522,0,19012,10,21278,3053,43353,2527,0,14251,26575,43353,929328000,559300,394779800,-1324667100,0,1071536900,559300,1196591100,171624300,2440311600,142208900,0,801811300,1496291400,2440311600
2019-09-02,55600,56700,55600,55900,21667,-0.17857142857142858,0,0.0,0.0,0,0.0,0,8097,52,-86,-8063,0,15015,52,6124,476,21667,6918,0,6210,8539,21667,455010300,2891700,-5233300,-452668700,0,843536700,2891700,343180200,26762000,1216370600,388526400,0,348413500,479430700,1216370600
2019-09-03,55700,56600,55600,56100,16112,0.35778175313059035,0,0.0,0.0,0,0.0,0,5458,-451,1069,-6076,0,10763,1,5324,24,16112,5305,452,4255,6100,16112,307908600,-25435400,59868300,-342341500,0,606397400,56300,298765400,1344000,906563100,298488800,25491700,238897100,343685500,906563100
2019-09-04,56200,56900,56000,56700,20227,1.06951871657754,0,0.0,0.0,0,0.0,0,3574,3,4043,-7620,0,11759,3,8282,183,20227,8185,0,4239,7803,20227,202171500,168700,226727800,-429068000,0,661754700,168700,465387100,10276400,1137586900,459583200,0,238659300,439344400,1137586900
2019-09-05,56500,57900,56500,57100,25974,0.7054673721340388,0,0.0,0.0,0,0.0,0,9217,104,-1096,-8225,0,18606,104,7111,153,25974,9389,0,8207,8378,25974,529197800,5942700,-64148300,-470992200,0,1066945200,5942700,406491600,8773400,1488152900,537747400,0,470639900,479765600,1488152900
2019-09-06,57000,57200,55800,56400,19068,-1.2259194395796849,0,0.0,0.0,0,0.0,0,-2217,2,5251,-3036,0,9144,2,8245,1677,19068,11361,0,2994,4713,19068,-124879000,113500,296108900,-171343400,0,514989800,113500,465363600,94594000,1075060900,639868800,0,169254700,265937400,1075060900
2019-09-09,56100,56900,56100,56500,19077,0.1773049645390071,0,0.0,0.0,0,0.0,0,4866,60,637,-5563,0,11510,63,5088,2416,19077,6644,3,4451,7979,19077,274502100,3389800,35707000,-313598900,0,648856000,3559000,286811500,136306000,1075532500,374353900,169200,251104500,449904900,1075532500
2019-09-10,56200,57100,56200,56900,23658,0.7079646017699115,0,0.0,0.0,0,0.0,0,11505,3,2919,-14427,0,15484,3,6664,1507,23658,3979,0,3745,15934,23658,653018600,170000,165464200,-818652800,0,878765600,170000,378087800,85564700,1342588100,225747000,0,212623600,904217500,1342588100
2019-09-11,56900,57900,56900,57300,23952,0.7029876977152899,0,0.0,0.0,0,0.0,0,-1191,305,6825,-5939,0,8297,370,13942,1343,23952,9488,65,7117,7282,23952,-68103800,17607500,390457200,-339960900,0,475828200,21334000,798995500,77165300,1373323000,543932000,3726500,408538300,417126200,1373323000
2019-09-16,57300,59500,57300,59200,36697,3.315881326352531,0,0.0,0.0,0,0.0,0,8044,137,6062,-14243,0,17658,269,16259,2511,36697,9614,132,10197,16754,36697,474443800,8146200,355590300,-838180300,0,1039022900,15921000,955963000,147998900,2158905800,564579100,7774800,600372700,986179200,2158905800
2019-09-17,59100,59600,58400,59600,15415,0.6756756756756757,0,0.0,0.0,0,0.0,0,2363,-1,5894,-8256,0,4747,86,10124,458,15415,2384,87,4230,8714,15415,139955400,-120400,347593200,-487428200,0,280523600,5052800,597733400,27042200,910352000,140568200,5173200,250140200,514470400,910352000
2019-09-18,59800,61800,59600,61400,42333,3.0201342281879198,0,0.0,0.0,0,0.0,0,-2346,707,22309,-20670,0,3766,762,33910,3895,42333,6112,55,11601,24565,42333,-144053900,43187600,1364634500,-1263768200,0,228752400,46552600,2072488400,238444600,2586238000,372806300,3365000,707853900,1502212800,2586238000
2019-09-19,61100,61600,59900,60400,27465,-1.6286644951140066,0,0.0,0.0,0,0.0,0,1356,1850,3544,-6750,0,7630,1850,16941,1044,27465,6274,0,13397,7794,27465,80448900,112661200,215564100,-408674200,0,459221300,112661200,1023405200,62666400,1657954100,378772400,0,807841100,471340600,1657954100
2019-09-20,60000,60600,59600,59600,18050,-1.3245033112582782,0,0.0,0.0,0,0.0,0,-2454,1808,10643,-9997,0,2360,1808,13706,176,18050,4814,0,3063,10173,18050,-147789900,108838200,636651500,-597699800,0,141042300,108838200,820567700,10616500,1081064700,288832200,0,183916200,608316300,1081064700
2019-09-23,59600,60500,59600,60200,9996,1.006711409395973,0,0.0,0.0,0,0.0,0,-116,1727,831,-2442,0,1690,1728,6417,161,9996,1806,1,5586,2603,9996,-6777600,104260900,49190000,-146673300,0,101428300,104321100,384713700,9660000,600123100,108205900,60200,335523700,156333300,600123100
2019-09-24,60200,61100,60100,60800,13232,0.9966777408637874,0,0.0,0.0,0,0.0,0,818,1765,2073,-4656,0,2698,1769,8048,717,13232,1880,4,5975,5373,13232,49581900,107093800,124633200,-281308900,0,163134100,107336500,486818700,43712700,801002000,113552200,242700,362185500,325021600,801002000
2019-09-25,60500,61200,59800,60300,19400,-0.8223684210526315,0,0.0,0.0,0,0.0,0,-3039,1577,2109,-647,0,5120,1577,12231,472,19400,8159,0,10122,1119,19400,-182531200,96150100,125484300,-39103200,0,308363400,96150100,736380900,28404800,1169299200,490894600,0,610896600,67508000,1169299200
2019-09-26,60300,60900,59900,60800,12373,0.8291873963515755,0,0.0,0.0,0,0.0,0,-1420,2,3506,-2088,0,3967,2,8133,271,12373,5387,0,4627,2359,12373,-85281500,121100,211106600,-125946200,0,239620700,121100,490929900,16353300,747025000,324902200,0,279823300,142299500,747025000
2019-09-27,60700,60800,59600,60000,5727,-1.3157894736842104,0,0.0,0.0,0,0.0,0,-585,-47,943,-311,0,1364,13,4085,265,5727,1949,60,3142,576,5727,-34613700,-2840200,56277600,-18823700,0,82187300,777800,245288500,15847000,344100600,116801000,3618000,189010900,34670700,344100600
2019-09-30,59800,60300,59200,60000,7029,0.0,0,0.0,0.0,0,0.0,0,-1799,8,1592,199,0,279,8,5719,1023,7029,2078,0,4127,824,7029,-107215600,475600,94893100,11846900,0,16708400,475600,341221600,61078000,419483600,123924000,0,246328500,49231100,419483600
2019-10-01,59200,61500,59200,61300,16144,2.166666666666667,0,0.0,0.0,0,0.0,0,-559,0,757,-198,0,4648,4,10579,913,16144,5207,4,9822,1111,16144,-34009500,-3600,46469400,-12456300,0,283266600,240600,643440200,55379600,982327000,317276100,244200,596970800,67835900,982327000
2019-10-02,60300,61000,58400,59300,15671,-3.262642740619902,0,0.0,0.0,0,0.0,0,-8578,23,9405,-850,0,3608,33,11987,43,15671,12186,10,2582,893,15671,-508531900,1353300,557328500,-50149900,0,212898200,1956300,709815800,2532700,927203000,721430100,603000,152487300,52682600,927203000
2019-10-04,59300,59300,56700,56700,25903,-4.3844856661045535,0,0.0,0.0,0,0.0,0,-7027,24,8069,-1066,0,5704,24,19550,625,25903,12731,0,11481,1691,25903,-403901700,1402200,463941500,-61442000,0,330298200,1402200,1128481500,36297100,1496479000,734199900,0,664540000,97739100,1496479000
2019-10-07,56700,57700,56600,57300,10459,1.0582010582010581,0,0.0,0.0,0,0.0,0,-883,-48,-261,1192,0,4901,2,3866,1690,10459,5784,50,4127,498,10459,-50551100,-2725900,-14906300,68183300,0,280634900,114100,221141700,96682200,598572900,331186000,2840000,236048000,28498900,598572900
2019-10-08,56400,58600,56400,58500,11961,2.094240837696335,0,0.0,0.0,0,0.0,0,-1560,195,969,396,0,6490,266,4104,1101,11961,8050,71,3135,705,11961,-89723700,11158700,55602200,22962800,0,376336700,15311300,237398900,63855900,692902800,466060400,4152600,181796700,40893100,692902800
2019-10-10,58700,58700,57300,57700,9018,-1.3675213675213675,0,0.0,0.0,0,0.0,0,959,11,1351,-2321,0,4304,11,4677,26,9018,3345,0,3326,2347,9018,55207600,635200,77655900,-133498700,0,247901800,635200,269150300,1503000,519190300,192694200,0,191494400,135001700,519190300
2019-10-11,58000,59200,57700,59200,9796,2.5996533795493932,0,0.0,0.0,0,0.0,0,4403,-72,-4154,-177,0,7051,10,2241,494,9796,2648,82,6395,671,9796,258702500,-4228400,-244083000,-10391100,0,414269000,583700,131354100,28943500,575150300,155566500,4812100,375437100,39334600,575150300
