날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-01-02,918,928,907,920,63703,-0.5405405405405406,1602,17.69,0.57,52,0.0,0,-99,0,-3832,3931,0,104,0,59306,4293,63703,203,0,63138,362,63703,-90187,0,-3476011,3566198,0,95680,0,54401356,3898624,58395660,185867,0,57877367,332426,58395660
2019-01-03,915,921,908,920,135666,0.0,1602,17.69,0.57,52,0.0,0,507,0,363,-870,0,507,0,125542,9617,135666,0,0,125179,10487,135666,466140,0,320199,-786339,0,466140,0,114966028,8798783,124230951,0,0,114645829,9585122,124230951
2019-01-04,915,922,907,920,80379,0.0,1602,17.69,0.57,52,0.0,0,-794,0,12166,-11372,0,244,0,80135,0,80379,1038,0,67969,11372,80379,-726881,0,11063673,-10336792,0,224198,0,73336212,0,73560410,951079,0,62272539,10336792,73560410
2019-01-07,928,935,917,921,234096,0.10869565217391304,1602,17.71,0.57,52,0.0,0,1237,0,-23707,22470,0,1237,0,199581,33278,234096,0,0,223288,10808,234096,1143789,0,-21934275,20790486,0,1143789,0,184185041,30746516,216075346,0,0,206119316,9956030,216075346
2019-01-08,918,930,912,930,256376,0.9771986970684038,1602,17.88,0.58,52,0.0,0,218,52,-6779,6509,0,225,52,238285,17814,256376,7,0,245064,11305,256376,202537,47632,-6199860,5949691,0,208935,47632,219018040,16334745,235609352,6398,0,225217900,10385054,235609352
2019-01-09,925,953,919,950,141170,2.1505376344086025,1602,18.27,0.59,52,0.0,0,-41,0,3701,-3660,0,105,0,134190,6875,141170,146,0,130489,10535,141170,-38325,0,3483124,-3444799,0,99668,0,125918012,6411257,132428937,137993,0,122434888,9856056,132428937
2019-01-10,947,959,942,952,105496,0.21052631578947367,1602,18.31,0.59,52,0.0,0,3623,1265,13051,-17939,0,4059,1265,99712,460,105496,436,0,86661,18399,105496,3436172,1199562,12363168,-16998902,0,3848730,1199562,94511102,435620,99995014,412558,0,82147934,17434522,99995014
2019-01-11,951,959,941,959,126933,0.7352941176470588,1602,18.44,0.6,52,0.0,0,546,0,12463,-13009,0,546,0,124926,1461,126933,0,0,112463,14470,126933,518233,0,11760664,-12278897,0,518233,0,118803975,1383718,120705926,0,0,107043311,13662615,120705926
2019-01-14,958,970,947,970,171697,1.1470281543274243,1602,18.65,0.61,52,0.0,0,-152,0,33725,-33573,0,45,0,171652,0,171697,197,0,137927,33573,171697,-143372,0,32326798,-32183426,0,43632,0,164747578,0,164791210,187004,0,132420780,32183426,164791210
2019-01-15,968,972,954,971,237277,0.10309278350515465,1602,18.67,0.61,52,0.0,0,-579,0,28046,-27467,0,301,0,236249,727,237277,880,0,208203,28194,237277,-552045,0,26979606,-26427561,0,291918,0,227638306,695889,228626113,843963,0,200658700,27123450,228626113
2019-01-16,965,969,957,961,164990,-1.0298661174047374,1602,18.48,0.6,52,0.0,0,-368,0,6867,-6499,0,151,0,162800,2039,164990,519,0,155933,8538,164990,-354004,0,6601773,-6247769,0,145212,0,156456602,1959860,158561674,499216,0,149854829,8207629,158561674
2019-01-17,960,966,953,962,223951,0.10405827263267431,1602,18.5,0.6,52,0.0,0,-359,0,17320,-16961,0,52,0,215863,8036,223951,411,0,198543,24997,223951,-343753,0,16610364,-16266611,0,49799,0,206816934,7694823,214561556,393552,0,190206570,23961434,214561556
2019-01-18,961,975,956,975,300429,1.3513513513513513,1602,18.75,0.61,52,0.0,0,194,0,-25699,25505,0,197,0,259039,41193,300429,3,0,284738,15688,300429,189189,0,-24813164,24623975,0,192075,0,249930818,39696415,289819308,2886,0,274743982,15072440,289819308
