시가,고가,저가,종가,거래량,등락률
1849,1915,1842,1896,221350,3.6632039365773648
1895,1895,1802,1802,126860,-4.957805907172996
1802,1828,1768,1829,98890,1.4983351831298557
1835,1842,1782,1782,98860,-2.569710224166211
1802,1855,1795,1829,115140,2.6374859708193044
1869,1895,1855,1882,151600,2.8977583378895573
1882,1882,1822,1882,149830,0.0
1882,1882,1842,1842,120310,-2.1253985122210417
1842,1855,1775,1796,148290,-2.49728555917481
1795,1815,1788,1796,109240,0.0
1795,1815,1782,1789,98170,-0.3897550111358575
1788,1808,1782,1796,101730,0.3912800447177194
1802,1802,1748,1749,105910,-2.6169265033407574
1742,1742,1708,1729,139120,-1.1435105774728416
1728,1742,1708,1722,111840,-0.4048582995951417
1722,1728,1668,1709,77170,-0.7549361207897793
1708,1722,1675,1695,83690,-0.8191925102399065
1695,1735,1695,1736,66700,2.4188790560471976
1742,1835,1742,1829,120160,5.357142857142857
1855,1869,1808,1856,194970,1.4762165117550574
1855,1869,1835,1849,129150,-0.3771551724137931
1849,1849,1822,1849,58730,0.0
1849,1895,1849,1869,140780,1.0816657652785289
1875,1889,1869,1876,131130,0.37453183520599254
1875,1882,1855,1876,153730,0.0
1875,1922,1855,1869,187640,-0.3731343283582089
1869,1875,1849,1862,489250,-0.37453183520599254
1869,1915,1862,1889,102760,1.4500537056928033
1895,1915,1889,1896,82620,0.37056643726839594
1895,1909,1802,1802,159670,-4.957805907172996
1795,1855,1788,1856,99150,2.9966703662597114
1855,1869,1822,1829,89120,-1.4547413793103448
1828,1849,1788,1789,73310,-2.1869874248223073
1775,1775,1748,1756,67690,-1.8446059250978202
1755,1768,1735,1756,65570,0.0
1728,1742,1708,1742,173490,-0.7972665148063782
1735,1755,1708,1736,160300,-0.3444316877152698
1735,1755,1728,1756,149510,1.1520737327188941
1748,1802,1748,1802,147300,2.619589977220957
1815,1862,1802,1856,101920,2.9966703662597114
1849,1869,1815,1842,145810,-0.7543103448275862
1882,1882,1822,1869,232610,1.4657980456026058
1869,1869,1835,1842,185180,-1.4446227929373996
1835,1842,1788,1789,80840,-2.8773072747014115
1808,1829,1715,1716,126790,-4.08049189491336
1722,1735,1708,1722,91310,0.34965034965034963
1728,1768,1722,1736,72230,0.8130081300813009
1728,1742,1722,1722,142430,-0.8064516129032258
1722,1722,1708,1709,53610,-0.7549361207897793
1708,1755,1708,1736,83790,1.579871269748391
1748,1835,1748,1809,161470,4.205069124423963
1822,1828,1782,1789,107200,-1.105583195135434
1788,1788,1735,1736,175870,-2.9625489100055895
1735,1762,1728,1736,160380,0.0
1735,1742,1722,1729,544310,-0.4032258064516129
1735,1735,1688,1689,324560,-2.313475997686524
1697,1718,1605,1614,292640,-4.440497335701599
