날짜,시가,고가,저가,종가,거래량,등락률
2003-05-30,2928,3253,2579,2662,1303155,
2003-06-02,2638,2661,2380,2383,404628,-10.48084147257701
2003-06-03,2374,2488,2307,2374,313751,-0.37767519932857746
2003-06-04,2257,2430,2257,2278,204472,-4.043807919123841
2003-06-05,2277,2441,2277,2339,363690,2.677787532923617
2003-06-09,2345,2368,2239,2245,177611,-4.0188114578879865
2003-06-10,2227,2330,2222,2234,270450,-0.48997772828507796
2003-06-11,2286,2465,2263,2372,568154,6.177260519247986
2003-06-12,2400,2430,2295,2316,218080,-2.360876897133221
2003-06-13,2321,2336,2248,2263,204023,-2.2884283246977546
2003-06-16,2245,2274,2239,2260,91106,-0.13256738842244808
2003-06-17,2289,2304,2242,2245,121995,-0.6637168141592921
2003-06-18,2233,2277,2224,2225,108820,-0.8908685968819599
2003-06-19,2233,2257,2154,2169,90531,-2.5168539325842696
2003-06-20,2169,2172,2122,2125,94680,-2.028584601198709
2003-06-23,2131,2201,2113,2125,81083,0.0
2003-06-24,2054,2119,1999,2014,67847,-5.223529411764706
2003-06-25,1966,2040,1966,1993,71473,-1.0427010923535254
2003-06-26,1972,2016,1961,1967,52262,-1.3045659809332664
2003-06-27,1981,1999,1958,1967,42160,0.0
2003-06-30,1975,2090,1975,2067,158064,5.083884087442806
2003-07-01,2081,2090,2013,2029,62813,-1.8384131591678763
2003-07-02,2052,2095,2052,2093,135530,3.1542631838344013
2003-07-03,2125,2216,2081,2169,653590,3.631151457238414
2003-07-04,2175,2359,2175,2328,404429,7.330567081604427
2003-07-07,2353,2353,2142,2333,232394,0.2147766323024055
2003-07-08,2327,2403,2257,2374,337578,1.7573939134162022
2003-07-09,2380,2389,2339,2348,169489,-1.0951979780960404
2003-07-10,2362,2447,2286,2418,187201,2.9812606473594547
2003-07-11,2433,2600,2365,2536,205747,4.880066170388751
2003-07-14,2608,2608,2482,2512,300278,-0.9463722397476341
2003-07-15,2535,2535,2266,2266,219209,-9.79299363057325
2003-07-16,2286,2359,2283,2287,159055,0.9267431597528684
2003-07-18,2163,2327,2163,2263,96658,-1.04940970703979
2003-07-21,2242,2309,2154,2155,82443,-4.77242598320813
2003-07-22,2066,2151,2013,2058,95545,-4.5011600928074245
2003-07-23,2072,2107,2037,2037,35558,-1.0204081632653061
2003-07-24,2002,2122,2002,2122,78397,4.172803141875306
2003-07-25,2110,2110,2063,2096,44993,-1.2252591894439209
2003-07-28,2101,2139,2075,2081,71294,-0.7156488549618321
2003-07-29,2104,2239,2072,2196,187351,5.5261893320518976
2003-07-30,2198,2204,2107,2108,68208,-4.007285974499089
2003-07-31,2095,2163,2060,2073,78216,-1.6603415559772294
2003-08-01,2075,2104,2060,2073,148980,0.0
2003-08-04,2104,2125,2019,2026,112343,-2.2672455378678245
2003-08-05,2057,2090,2016,2023,94680,-0.14807502467917077
2003-08-06,1978,2081,1969,2081,83252,2.8670291646070196
2003-08-07,2040,2078,2025,2037,64009,-2.114368092263335
2003-08-08,2019,2037,1987,1990,64304,-2.3073146784486993
2003-08-11,1966,2010,1961,1967,45880,-1.1557788944723617
2003-08-12,1952,1981,1946,1970,59174,0.1525165226232842
2003-08-13,1978,1981,1911,1932,87733,-1.9289340101522845
2003-08-14,1920,1920,1805,1826,103303,-5.486542443064183
2003-08-18,1996,2043,1943,2043,154773,11.883899233296823
2003-08-19,2139,2139,1987,2049,278752,0.2936857562408223
2003-08-20,2049,2052,1940,1944,106261,-5.124450951683748
2003-08-21,2005,2113,1964,2078,272032,6.893004115226338
2003-08-22,2104,2110,1984,1993,116776,-4.090471607314726
2003-08-25,1958,2022,1920,1958,82973,-1.7561465127947817
2003-08-26,1934,1964,1893,1920,54551,-1.940755873340143
2003-08-27,1890,1928,1832,1838,88916,-4.270833333333333
2003-08-28,1840,1893,1840,1847,56468,0.48966267682263326
2003-08-29,1849,1893,1849,1867,42846,1.0828370330265296
2003-09-01,1867,1884,1846,1847,70549,-1.0712372790573113
2003-09-02,1861,1908,1846,1870,112777,1.245262587980509
2003-09-03,1893,1905,1855,1876,126228,0.32085561497326204
2003-09-04,1884,1905,1829,1832,67838,-2.345415778251599
2003-09-05,1823,1840,1761,1791,90425,-2.2379912663755457
2003-09-08,1776,1829,1776,1815,38361,1.340033500837521
2003-09-09,1817,1817,1788,1788,56264,-1.487603305785124
2003-09-15,1802,1829,1770,1815,30606,1.5100671140939599
2003-09-16,1817,1884,1814,1864,67723,2.6997245179063363
2003-09-17,1864,1896,1835,1859,33819,-0.26824034334763946
2003-09-18,1799,1846,1799,1829,24055,-1.6137708445400751
2003-09-19,1829,1858,1779,1803,41363,-1.4215418261344996
2003-09-22,1785,1814,1744,1759,36324,-2.440377149195785
2003-09-23,1714,1785,1714,1747,35261,-0.6822057987492893
2003-09-24,1744,1782,1744,1756,23774,0.5151688609044075
2003-09-25,1729,1761,1700,1735,41893,-1.1958997722095672
2003-09-26,1732,1832,1732,1756,40216,1.2103746397694526
2003-09-29,1764,1893,1764,1870,79940,6.492027334851937
2003-09-30,1864,1879,1826,1864,56761,-0.32085561497326204
2003-10-01,1852,1969,1852,1944,136604,4.291845493562231
2003-10-02,1978,1984,1920,1935,56130,-0.4629629629629629
2003-10-06,1934,1943,1876,1905,58044,-1.550387596899225
2003-10-07,1905,1934,1846,1935,76705,1.574803149606299
2003-10-08,1949,1949,1908,1926,25777,-0.46511627906976744
2003-10-09,1943,1943,1876,1923,29365,-0.1557632398753894
2003-10-10,1896,1925,1876,1923,53047,0.0
2003-10-13,1925,1925,1876,1908,28616,-0.7800312012480499
2003-10-14,1905,1908,1879,1879,35167,-1.519916142557652
2003-10-15,1890,1923,1876,1905,70699,1.3837147418839808
2003-10-16,1881,2008,1876,1964,130550,3.0971128608923886
2003-10-17,1943,1999,1925,1976,67808,0.6109979633401221
2003-10-20,1993,2081,1993,2023,186220,2.3785425101214575
2003-10-21,2013,2084,1981,2084,111647,3.0153237765694514
2003-10-22,2087,2093,2016,2017,59442,-3.2149712092130516
2003-10-23,1920,2010,1920,2011,99039,-0.2974714923153198
2003-10-24,2005,2075,1978,2052,66675,2.038786673296867
2003-10-27,2063,2063,1978,2023,46100,-1.4132553606237817
2003-10-28,2052,2054,1996,2052,99124,1.4335145823035098
2003-10-29,2046,2066,1999,2011,38247,-1.9980506822612085
2003-10-30,1999,2010,1937,1949,38596,-3.0830432620586774
2003-10-31,1920,1934,1876,1882,31536,-3.437660338635198
2003-11-03,1884,1905,1838,1841,22272,-2.1785334750265677
2003-11-04,1820,1890,1820,1847,31905,0.32590983161325365
2003-11-05,1820,1873,1820,1864,9648,0.9204114780725501
2003-11-06,1829,1905,1829,1850,45555,-0.7510729613733905
2003-11-07,1852,1879,1835,1850,10436,0.0
2003-11-10,1849,1849,1820,1847,12516,-0.16216216216216214
2003-11-11,1817,1858,1791,1803,20393,-2.382241472658365
2003-11-12,1846,1846,1788,1826,33564,1.2756516916250693
2003-11-13,1817,1832,1791,1815,19976,-0.6024096385542169
2003-11-14,1796,1840,1791,1803,9740,-0.6611570247933884
2003-11-17,1796,1823,1788,1812,8826,0.49916805324459235
2003-11-18,1773,1808,1761,1809,23660,-0.16556291390728478
2003-11-19,1767,1808,1761,1774,11647,-1.9347705914870093
2003-11-20,1761,1796,1735,1741,13472,-1.8602029312288615
2003-11-21,1717,1729,1682,1700,32404,-2.3549684089603677
2003-11-24,1685,1685,1626,1627,7990,-4.294117647058823
2003-11-25,1606,1670,1606,1615,9743,-0.7375537799631223
2003-11-26,1591,1706,1591,1689,11274,4.58204334365325
2003-11-27,1685,1685,1624,1642,5735,-2.782711663706335
2003-11-28,1685,1685,1618,1650,8494,0.48721071863580995
2003-12-01,1670,1670,1624,1642,16401,-0.48484848484848486
2003-12-02,1641,1667,1612,1636,11028,-0.3654080389768575
2003-12-03,1621,1829,1621,1744,50708,6.601466992665037
2003-12-04,1770,1770,1709,1744,12738,0.0
2003-12-05,1709,1726,1670,1680,9057,-3.669724770642202
2003-12-08,1621,1697,1612,1639,12786,-2.4404761904761907
2003-12-09,1615,1650,1615,1618,15411,-1.2812690665039659
2003-12-10,1618,1626,1612,1624,6629,0.3708281829419036
2003-12-11,1626,1626,1606,1621,11164,-0.18472906403940886
2003-12-12,1615,1650,1612,1642,18178,1.2954966070326959
2003-12-15,1665,1665,1635,1650,6847,0.48721071863580995
2003-12-16,1650,1662,1621,1650,13370,0.0
2003-12-17,1650,1650,1624,1624,7419,-1.575757575757576
2003-12-18,1618,1641,1612,1624,10026,0.0
2003-12-19,1624,1647,1559,1574,12068,-3.0788177339901477
2003-12-22,1574,1588,1541,1542,7985,-2.0330368487928845
2003-12-23,1565,1673,1556,1606,96984,4.150453955901426
2003-12-24,1612,1635,1553,1601,23564,-0.311332503113325
2003-12-26,1597,1606,1553,1606,19653,0.3123048094940662
2003-12-29,1539,1650,1539,1583,25822,-1.432129514321295
2003-12-30,1615,1632,1571,1633,8744,3.1585596967782688
2004-01-02,1626,1626,1582,1612,2771,-1.2859767299448868
2004-01-05,1612,1618,1568,1606,1621,-0.37220843672456577
2004-01-06,1582,1621,1568,1609,16290,0.18679950186799502
2004-01-07,1582,1612,1582,1583,13661,-1.6159105034182724
2004-01-08,1618,1618,1559,1560,9927,-1.4529374605180037
2004-01-09,1556,1580,1547,1554,15746,-0.38461538461538464
2004-01-12,1539,1597,1539,1557,6975,0.19305019305019305
2004-01-13,1556,1556,1509,1536,7226,-1.348747591522158
2004-01-14,1553,1553,1468,1477,28938,-3.8411458333333335
2004-01-15,1597,1597,1483,1504,12271,1.8280297901150981
2004-01-16,1506,1506,1468,1469,21441,-2.327127659574468
2004-01-19,1442,1489,1442,1477,8627,0.5445881552076242
2004-01-20,1486,1486,1439,1472,3240,-0.3385240352064997
2004-01-26,1434,1492,1434,1464,3232,-0.5434782608695652
2004-01-27,1445,1471,1439,1439,8671,-1.707650273224044
2004-01-28,1427,1471,1417,1423,12117,-1.111883252258513
2004-01-29,1410,1495,1410,1495,12003,5.0597329585383
2004-01-30,1492,1521,1453,1504,7995,0.6020066889632106
2004-02-02,1489,1489,1452,1458,4171,-3.0585106382978724
2004-02-03,1451,1480,1436,1466,17102,0.5486968449931412
2004-02-04,1445,1483,1436,1463,4723,-0.20463847203274216
2004-02-05,1442,1468,1407,1445,12170,-1.2303485987696514
2004-02-06,1433,1451,1407,1416,5974,-2.006920415224913
2004-02-09,1418,1456,1408,1414,8990,-0.14124293785310735
2004-02-10,1430,1430,1396,1406,10619,-0.5657708628005658
2004-02-11,1427,1427,1395,1407,4670,0.07112375533428165
2004-02-12,1412,1412,1344,1403,18401,-0.28429282160625446
2004-02-13,1380,1407,1348,1363,8369,-2.851033499643621
2004-02-16,1368,1371,1325,1348,10870,-1.1005135730007336
2004-02-17,1354,1374,1325,1348,17714,0.0
2004-02-18,1348,1368,1325,1346,7111,-0.1483679525222552
2004-02-19,1327,1339,1313,1319,21435,-2.0059435364041605
2004-02-20,1313,1371,1313,1372,41586,4.01819560272934
2004-02-23,1367,1389,1344,1368,8910,-0.2915451895043732
2004-02-24,1389,1389,1333,1348,5240,-1.461988304093567
2004-02-25,1368,1368,1332,1347,5972,-0.0741839762611276
2004-02-26,1298,1322,1285,1291,12095,-4.157386785449146
2004-02-27,1354,1354,1297,1306,8232,1.1618900077459333
2004-03-02,1307,1316,1289,1313,3340,0.5359877488514548
2004-03-03,1363,1468,1363,1469,138471,11.881188118811881
2004-03-04,1644,1644,1562,1645,395106,11.980939414567732
2004-03-05,1726,1782,1518,1606,619157,-2.370820668693009
2004-03-08,1582,1582,1415,1416,229767,-11.83063511830635
2004-03-09,1418,1430,1285,1329,116432,-6.1440677966101696
2004-03-10,1325,1418,1304,1331,154340,0.15048908954100826
2004-03-11,1319,1327,1266,1287,58558,-3.3057851239669422
2004-03-12,1289,1319,1131,1199,71454,-6.837606837606838
2004-03-15,1231,1242,1210,1231,43825,2.6688907422852375
2004-03-16,1210,1228,1201,1202,24035,-2.3558082859463854
2004-03-17,1213,1345,1213,1346,80381,11.980033277870216
2004-03-18,1348,1371,1275,1325,43232,-1.5601783060921248
2004-03-19,1325,1401,1325,1351,32404,1.9622641509433962
2004-03-22,1374,1374,1322,1348,14731,-0.22205773501110287
2004-03-23,1360,1360,1325,1340,7782,-0.5934718100890208
2004-03-24,1342,1354,1320,1326,13750,-1.0447761194029852
2004-03-25,1333,1366,1319,1334,10281,0.603318250377074
2004-03-26,1348,1348,1319,1334,4579,0.0
2004-03-29,1307,1339,1307,1334,5488,0.0
2004-03-30,1404,1471,1357,1360,36765,1.9490254872563717
2004-03-31,1363,1398,1304,1334,6253,-1.911764705882353
2004-04-01,1401,1407,1325,1378,15401,3.2983508245877062
2004-04-02,1361,1402,1349,1406,12361,2.0319303338171264
2004-04-06,1386,1433,1386,1419,15791,0.9246088193456615
2004-04-07,1414,1439,1408,1429,6511,0.7047216349541932
2004-04-08,1445,1547,1442,1448,23399,1.3296011196641007
2004-04-09,1448,1492,1392,1416,462,-2.209944751381215
2004-04-12,1415,1462,1407,1410,3905,-0.423728813559322
2004-04-13,1407,1448,1348,1410,17890,0.0
2004-04-14,1433,1465,1410,1436,15823,1.8439716312056738
2004-04-16,1465,1474,1439,1469,16957,2.298050139275766
2004-04-19,1468,1492,1462,1486,5291,1.1572498298162015
2004-04-20,1465,1518,1465,1489,10898,0.2018842530282638
2004-04-21,1492,1492,1465,1489,11521,0.0
2004-04-22,1495,1495,1421,1483,4909,-0.4029550033579583
2004-04-23,1483,1506,1398,1466,9732,-1.1463250168577208
2004-04-26,1492,1641,1471,1642,219874,12.005457025920874
2004-04-27,1656,1776,1527,1642,65448,0.0
2004-04-28,1676,1700,1626,1642,18184,0.0
2004-04-29,1559,1691,1483,1560,40545,-4.993909866017052
2004-04-30,1638,1638,1515,1527,4334,-2.1153846153846154
2004-05-03,1495,1635,1495,1557,11229,1.9646365422396856
2004-05-04,1635,1635,1571,1583,16849,1.6698779704560054
2004-05-06,1641,1641,1524,1571,1807,-0.7580543272267846
2004-05-07,1509,1571,1407,1477,12913,-5.9834500318268615
2004-05-10,1436,1477,1392,1422,13196,-3.7237643872714963
2004-05-11,1348,1451,1348,1445,5621,1.6174402250351618
2004-05-12,1412,1459,1392,1422,4837,-1.591695501730104
2004-05-13,1453,1453,1377,1451,5605,2.0393811533052038
2004-05-14,1462,1462,1415,1436,365,-1.0337698139214335
2004-05-17,1415,1451,1348,1451,3362,1.0445682451253482
2004-05-18,1351,1442,1351,1433,11219,-1.2405237767057202
2004-05-19,1412,1462,1354,1436,4474,0.20935101186322402
2004-05-20,1361,1430,1344,1426,2819,-0.6963788300835655
2004-05-21,1451,1451,1377,1436,1709,0.7012622720897616
2004-05-24,1439,1465,1377,1454,757,1.2534818941504178
2004-05-25,1392,1436,1392,1436,417,-1.2379642365887207
2004-05-27,1377,1456,1357,1451,8187,1.0445682451253482
2004-05-28,1442,1442,1361,1432,1173,-1.3094417643004823
2004-05-31,1377,1436,1377,1436,206,0.27932960893854747
2004-06-01,1430,1430,1380,1428,371,-0.5571030640668524
2004-06-02,1436,1436,1377,1436,2080,0.5602240896358543
2004-06-03,1421,1465,1415,1460,1736,1.6713091922005572
2004-06-04,1446,1446,1349,1447,2999,-0.8904109589041096
2004-06-07,1395,1453,1383,1442,879,-0.3455425017277125
2004-06-08,1376,1448,1376,1444,1553,0.13869625520110956
2004-06-09,1383,1456,1383,1448,5892,0.2770083102493075
2004-06-10,1439,1442,1417,1435,4903,-0.8977900552486188
2004-06-11,1459,1459,1377,1407,9313,-1.951219512195122
2004-06-14,1348,1451,1348,1451,18699,3.1272210376687988
2004-06-15,1624,1624,1530,1624,350767,11.922811853893867
2004-06-16,1785,1817,1556,1562,746123,-3.8177339901477834
2004-06-17,1574,1582,1395,1407,183540,-9.923175416133162
2004-06-18,1380,1448,1281,1304,132318,-7.320540156361052
2004-06-21,1289,1330,1253,1262,76787,-3.2208588957055215
2004-06-22,1216,1254,1201,1202,49580,-4.754358161648177
2004-06-23,1190,1313,1190,1231,36327,2.4126455906821964
2004-06-24,1226,1264,1215,1265,22538,2.761982128350934
2004-06-25,1259,1283,1244,1265,11693,0.0
2004-06-28,1263,1283,1260,1266,16806,0.07905138339920949
2004-06-29,1263,1263,1172,1237,11407,-2.2906793048973144
2004-06-30,1237,1383,1237,1304,57518,5.416329830234439
2004-07-01,1310,1363,1283,1310,15772,0.4601226993865031
2004-07-02,1310,1398,1263,1398,20640,6.7175572519083975
2004-07-05,1317,1424,1317,1373,25402,-1.7882689556509301
2004-07-06,1412,1536,1412,1536,135506,11.871813546977423
2004-07-07,1641,1653,1536,1536,271090,0.0
2004-07-08,1512,1553,1451,1486,75365,-3.2552083333333335
2004-07-09,1509,1568,1407,1407,58394,-5.3162853297442805
2004-07-12,1377,1412,1336,1346,79494,-4.33546552949538
2004-07-13,1327,1348,1259,1291,49424,-4.086181277860327
