날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도,네이버_검색량
2019-01-02,1650,1660,1580,1600,226920,-2.1406727828746175,1557,20.78,1.03,77,0.0,0,0,0,-7092,7092,0,0,0,206907,20013,226920,0,0,213999,12921,226920,0,0,-11769045,11769045,0,0,0,332914680,32430700,365345380,0,0,344683725,20661655,365345380,0.77153
2019-01-03,1600,1610,1555,1590,316913,-0.625,1557,20.65,1.02,77,0.0,0,0,50,2406,-2456,0,0,50,271009,45854,316913,0,0,268603,48310,316913,0,78750,4172120,-4250870,0,0,78750,428744560,72471590,501294900,0,0,424572440,76722460,501294900,0.74889
2019-01-04,1575,1600,1550,1575,308006,-0.9433962264150944,1557,20.45,1.01,77,0.0,0,0,0,-11639,11639,0,0,0,258741,49265,308006,0,0,270380,37626,308006,0,0,-18591300,18591300,0,0,0,406350950,77402520,483753470,0,0,424942250,58811220,483753470,0.69575
2019-01-07,1600,1615,1590,1600,280148,1.5873015873015872,1557,20.78,1.03,77,0.0,0,35,0,-59756,59721,0,35,0,218273,61840,280148,0,0,278029,2119,280148,56350,0,-95653095,95596745,0,56350,0,348875300,98988180,447919830,0,0,444528395,3391435,447919830,0.77645
2019-01-08,1595,1645,1590,1645,553670,2.8125,1557,21.36,1.06,77,0.0,0,0,0,-17003,17003,0,0,0,506851,46819,553670,0,0,523854,29816,553670,0,0,-27395440,27395440,0,0,0,820671080,75741740,896412820,0,0,848066520,48346300,896412820,0.88765
2019-01-09,1650,1685,1635,1675,392782,1.82370820668693,1557,21.75,1.08,77,0.0,0,-37,0,-24954,24991,0,0,0,349229,43553,392782,37,0,374183,18562,392782,-62160,0,-41598465,41660625,0,0,0,581227060,72588630,653815690,62160,0,622825525,30928005,653815690,0.82073
2019-01-10,1665,1725,1660,1695,581993,1.1940298507462688,1557,22.01,1.09,77,0.0,0,0,0,48530,-48530,0,0,0,552064,29929,581993,0,0,503534,78459,581993,0,0,82670980,-82670980,0,0,0,934624900,50540740,985165640,0,0,851953920,133211720,985165640,0.8473
2019-01-11,1715,1810,1660,1695,835200,0.0,1557,22.01,1.09,77,0.0,0,0,0,163518,-163518,0,0,0,813225,21975,835200,0,0,649707,185493,835200,0,0,280276075,-280276075,0,0,0,1398212390,37469370,1435681760,0,0,1117936315,317745445,1435681760,1.17698
2019-01-14,1705,1705,1665,1680,559090,-0.8849557522123894,1557,21.82,1.08,77,0.0,0,0,-500,-46717,47217,0,0,0,504927,54163,559090,0,500,551644,6946,559090,0,-841705,-78784845,79626550,0,0,0,848350835,91328425,939679260,0,841705,927135680,11701875,939679260,0.84238
2019-01-15,1725,1725,1685,1695,518585,0.8928571428571428,1557,22.01,1.09,77,0.0,0,0,-200,-28348,28548,0,0,0,434909,83676,518585,0,200,463257,55128,518585,0,-340000,-48808255,49148255,0,0,0,741554380,143093380,884647760,0,340000,790362635,93945125,884647760,0.89651
2019-01-16,1705,1705,1670,1695,291422,0.0,1557,22.01,1.09,77,0.0,0,0,400,-45139,44739,0,0,400,225987,65035,291422,0,0,271126,20296,291422,0,676000,-76207185,75531185,0,0,676000,380679230,109750275,491105505,0,0,456886415,34219090,491105505,0.80203
2019-01-17,1690,1740,1685,1730,515884,2.0648967551622417,1557,22.47,1.11,77,0.0,0,33,300,-34405,34072,0,33,300,439184,76367,515884,0,0,473589,42295,515884,56760,513500,-58952945,58382685,0,56760,513500,751983250,130583070,883136580,0,0,810936195,72200385,883136580,0.85714
2019-01-18,1750,1880,1720,1795,3018403,3.7572254335260116,1557,23.31,1.15,77,0.0,0,31,700,143621,-144352,0,31,4321,2892485,121566,3018403,0,3621,2748864,265918,3018403,55490,1126820,263586140,-264768450,0,55490,7702565,5216956950,217087305,5441802310,0,6575745,4953370810,481855755,5441802310,1.49582
2019-01-21,1815,1865,1790,1835,1647575,2.2284122562674096,1557,23.83,1.18,77,0.0,0,31,544,79523,-80098,0,31,844,1600513,46187,1647575,0,300,1520990,126285,1647575,56730,993240,145797245,-146847215,0,56730,1545240,2929842100,84665025,3016109095,0,552000,2784044855,231512240,3016109095,1.41513
2019-01-22,1860,1865,1770,1810,771305,-1.3623978201634876,1557,23.51,1.16,77,0.0,0,0,-244,104400,-104156,0,0,300,758893,12112,771305,0,544,654493,116268,771305,0,-432320,187472555,-187040235,0,0,536000,1364133940,21923770,1386593710,0,968320,1176661385,208964005,1386593710,1.07069
2019-01-23,1785,1920,1780,1830,2620306,1.1049723756906076,1557,23.77,1.18,77,0.0,0,0,500,21733,-22233,0,0,500,2479195,140611,2620306,0,0,2457462,162844,2620306,0,915500,42006830,-42922330,0,0,915500,4606875550,258158165,4865949215,0,0,4564868720,301080495,4865949215,1.45055
2019-01-24,1830,1835,1800,1800,529744,-1.639344262295082,1557,23.38,1.16,77,0.0,0,0,0,10333,-10333,0,0,0,499762,29982,529744,0,0,489429,40315,529744,0,0,18845760,-18845760,0,0,0,905317135,54382425,959699560,0,0,886471375,73228185,959699560,1.01263
2019-01-25,1795,1815,1775,1790,365220,-0.5555555555555556,1557,23.25,1.15,77,0.0,0,0,100,-39776,39676,0,0,100,318235,46885,365220,0,0,358011,7209,365220,0,179000,-70951680,70772680,0,0,179000,570508365,83686175,654373540,0,0,641460045,12913495,654373540,0.86698
2019-01-28,1780,1805,1760,1775,270823,-0.8379888268156425,1557,23.05,1.14,77,0.0,0,0,6782,8067,-14849,0,0,6782,247944,16097,270823,0,0,239877,30946,270823,0,12031680,14427485,-26459165,0,0,12031680,440087195,28597635,480716510,0,0,425659710,55056800,480716510,0.96638
2019-01-29,1765,1765,1725,1745,350644,-1.6901408450704223,1557,22.66,1.12,77,0.0,0,0,100,-9738,9638,0,0,100,320134,30410,350644,0,0,329872,20772,350644,0,174500,-16968730,16794230,0,0,174500,555980885,52892080,609047465,0,0,572949615,36097850,609047465,0.81089
2019-01-30,1740,1765,1730,1740,264872,-0.28653295128939826,1557,22.6,1.12,77,0.0,0,0,150,-24994,24844,0,0,150,226435,38287,264872,0,0,251429,13443,264872,0,260750,-43891970,43631220,0,0,260750,394780565,67008380,462049695,0,0,438672535,23377160,462049695,0.73019
2019-01-31,1745,1785,1730,1750,261106,0.5747126436781609,1557,22.73,1.12,77,0.0,0,0,0,48218,-48218,0,0,0,237402,23704,261106,0,0,189184,71922,261106,0,0,85315250,-85315250,0,0,0,417136640,41361930,458498570,0,0,331821390,126677180,458498570,0.69182
2019-02-01,1750,1760,1725,1740,267686,-0.5714285714285714,1557,22.6,1.12,77,0.0,0,-2,150,-19001,18853,0,0,150,244730,22806,267686,2,0,263731,3953,267686,-3470,260500,-33124890,32867860,0,0,260500,424478015,39731415,464469930,3470,0,457602905,6863555,464469930,0.70067
2019-02-07,1740,1775,1725,1775,374512,2.0114942528735633,1557,23.05,1.14,77,0.0,0,0,300,-78104,77804,0,0,300,287756,86456,374512,0,0,365860,8652,374512,0,520000,-136470205,135950205,0,0,520000,502047295,151054460,653621755,0,0,638517500,15104255,653621755,0.79613
2019-02-08,1765,1780,1745,1760,218870,-0.8450704225352111,1557,22.86,1.13,77,0.0,0,0,0,-3257,3257,0,0,0,189088,29782,218870,0,0,192345,26525,218870,0,0,-5775080,5775080,0,0,0,331886395,52248360,384134755,0,0,337661475,46473280,384134755,0.79318
2019-02-11,1760,1770,1735,1735,189680,-1.4204545454545454,1557,22.53,1.11,77,0.0,0,0,100,25408,-25508,0,0,100,181902,7678,189680,0,0,156494,33186,189680,0,174000,44564620,-44738620,0,0,174000,317704560,13382690,331261250,0,0,273139940,58121310,331261250,0.75972
2019-02-12,1740,1755,1710,1740,245743,0.2881844380403458,1557,22.6,1.12,77,0.0,0,0,-900,-56656,57556,0,0,100,176792,68851,245743,0,1000,233448,11295,245743,0,-1541500,-98506450,100047950,0,0,173500,305927065,119530950,425631515,0,1715000,404433515,19483000,425631515,0.76661
2019-02-13,1740,1755,1730,1750,229484,0.5747126436781609,1557,22.73,1.12,77,0.0,0,-128,400,-19905,19633,0,0,400,198687,30397,229484,128,0,218592,10764,229484,-222720,694500,-34654795,34183015,0,0,694500,345517610,52963570,399175680,222720,0,380172405,18780555,399175680,0.81089
2019-02-14,1755,1760,1720,1725,212266,-1.4285714285714286,1557,22.4,1.11,77,0.0,0,0,100,23725,-23825,0,0,100,195128,17038,212266,0,0,171403,40863,212266,0,173000,41301865,-41474865,0,0,173000,337821475,29516330,367510805,0,0,296519610,70991195,367510805,0.71051
2019-02-15,1715,1745,1710,1715,302208,-0.5797101449275363,1557,22.27,1.1,77,0.0,0,0,-6582,-17322,23904,0,0,0,256959,45249,302208,0,6582,274281,21345,302208,0,-11278630,-30025930,41304560,0,0,0,442373120,78061180,520434300,0,11278630,472399050,36756620,520434300,0.64261
2019-02-18,1725,1750,1715,1750,190313,2.0408163265306123,1557,22.73,1.12,77,0.0,0,0,100,-60561,60461,0,0,100,127931,62282,190313,0,0,188492,1821,190313,0,172000,-105020670,104848670,0,0,172000,221439030,107990900,329601930,0,0,326459700,3142230,329601930,0.74004
2019-02-19,1750,1800,1730,1800,1198754,2.857142857142857,1557,23.38,1.16,77,0.0,0,0,0,-5465,5465,0,0,0,1168159,30595,1198754,0,0,1173624,25130,1198754,0,0,-9497530,9497530,0,0,0,2168929940,53795715,2222725655,0,0,2178427470,44298185,2222725655,1.86486
2019-02-20,1920,1925,1800,1800,4672672,0.0,1557,23.38,1.16,77,0.0,0,0,1800,317542,-319342,0,0,48300,4564985,59387,4672672,0,46500,4247443,378729,4672672,0,4824800,588208420,-593033220,0,0,90703000,8496947360,109896595,8697546955,0,85878200,7908738940,702929815,8697546955,2.84896
2019-02-21,1800,1900,1780,1850,1742191,2.7777777777777777,1557,24.03,1.19,77,0.0,0,0,3890,-98826,94936,0,0,3890,1566036,172265,1742191,0,0,1664862,77329,1742191,0,7191950,-178601505,171409555,0,0,7191950,2893741580,315896960,3216830490,0,0,3072343085,144487405,3216830490,1.85207
2019-02-22,1855,1890,1815,1840,752501,-0.5405405405405406,1557,23.9,1.18,77,0.0,0,0,100,33381,-33481,0,0,100,734681,17720,752501,0,0,701300,51201,752501,0,188000,62549135,-62737135,0,0,188000,1354307240,32637475,1387132715,0,0,1291758105,95374610,1387132715,1.32557
2019-02-25,1860,1870,1825,1840,642938,0.0,1557,23.9,1.18,77,0.0,0,0,2650,26913,-29563,0,0,2650,623971,16317,642938,0,0,597058,45880,642938,0,4870400,49548810,-54419210,0,0,4870400,1149094120,30195675,1184160195,0,0,1099545310,84614885,1184160195,1.27046
2019-02-26,1855,1885,1825,1825,1017250,-0.8152173913043478,1557,23.7,1.17,77,0.0,0,0,300,54828,-55128,0,0,300,977707,39243,1017250,0,0,922879,94371,1017250,0,554500,101323865,-101878365,0,0,554500,1813296920,73088085,1886939505,0,0,1711973055,174966450,1886939505,1.39249
2019-02-27,1815,1835,1800,1810,608448,-0.821917808219178,1557,23.51,1.16,77,0.0,0,0,0,-124500,124500,0,0,0,483948,124500,608448,0,0,608448,0,608448,0,0,-225818020,225818020,0,0,0,875536255,225818020,1101354275,0,0,1101354275,0,1101354275,0.95654
2019-02-28,1810,1830,1645,1700,744523,-6.077348066298343,1557,22.08,1.09,77,0.0,0,0,0,92536,-92536,0,0,0,695719,48804,744523,0,0,603183,141340,744523,0,0,167695250,-167695250,0,0,0,1229654150,83844915,1313499065,0,0,1061958900,251540165,1313499065,1.08939
2019-03-04,1705,1745,1690,1705,461063,0.29411764705882354,1557,22.14,1.1,77,0.0,0,0,-5007,-25719,30726,0,0,0,393139,67924,461063,0,5007,418858,37198,461063,0,-8511970,-43925270,52437240,0,0,0,672733515,116310260,789043775,0,8511970,716658785,63873020,789043775,0.89356
2019-03-05,1700,1745,1695,1715,326957,0.5865102639296188,1557,22.27,1.1,77,0.0,0,0,0,1938,-1938,0,0,0,274725,52232,326957,0,0,272787,54170,326957,0,0,2760950,-2760950,0,0,0,469525355,89699470,559224825,0,0,466764405,92460420,559224825,0.8719
2019-03-06,1720,1785,1705,1730,675537,0.8746355685131195,1557,22.47,1.11,77,0.0,0,0,0,30771,-30771,0,0,2724,646911,25902,675537,0,2724,616140,56673,675537,0,-77640,54762630,-54684990,0,0,4767000,1130875025,45030425,1180672450,0,4844640,1076112395,99715415,1180672450,1.10907
2019-03-07,1760,2245,1760,2030,39386223,17.341040462427745,1557,26.36,1.3,77,0.0,0,1300,-10473,348288,-339115,0,61000,702436,38146558,476229,39386223,59700,712909,37798270,815344,39386223,4325000,17788365,665179255,-687292620,0,128676000,1550205280,78403860115,971439400,81054180795,124351000,1532416915,77738680860,1658732020,81054180795,29.24342
2019-03-08,2050,2195,1980,2105,17636739,3.6945812807881775,1557,27.34,1.35,77,0.0,0,700,-3087,37712,-35325,0,1700,8040,17394108,232891,17636739,1000,11127,17356396,268216,17636739,1359000,-6184370,85442260,-80616890,0,3459000,17026850,36410332585,480238510,36911056945,2100000,23211220,36324890325,560855400,36911056945,5.49913
2019-03-11,2055,2105,2005,2105,7352385,0.0,1557,27.34,1.35,77,0.0,0,-2000,6448,-125612,121164,0,0,7898,7075020,269467,7352385,2000,1450,7200632,148303,7352385,-4085000,14204195,-263174525,253055330,0,0,17193445,14800567035,558635890,15376396370,4085000,2989250,15063741560,305580560,15376396370,4.17552
2019-03-12,2230,2330,2030,2050,18013691,-2.6128266033254155,1557,26.62,1.32,77,0.0,0,0,-5158,101022,-95864,0,0,4020,17794855,214816,18013691,0,9178,17693833,310680,18013691,0,-11172435,232271920,-221099485,0,0,9145650,39206240570,460230045,39675616265,0,20318085,38973968650,681329530,39675616265,5.83471
2019-03-13,2060,2150,1985,2150,5458434,4.878048780487805,1557,27.92,1.38,77,0.0,0,0,1740,-79390,77650,0,0,4657,5185499,268278,5458434,0,2917,5264889,190628,5458434,0,3577900,-161619220,158041320,0,0,9599385,10737611600,548690100,11295901085,0,6021485,10899230820,390648780,11295901085,4.20799
2019-03-14,2115,2130,2040,2040,2792773,-5.116279069767442,1557,26.49,1.31,77,0.0,0,0,0,39517,-39517,0,0,0,2687664,105109,2792773,0,0,2648147,144626,2792773,0,0,82935225,-82935225,0,0,0,5591292320,219802540,5811094860,0,0,5508357095,302737765,5811094860,3.67068
2019-03-15,2000,2080,1950,2000,3160769,-1.9607843137254901,1557,25.97,1.28,77,0.0,0,0,0,-15378,15378,0,0,454,2924594,235721,3160769,0,454,2939972,220343,3160769,0,2255,-27455770,27453515,0,0,907985,5910207940,474115515,6385231440,0,905730,5937663710,446662000,6385231440,2.54389
2019-03-18,2005,2055,1995,2040,1739941,2.0,1557,26.49,1.31,77,0.0,0,0,1700,-28749,27049,0,0,1700,1579128,159113,1739941,0,0,1607877,132064,1739941,0,3441500,-58989560,55548060,0,0,3441500,3194923650,322264185,3520629335,0,0,3253913210,266716125,3520629335,2.23291
2019-03-19,2030,2115,2020,2100,3777297,2.941176470588235,1557,27.27,1.35,77,0.0,0,0,2113,-8896,6783,0,0,2113,3537568,237616,3777297,0,0,3546464,230833,3777297,0,4327660,-19108965,14781305,0,0,4327660,7351986910,492899960,7849214530,0,0,7371095875,478118655,7849214530,2.72398
2019-03-20,2090,2115,1985,2020,1666361,-3.8095238095238098,1557,26.23,1.3,77,0.0,0,0,-2740,41165,-38425,0,0,100,1614859,51402,1666361,0,2840,1573694,89827,1666361,0,-5518100,88180460,-82662360,0,0,204500,3294452055,104085515,3398742070,0,5722600,3206271595,186747875,3398742070,2.51928
2019-03-21,2055,2085,2005,2005,1208232,-0.7425742574257426,1557,26.04,1.29,77,0.0,0,0,0,-7261,7261,0,0,0,1162003,46229,1208232,0,0,1169264,38968,1208232,0,0,-14395120,14395120,0,0,0,2370690140,94358740,2465048880,0,0,2385085260,79963620,2465048880,2.5429
2019-03-22,2005,2025,1895,1940,2284650,-3.2418952618453867,1557,25.19,1.25,77,0.0,0,0,-613,-100027,100640,0,0,0,2121814,162836,2284650,0,613,2221841,62196,2284650,0,-1176960,-192948775,194125735,0,0,0,4100611240,314225195,4414836435,0,1176960,4293560015,120099460,4414836435,2.1719
2019-03-25,1870,1915,1820,1835,1301966,-5.412371134020619,1557,23.83,1.18,77,0.0,0,0,0,-7642,7642,0,0,0,1175479,126487,1301966,0,0,1183121,118845,1301966,0,0,-16700065,16700065,0,0,0,2196228440,238360230,2434588670,0,0,2212928505,221660165,2434588670,1.8127
2019-03-26,1870,1930,1865,1910,1802663,4.087193460490464,1557,24.81,1.23,77,0.0,0,0,0,50914,-50914,0,0,0,1709323,93340,1802663,0,0,1658409,144254,1802663,0,0,97465730,-97465730,0,0,0,3253456665,177403715,3430860380,0,0,3155990935,274869445,3430860380,2.01051
2019-03-27,1900,1990,1880,1890,1502367,-1.0471204188481675,1557,24.55,1.21,77,0.0,0,0,10000,-54972,44972,0,0,10000,1389756,102611,1502367,0,0,1444728,57639,1502367,0,18882900,-102935240,84052340,0,0,18882900,2672322215,196200085,2887405200,0,0,2775257455,112147745,2887405200,1.81664
