날짜,시가,고가,저가,종가,거래량,등락률,BPS,PER,PBR,EPS,DIV,DPS,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2019-10-18,3453,4488,3453,4489,2385,,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2385.0,0.0,2385.0,0.0,0.0,2385.0,0.0,2385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10732560.0,0.0,10732560.0,0.0,0.0,10732560.0,0.0,10732560.0
2019-10-21,5833,5833,5833,5833,1858,29.939852973936286,0,0.0,0.0,0,0.0,0,-59.0,0.0,59.0,0.0,0.0,0.0,0.0,1858.0,0.0,1858.0,59.0,0.0,1799.0,0.0,1858.0,-355770.0,0.0,355770.0,0.0,0.0,0.0,0.0,11203740.0,0.0,11203740.0,355770.0,0.0,10847970.0,0.0,11203740.0
2019-10-22,7574,7574,7574,7575,6563,29.86456368935368,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6563.0,0.0,6563.0,0.0,0.0,6563.0,0.0,6563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51388290.0,0.0,51388290.0,0.0,0.0,51388290.0,0.0,51388290.0
2019-10-23,9819,9819,9490,9819,89947,29.62376237623762,0,0.0,0.0,0,0.0,0,-3000.0,0.0,3000.0,0.0,0.0,0.0,0.0,89947.0,0.0,89947.0,3000.0,0.0,86947.0,0.0,89947.0,-30450000.0,0.0,30450000.0,0.0,0.0,0.0,0.0,912560440.0,0.0,912560440.0,30450000.0,0.0,882110440.0,0.0,912560440.0
2019-10-24,11221,12721,11125,12721,205643,29.554944495366126,0,0.0,0.0,0,0.0,0,-4768.0,0.0,4723.0,45.0,0.0,0.0,0.0,204929.0,714.0,205643.0,4768.0,0.0,200206.0,669.0,205643.0,-59781900.0,0.0,59547100.0,234800.0,0.0,0.0,0.0,2543295750.0,8946650.0,2552242400.0,59781900.0,0.0,2483748650.0,8711850.0,2552242400.0
2019-10-25,14752,16494,14752,16494,38942,29.659617954563323,0,0.0,0.0,0,0.0,0,-500.0,0.0,388.0,112.0,0.0,0.0,0.0,38728.0,214.0,38942.0,500.0,0.0,38340.0,102.0,38942.0,-7625000.0,0.0,5884600.0,1740400.0,0.0,0.0,0.0,628859600.0,3479500.0,632339100.0,7625000.0,0.0,622975000.0,1739100.0,632339100.0
2019-10-28,0,0,0,16494,0,0.0,0,0.0,0.0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-29,21427,21427,13156,13834,974821,-16.127076512671273,0,0.0,0.0,0,0.0,0,-1000.0,0.0,879.0,121.0,0.0,0.0,0.0,973622.0,1199.0,974821.0,1000.0,0.0,972743.0,1078.0,974821.0,-20183050.0,0.0,18319600.0,1863450.0,0.0,0.0,0.0,16122086950.0,19011650.0,16141098600.0,20183050.0,0.0,16103767350.0,17148200.0,16141098600.0
2019-10-30,14075,17219,12430,15236,1116585,10.134451351742085,0,0.0,0.0,0,0.0,0,0.0,0.0,-606.0,606.0,0.0,0.0,0.0,1114381.0,2204.0,1116585.0,0.0,0.0,1114987.0,1598.0,1116585.0,0.0,0.0,-7958350.0,7958350.0,0.0,0.0,0.0,17361835350.0,32607550.0,17394442900.0,0.0,0.0,17369793700.0,24649200.0,17394442900.0
2019-10-31,14801,17896,13350,13979,620535,-8.250196902074034,0,0.0,0.0,0,0.0,0,0.0,0.0,-48.0,48.0,0.0,0.0,0.0,619553.0,982.0,620535.0,0.0,0.0,619601.0,934.0,620535.0,0.0,0.0,252800.0,-252800.0,0.0,0.0,0.0,9928864000.0,15645400.0,9944509400.0,0.0,0.0,9928611200.0,15898200.0,9944509400.0
