날짜,시가,고가,저가,종가,거래량,등락률,기관합계_거래량_순매수,기타법인_거래량_순매수,개인_거래량_순매수,외국인합계_거래량_순매수,전체_거래량_순매수,기관합계_거래량_매수,기타법인_거래량_매수,개인_거래량_매수,외국인합계_거래량_매수,전체_거래량_매수,기관합계_거래량_매도,기타법인_거래량_매도,개인_거래량_매도,외국인합계_거래량_매도,전체_거래량_매도,기관합계_거래대금_순매수,기타법인_거래대금_순매수,개인_거래대금_순매수,외국인합계_거래대금_순매수,전체_거래대금_순매수,기관합계_거래대금_매수,기타법인_거래대금_매수,개인_거래대금_매수,외국인합계_거래대금_매수,전체_거래대금_매수,기관합계_거래대금_매도,기타법인_거래대금_매도,개인_거래대금_매도,외국인합계_거래대금_매도,전체_거래대금_매도
2022-10-06,4500,4500,3600,4340,3281731,,347650,115580,584569,-1047799,0,723627,159542,2391380,7182,3281731,375977,43962,1806811,1054981,3281731,1519677520,497023845,2411461765,-4428163130,0,3096506150,677996215,10102324550,30466665,13907293580,1576828630,180972370,7690862785,4458629795,13907293580
2022-10-07,4350,4370,4250,4360,559023,0.4608294930875576,120852,0,-70276,-50576,0,276890,0,275343,6790,559023,156038,0,345619,57366,559023,522774630,0,-305107785,-217666845,0,1195186895,0,1185858665,29432875,2410478435,672412265,0,1490966450,247099720,2410478435
2022-10-11,4300,4305,4215,4220,495771,-3.211009174311927,124391,-4770,20127,-139748,0,195225,15230,283333,1983,495771,70834,20000,263206,141731,495771,529054510,-20052605,86610170,-595612075,0,830450480,64580525,1208388115,8460020,2111879140,301395970,84633130,1121777945,604072095,2111879140
2022-10-12,4220,4255,4070,4085,366080,-3.1990521327014214,18847,3561,74130,-96538,0,73366,3561,286661,2492,366080,54519,0,212531,99030,366080,78169255,14642680,304482335,-397294270,0,302788860,14642680,1185567100,10281205,1513279845,224619605,0,881084765,407575475,1513279845
2022-10-13,4090,4100,3980,3980,382712,-2.570379436964504,51145,12377,34890,-98412,0,139197,12377,215369,15769,382712,88052,0,180479,114181,382712,208490555,50128080,137825340,-396443975,0,560686890,50128080,868053075,63514420,1542382465,352196335,0,730227735,459958395,1542382465
2022-10-14,4010,4045,3975,4025,405405,1.1306532663316584,-51285,3300,91014,-43029,0,118079,3300,279930,4096,405405,169364,0,188916,47125,405405,-205952235,13247000,364929205,-172223970,0,472575125,13247000,1120615335,16375600,1622813060,678527360,0,755686130,188599570,1622813060
2022-10-17,4020,4215,3990,4150,735549,3.1055900621118013,319404,-10781,-290090,-18533,0,604032,219,79192,52106,735549,284628,11000,369282,70639,735549,1329000885,-45103230,-1206415780,-77481875,0,2508547690,877095,323870340,215497345,3048792470,1179546805,45980325,1530286120,292979220,3048792470
2022-10-18,4195,4375,4035,4345,1046062,4.698795180722891,556088,-30000,-442326,-83762,0,855467,0,112923,77672,1046062,299379,30000,555249,161434,1046062,2379925975,-127825000,-1890348105,-361752870,0,3669813530,0,477689820,331372285,4478875635,1289887555,127825000,2368037925,693125155,4478875635
2022-10-19,4300,4655,4205,4605,1632191,5.983889528193326,687451,-15028,-627141,-45282,0,1285661,100,217754,128676,1632191,598210,15128,844895,173958,1632191,3134380295,-69705275,-2855772605,-208902415,0,5857007230,463560,978998970,578005780,7414475540,2722626935,70168835,3834771575,786908195,7414475540
2022-10-20,4465,4600,4310,4505,612700,-2.1715526601520088,198423,-715,-176380,-21328,0,438355,1285,132994,40066,612700,239932,2000,309374,61394,612700,902731840,-3319210,-803282950,-96129680,0,1975729280,5650790,589726235,177946035,2749052340,1072997440,8970000,1393009185,274075715,2749052340
