,Date,Open,High,Low,Close,Volume,Change,ma_5,vel_5,ma_20,vel_20,ma_60,vel_60,com_name,com_code,vol_mean_60,vol_std_60,vol_bol_60,vol_bolin_check,mean_60,std_60,bolin_price_60_3,bolin_price_60_6,bolin_price_60_9,bolin_price_60_12,bolin_earning_60_3,bolin_earning_60_6,bolin_earning_60_9,bolin_earning_60_12,std_level,bolin_check,inverse_hammer,bear_candle,high_246,new_high_check,dec_246_1,Max_Price_20,Max_Return_20,Max_Loss_Price_20,Max_Loss_20,Max_Price_60,Max_Return_60,Max_Loss_Price_60,Max_Loss_60,Max_Price_120,Max_Return_120,Max_Loss_Price_120,Max_Loss_120,Max_Price_240,Max_Return_240,Max_Loss_Price_240,Max_Loss_240,Is_Max_Over_Bolin_60_3,Is_Max_Over_Bolin_60_6,Is_Max_Over_Bolin_60_9,Is_Max_Over_Bolin_60_12,기관순매,법인순매,개인순매,외인순매,기관대금,법인대금,개인대금,외인대금,거래대금,pump_date,dump_date,pmp_Open,pmp_High,pmp_Low,pmp_Close,pmp_Volume,pmp_Change,pmp_high_246,pmp_ma_5,pmp_vel_5,pmp_ma_20,pmp_vel_20,pmp_ma_60,pmp_vel_60,pmp_vol_mean_60,pmp_vol_std_60,pmp_vol_bol_60,pmp_vol_bolin_check,pmp_mean_60,pmp_std_60,pmp_bolin_price_60_3,pmp_bolin_earning_60_3,pmp_bolin_price_60_6,pmp_bolin_earning_60_6,pmp_bolin_price_60_9,pmp_bolin_earning_60_9,pmp_bolin_price_60_12,pmp_bolin_earning_60_12,pmp_bolin_check,pmp_high_246,pmp_new_high_check,pmp_Max_Price_60,pmp_Max_Return_20,pmp_Max_Return_60,pmp_Max_Return_120,pmp_Max_Return_240,pmp_Max_Loss_Price_20,pmp_Max_Loss_Price_60,pmp_Max_Loss_Price_120,pmp_Max_Loss_Price_240,pmp_Max_Loss_20,pmp_Max_Loss_60,pmp_Max_Loss_120,pmp_Max_Loss_240,pmp_Is_Max_Over_Bolin_60_3,pmp_Is_Max_Over_Bolin_60_6,pmp_Is_Max_Over_Bolin_60_9,pmp_Is_Max_Over_Bolin_60_12,pmp_dec_246_1,pmp_std_level,pmp_기관순매,pmp_법인순매,pmp_개인순매,pmp_외인순매,pmp_기관대금,pmp_법인대금,pmp_개인대금,pmp_외인대금,pmp_거래대금,dump_period,long_dec_3,long_dec_2,long_dec_1,period_long_dec_3,period_long_dec_2,period_long_dec_1,long_dec_ratio_1,long_dec_ratio_2,long_dec_ratio_3,A,B,C,D,E,F,G1,G2,G3,H1,H2,H3,I,J,condition_number
270,2018-04-30,4425,4650,4315,4520,2670156,6.729634002361275,4294.0,54.0,4049.25,33.75,3973.8333333333335,1.25,알루코,001780,358185.38333333336,361625.51504588703,1443061.9284709943,True,3973.8333333333335,228.33339416057626,4658.833515815062,5343.833698296791,6028.83388077852,6713.8340632602485,3.071537960510224,18.226409254353786,33.38128054819735,48.536151842040894,2.3919701657067862,False,True,False,4715.0,False,,5750.0,27.212389380530965,4185.0,-7.411504424778759,5750.0,27.212389380530965,3250.0,-28.097345132743367,3920.0,-13.27433628318584,2450.0,-45.79646017699115,3180.0,-29.646017699115045,2655.0,-41.26106194690266,True,True,False,False,36798.0,2348.0,-223068.0,183922.0,164541145.0,10676930.0,-1005114405.0,829896330.0,1005114405.0,2018-05-02,2018-04-30,4660.0,4810.0,4340.0,4695.0,3297109.0,3.8716814159292032,4715.0,4368.0,74.0,4094.5,45.25,3978.4166666666665,4.58333333333303,394468.73333333334,467161.34317823814,1795952.7628680477,True,3978.4166666666665,239.71943960017592,4697.574985467194,0.054845270866751505,5416.733304267722,15.372381347555311,6135.89162306825,30.689917424243873,6855.049941868778,46.007453500932435,True,4715.0,True,5750.0,22.470713525026632,22.470713525026632,-16.50692225772098,-32.26837060702875,4185.0,3250.0,2450.0,2655.0,-10.862619808306706,-30.777422790202348,-47.81682641107561,-43.45047923322684,True,True,False,False,,2.9892583368645904,9547.0,-418.0,216158.0,-225287.0,43078985.0,-2003190.0,986216480.0,-1027292275.0,1029295465.0,2,13,13,13,83,83,83,15.66265060240964,15.66265060240964,15.66265060240964,False,True,False,False,True,True,True,True,True,True,True,True,False,True,10
271,2018-05-02,4660,4810,4340,4695,3297109,3.8716814159292032,4368.0,74.0,4094.5,45.25,3978.4166666666665,4.58333333333303,알루코,001780,394468.73333333334,467161.34317823814,1795952.7628680477,True,3978.4166666666665,239.71943960017592,4697.574985467194,5416.733304267722,6135.89162306825,6855.049941868778,0.054845270866751505,15.372381347555311,30.689917424243873,46.007453500932435,2.9892583368645904,True,True,False,4715.0,True,,5750.0,22.470713525026632,4185.0,-10.862619808306706,5750.0,22.470713525026632,3250.0,-30.777422790202348,3920.0,-16.50692225772098,2450.0,-47.81682641107561,3180.0,-32.26837060702875,2655.0,-43.45047923322684,True,True,False,False,9547.0,-418.0,216158.0,-225287.0,43078985.0,-2003190.0,986216480.0,-1027292275.0,1029295465.0,2018-05-10,2018-05-02,4325.0,5480.0,4295.0,5480.0,24612783.0,29.85781990521327,4810.0,4494.0,157.0,4258.75,85.75,4002.1666666666665,20.416666666666515,456415.56666666665,608463.1020323355,2281804.872763673,True,4002.1666666666665,306.6775813275059,4922.199410649184,-10.178842871365259,5842.232154631702,6.61007581444711,6762.264898614219,23.39899450025948,7682.297642596737,40.187913186071846,True,4810.0,True,5750.0,4.92700729927007,4.92700729927007,-28.467153284671532,-41.97080291970803,4195.0,3250.0,2450.0,2645.0,-23.448905109489047,-40.693430656934304,-55.29197080291971,-51.73357664233576,True,False,False,False,,4.818850230056861,18990.0,-24302.0,59835.0,-54523.0,94846800.0,-110899610.0,242314615.0,-226261805.0,337161415.0,8,15,15,15,88,88,88,17.045454545454543,17.045454545454543,17.045454545454543,True,True,False,True,False,True,True,True,True,True,True,True,True,True,12
272,2018-05-10,4325,5480,4295,5480,24612783,29.85781990521327,4494.0,157.0,4258.75,85.75,4002.1666666666665,20.416666666666515,알루코,001780,456415.56666666665,608463.1020323355,2281804.872763673,True,4002.1666666666665,306.6775813275059,4922.199410649184,5842.232154631702,6762.264898614219,7682.297642596737,-10.178842871365259,6.61007581444711,23.39899450025948,40.187913186071846,4.818850230056861,True,False,False,4810.0,True,,5750.0,4.92700729927007,4195.0,-23.448905109489047,5750.0,4.92700729927007,3250.0,-40.693430656934304,3920.0,-28.467153284671532,2450.0,-55.29197080291971,3180.0,-41.97080291970803,2645.0,-51.73357664233576,True,False,False,False,18990.0,-24302.0,59835.0,-54523.0,94846800.0,-110899610.0,242314615.0,-226261805.0,337161415.0,2018-05-11,2018-05-10,5650.0,5990.0,5330.0,5650.0,25876910.0,3.102189781021898,5480.0,4754.0,260.0,4342.75,84.0,4027.1666666666665,25.0,863019.9,3151101.8043684005,10316325.313105201,True,4027.1666666666665,371.9110183304006,5142.899721657868,-8.975226165347465,6258.63277664907,10.772261533611866,7374.3658316402725,30.519749232571197,8490.098886631475,50.267236931530526,True,5480.0,True,5750.0,1.7699115044247815,1.7699115044247815,-30.619469026548675,-43.71681415929204,4195.0,3250.0,2450.0,2645.0,-25.752212389380535,-42.47787610619469,-56.63716814159292,-53.1858407079646,True,False,False,False,,4.3634989375109905,35542.0,196715.0,130205.0,-362462.0,196616040.0,1127586010.0,724917160.0,-2049119210.0,2049119210.0,1,15,15,15,89,89,89,16.853932584269664,16.853932584269664,16.853932584269664,True,False,False,True,False,True,True,True,True,True,True,True,True,True,11
273,2018-05-11,5650,5990,5330,5650,25876910,3.102189781021898,4754.0,260.0,4342.75,84.0,4027.1666666666665,25.0,알루코,001780,863019.9,3151101.8043684005,10316325.313105201,True,4027.1666666666665,371.9110183304006,5142.899721657868,6258.63277664907,7374.3658316402725,8490.098886631475,-8.975226165347465,10.772261533611866,30.519749232571197,50.267236931530526,4.3634989375109905,True,True,False,5480.0,True,,5750.0,1.7699115044247815,4195.0,-25.752212389380535,5750.0,1.7699115044247815,3250.0,-42.47787610619469,3920.0,-30.619469026548675,2450.0,-56.63716814159292,3180.0,-43.71681415929204,2645.0,-53.1858407079646,True,False,False,False,35542.0,196715.0,130205.0,-362462.0,196616040.0,1127586010.0,724917160.0,-2049119210.0,2049119210.0,No pumping date,2018-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No pumping date,,,,,,,,,,True,True,False,True,True,False,False,False,False,False,False,False,False,False,4
274,2019-01-16,2970,3245,2970,3110,1231497,5.423728813559322,2947.0,34.0,2826.5,16.25,2815.75,-0.5,알루코,001780,189541.1,104541.2839106506,503164.9517319518,True,2815.75,112.63815590939524,3153.6644677281856,3491.5789354563713,3829.493403184557,4167.4078709127425,1.404002177755165,12.269419146507115,23.134836115259063,34.000253084011014,2.61234745565873,True,True,False,5990.0,False,54.9,3180.0,2.2508038585209,3010.0,-3.2154340836012874,3180.0,2.2508038585209,2655.0,-14.63022508038585,3180.0,2.2508038585209,2540.0,-18.327974276527325,3180.0,2.2508038585209,2020.0,-35.04823151125402,True,False,False,False,8861.0,-4681.0,75479.0,-79659.0,27420250.0,-14767995.0,238093365.0,-250745620.0,265513615.0,2020-08-11,2019-01-16,3480.0,3480.0,3480.0,3480.0,903477.0,29.850746268656714,3100.0,2468.0,290.0,2105.25,80.75,1977.0,24.666666666666742,497411.6666666667,790999.032060987,2870408.7628496275,False,1977.0,240.71456125462163,2699.143683763865,-22.438399891842963,3421.2873675277297,-1.6871446112721362,4143.4310512915945,19.064110669298692,4865.574735055459,39.815365949869516,True,3100.0,True,5870.0,68.67816091954022,68.67816091954022,68.67816091954022,68.67816091954022,3440.0,3440.0,3440.0,3440.0,-1.1494252873563204,-1.1494252873563204,-1.1494252873563204,-1.1494252873563204,True,True,True,True,50.4,6.243909766680735,-27200.0,-8700.0,33501.0,2399.0,-94656000.0,-30276000.0,116583480.0,8348520.0,124932000.0,573,369,314,136,643,487,243,55.96707818930041,64.47638603696099,57.38724727838258,True,True,True,True,False,True,False,False,False,True,True,True,True,False,9
275,2019-05-09,2680,2725,2600,2620,848090,-1.5037593984962405,2666.0,-16.0,2752.75,-8.75,2821.8333333333335,-8.83333333333303,알루코,001780,164343.63333333333,66818.88080123317,364800.2757370329,True,2821.8333333333335,148.01173001564712,3265.868523380275,3709.903713427216,4153.938903474158,4597.974093521099,24.651470358025758,41.59937837508459,58.54728639214344,75.49519440920226,-1.363630661650915,False,True,True,5990.0,False,55.7,2945.0,12.404580152671763,2540.0,-3.053435114503822,3165.0,20.801526717557262,2265.0,-13.54961832061069,3165.0,20.801526717557262,2020.0,-22.90076335877863,3165.0,20.801526717557262,1130.0,-56.87022900763359,False,False,False,False,27325.0,0.0,136063.0,-163388.0,72422775.0,0.0,363812405.0,-436235180.0,436235180.0,2019-05-14,2019-05-09,2675.0,2735.0,2675.0,2730.0,336729.0,1.1111111111111112,5990.0,2661.0,17.0,2729.75,-5.5,2798.5833333333335,-5.916666666666515,201417.73333333334,203571.07529048953,812130.959204802,False,2798.5833333333335,132.17441654454743,3195.106582966976,17.036871170951503,3591.629832600618,31.56153232969297,3988.15308223426,46.08619348843444,4384.676331867902,60.610854647175906,False,5990.0,False,3165.0,12.637362637362637,15.934065934065945,15.934065934065945,15.934065934065945,2540.0,2020.0,2020.0,1130.0,-6.959706959706957,-26.007326007326004,-26.007326007326004,-58.60805860805861,False,False,False,False,55.3,-0.5188850847714428,20331.0,-100.0,-38297.0,18066.0,55383795.0,-272320.0,-104538735.0,49427260.0,104811055.0,5,188,188,173,333,333,243,71.19341563786008,56.45645645645646,56.45645645645646,False,True,True,True,False,False,False,False,False,False,False,False,False,False,3
276,2019-05-13,2560,2870,2560,2700,1498134,4.046242774566474,2644.0,-1.0,2735.25,-7.0,2804.5,-7.583333333333485,알루코,001780,179102.1,113790.83961075493,520474.6188322648,True,2804.5,136.83536336294537,3215.006090088836,3625.5121801776722,4036.0182702665084,4446.5243603553445,19.074299632919857,34.27822889546934,49.48215815801883,64.68608742056831,-0.7636914715008408,False,True,False,5990.0,False,55.7,3075.0,13.888888888888884,2540.0,-5.925925925925924,3165.0,17.22222222222223,2020.0,-25.185185185185187,3165.0,17.22222222222223,2020.0,-25.185185185185187,3165.0,17.22222222222223,1130.0,-58.14814814814815,False,False,False,False,7207.0,0.0,21181.0,-28388.0,19694315.0,0.0,67536005.0,-87230320.0,87230320.0,2019-06-04,2019-05-13,2830.0,3030.0,2805.0,2910.0,867757.0,3.0088495575221237,5050.0,2816.0,58.0,2685.25,13.25,2727.4166666666665,3.25,213714.43333333332,207088.58609962754,834980.191632216,True,2727.4166666666665,76.9929199486874,2958.3954265127286,1.6630730760387833,3189.374186358791,9.600487503738526,3420.352946204853,17.537901931438256,3651.3317060509153,25.475316359137985,True,5050.0,False,3165.0,8.762886597938135,8.762886597938135,8.762886597938135,8.762886597938135,2845.0,2020.0,2020.0,1130.0,-2.2336769759450203,-30.584192439862544,-30.584192439862544,-61.16838487972509,True,False,False,False,54.9,2.3714301711770087,47885.0,-2999.0,-29861.0,-15025.0,139037795.0,-8697125.0,-82746815.0,-47593855.0,139037795.0,22,201,201,185,348,348,243,76.13168724279835,57.758620689655174,57.758620689655174,False,True,True,True,False,False,False,False,False,True,False,True,False,False,5
277,2019-06-04,2830,3030,2805,2910,867757,3.0088495575221237,2816.0,58.0,2685.25,13.25,2727.4166666666665,3.25,알루코,001780,213714.43333333332,207088.58609962754,834980.191632216,True,2727.4166666666665,76.9929199486874,2958.3954265127286,3189.374186358791,3420.352946204853,3651.3317060509153,1.6630730760387833,9.600487503738526,17.537901931438256,25.475316359137985,2.3714301711770087,True,True,False,5050.0,False,54.9,3165.0,8.762886597938135,2845.0,-2.2336769759450203,3165.0,8.762886597938135,2020.0,-30.584192439862544,3165.0,8.762886597938135,2020.0,-30.584192439862544,3165.0,8.762886597938135,1130.0,-61.16838487972509,True,False,False,False,47885.0,-2999.0,-29861.0,-15025.0,139037795.0,-8697125.0,-82746815.0,-47593855.0,139037795.0,2019-06-11,2019-06-04,2950.0,3075.0,2930.0,3075.0,649540.0,5.128205128205128,4695.0,2957.0,50.0,2750.25,18.75,2740.5833333333335,4.083333333333485,236489.01666666666,223108.7316986505,905815.211762618,False,2740.5833333333335,98.40431759950856,3035.7962861318592,-1.2749175241671793,3331.009238930385,8.32550370505317,3626.2221917289107,17.925924934273517,3921.435144527436,27.526346163493855,True,4695.0,False,3165.0,2.9268292682926855,2.9268292682926855,2.9268292682926855,2.9268292682926855,2540.0,2020.0,2020.0,1130.0,-17.398373983739834,-34.3089430894309,-34.3089430894309,-63.25203252032521,True,False,False,False,54.1,3.3983942455420943,116681.0,-1000.0,-280284.0,164603.0,352324640.0,-2955000.0,-844677985.0,495308345.0,847632985.0,7,201,201,185,352,352,243,76.13168724279835,57.10227272727273,57.10227272727273,True,True,False,False,False,False,False,False,False,True,True,True,True,False,6
278,2019-10-30,2250,2470,2240,2290,921591,0.881057268722467,2263.0,10.0,2285.0,-4.0,2354.1666666666665,-0.5,알루코,001780,160462.68333333332,96071.27073209906,448676.49552963045,True,2354.1666666666665,107.88947533884725,2677.835092683208,3001.50351869975,3325.171944716292,3648.8403707328334,16.936030248175026,31.070022650644113,45.20401505311318,59.33800745558224,-0.5947444499580612,False,True,False,3250.0,False,52.4,2510.0,9.606986899563319,2315.0,1.091703056768556,2850.0,24.45414847161571,2230.0,-2.6200873362445365,2850.0,24.45414847161571,1130.0,-50.655021834061145,5870.0,156.33187772925763,1130.0,-50.655021834061145,True,False,False,False,-25105.0,0.0,169458.0,-144353.0,-58195325.0,1600.0,400744905.0,-342551180.0,400746505.0,2019-11-05,2019-10-30,2380.0,2490.0,2375.0,2480.0,252109.0,2.904564315352697,3250.0,2363.0,42.0,2295.25,10.0,2367.25,7.666666666666515,177758.41666666666,148516.4166598213,623307.6666461305,False,2367.25,95.78371904105713,2654.6011571231716,7.040369238837563,2941.9523142463427,18.62710944541704,3229.303471369514,30.213849651996544,3516.6546284926853,41.80058985857602,False,3250.0,False,2850.0,1.2096774193548487,14.919354838709676,14.919354838709676,136.69354838709674,2280.0,2230.0,1130.0,1130.0,-8.064516129032262,-10.080645161290324,-54.43548387096775,-54.43548387096775,True,False,False,False,52.8,1.1771311568270844,-1409.0,-500.0,-39337.0,41246.0,-3460550.0,-1234045.0,-95748870.0,100443465.0,100443465.0,6,279,279,183,452,452,243,75.30864197530865,61.72566371681416,61.72566371681416,False,True,True,True,False,False,False,False,False,True,False,False,False,False,4
279,2019-11-04,2435,2475,2330,2410,657974,4.103671706263499,2321.0,28.0,2285.25,3.5,2359.5833333333335,4.083333333333485,알루코,001780,172789.35,136899.54459490144,583487.9837847044,True,2359.5833333333335,104.4680639664186,2672.987525232589,2986.3917171318453,3299.795909031101,3613.2001009303567,10.91234544533565,23.916668760657483,36.9209920759793,49.925315391301105,0.482603627869212,False,True,False,3250.0,False,52.8,2510.0,4.149377593361003,2340.0,-2.904564315352698,2850.0,18.257261410788384,2230.0,-7.468879668049788,2850.0,18.257261410788384,1130.0,-53.11203319502075,5870.0,143.56846473029043,1130.0,-53.11203319502075,True,False,False,False,-41551.0,700.0,55924.0,-15073.0,-98315340.0,1698060.0,131499020.0,-34881740.0,133197080.0,2019-11-05,2019-11-04,2380.0,2490.0,2375.0,2480.0,252109.0,2.904564315352697,3250.0,2363.0,42.0,2295.25,10.0,2367.25,7.666666666666515,177758.41666666666,148516.4166598213,623307.6666461305,False,2367.25,95.78371904105713,2654.6011571231716,7.040369238837563,2941.9523142463427,18.62710944541704,3229.303471369514,30.213849651996544,3516.6546284926853,41.80058985857602,False,3250.0,False,2850.0,1.2096774193548487,14.919354838709676,14.919354838709676,136.69354838709674,2280.0,2230.0,1130.0,1130.0,-8.064516129032262,-10.080645161290324,-54.43548387096775,-54.43548387096775,True,False,False,False,52.8,1.1771311568270844,-1409.0,-500.0,-39337.0,41246.0,-3460550.0,-1234045.0,-95748870.0,100443465.0,100443465.0,1,279,279,183,452,452,243,75.30864197530865,61.72566371681416,61.72566371681416,False,True,False,True,True,False,False,False,False,True,False,False,False,False,4
