,Date,Open,High,Low,Close,Volume,Change,ma_5,vel_5,ma_20,vel_20,ma_60,vel_60,com_name,com_code,vol_mean_60,vol_std_60,vol_bol_60,vol_bolin_check,mean_60,std_60,bolin_price_60_3,bolin_price_60_6,bolin_price_60_9,bolin_price_60_12,bolin_earning_60_3,bolin_earning_60_6,bolin_earning_60_9,bolin_earning_60_12,std_level,bolin_check,inverse_hammer,bear_candle,high_246,new_high_check,dec_246_1,Max_Price_20,Max_Return_20,Max_Loss_Price_20,Max_Loss_20,Max_Price_60,Max_Return_60,Max_Loss_Price_60,Max_Loss_60,Max_Price_120,Max_Return_120,Max_Loss_Price_120,Max_Loss_120,Max_Price_240,Max_Return_240,Max_Loss_Price_240,Max_Loss_240,Is_Max_Over_Bolin_60_3,Is_Max_Over_Bolin_60_6,Is_Max_Over_Bolin_60_9,Is_Max_Over_Bolin_60_12,기관순매,법인순매,개인순매,외인순매,기관대금,법인대금,개인대금,외인대금,거래대금,pump_date,dump_date,pmp_Open,pmp_High,pmp_Low,pmp_Close,pmp_Volume,pmp_Change,pmp_high_246,pmp_ma_5,pmp_vel_5,pmp_ma_20,pmp_vel_20,pmp_ma_60,pmp_vel_60,pmp_vol_mean_60,pmp_vol_std_60,pmp_vol_bol_60,pmp_vol_bolin_check,pmp_mean_60,pmp_std_60,pmp_bolin_price_60_3,pmp_bolin_earning_60_3,pmp_bolin_price_60_6,pmp_bolin_earning_60_6,pmp_bolin_price_60_9,pmp_bolin_earning_60_9,pmp_bolin_price_60_12,pmp_bolin_earning_60_12,pmp_bolin_check,pmp_high_246,pmp_new_high_check,pmp_Max_Price_60,pmp_Max_Return_20,pmp_Max_Return_60,pmp_Max_Return_120,pmp_Max_Return_240,pmp_Max_Loss_Price_20,pmp_Max_Loss_Price_60,pmp_Max_Loss_Price_120,pmp_Max_Loss_Price_240,pmp_Max_Loss_20,pmp_Max_Loss_60,pmp_Max_Loss_120,pmp_Max_Loss_240,pmp_Is_Max_Over_Bolin_60_3,pmp_Is_Max_Over_Bolin_60_6,pmp_Is_Max_Over_Bolin_60_9,pmp_Is_Max_Over_Bolin_60_12,pmp_dec_246_1,pmp_std_level,pmp_기관순매,pmp_법인순매,pmp_개인순매,pmp_외인순매,pmp_기관대금,pmp_법인대금,pmp_개인대금,pmp_외인대금,pmp_거래대금,dump_period,long_dec_3,long_dec_2,long_dec_1,period_long_dec_3,period_long_dec_2,period_long_dec_1,long_dec_ratio_1,long_dec_ratio_2,long_dec_ratio_3
178,2018-04-19,3590,3610,3445,3530,22923,0.14184397163120568,3503.0,5.0,3552.75,-13.0,3842.3333333333335,-7.83333333333303,한진중공업홀딩스,003480,7240.383333333333,4852.902626578813,21799.091213069776,True,3842.3333333333335,225.7071603255475,4519.454814309976,5196.576295286619,5873.697776263261,6550.819257239904,28.029881425211794,47.211793067609605,66.39370471000741,85.57561635240522,-1.3837989582733714,False,True,False,4290.0,False,,4590.0,30.028328611898015,3740.0,5.9490084985835745,4590.0,30.028328611898015,3635.0,2.974504249291776,4240.0,20.113314447592078,3095.0,-12.322946175637394,4900.0,38.8101983002833,2150.0,-39.09348441926346,True,False,False,False,92.0,-5.0,7235.0,-7322.0,328545.0,-17975.0,25871480.0,-26182050.0,26200025.0,2018-04-20,2018-04-19,3550.0,3800.0,3490.0,3795.0,92186.0,7.507082152974505,4290.0,3568.0,65.0,3559.5,6.75,3838.0833333333335,-4.25,7573.933333333333,5217.848764470746,23227.47962674557,True,3838.0833333333335,224.15227648979103,4510.540162802707,18.854813249083175,5182.996992272079,36.57436079768325,5855.453821741453,54.293908346283345,6527.9106512108265,72.01345589488344,False,4290.0,False,4590.0,20.948616600790505,20.948616600790505,11.725955204216065,29.117259552042164,3740.0,3635.0,3075.0,2150.0,-1.449275362318836,-4.216073781291174,-18.972332015810277,-43.34650856389987,True,False,False,False,,-0.1922056470182479,-5577.0,-14.0,1449.0,4142.0,-19397210.0,-50470.0,5103050.0,14344630.0,19447680.0,1,16,16,16,76,76,76,21.052631578947366,21.052631578947366,21.052631578947366
179,2018-04-20,3550,3800,3490,3795,92186,7.507082152974505,3568.0,65.0,3559.5,6.75,3838.0833333333335,-4.25,한진중공업홀딩스,003480,7573.933333333333,5217.848764470746,23227.47962674557,True,3838.0833333333335,224.15227648979103,4510.540162802707,5182.996992272079,5855.453821741453,6527.9106512108265,18.854813249083175,36.57436079768325,54.293908346283345,72.01345589488344,-0.1922056470182479,False,True,False,4290.0,False,,4590.0,20.948616600790505,3740.0,-1.449275362318836,4590.0,20.948616600790505,3635.0,-4.216073781291174,4240.0,11.725955204216065,3075.0,-18.972332015810277,4900.0,29.117259552042164,2150.0,-43.34650856389987,True,False,False,False,-5577.0,-14.0,1449.0,4142.0,-19397210.0,-50470.0,5103050.0,14344630.0,19447680.0,2018-04-27,2018-04-20,3820.0,3950.0,3725.0,3860.0,20715.0,1.9815059445178336,4290.0,3788.0,13.0,3598.25,10.5,3805.9166666666665,-6.25,10216.85,13202.569854419757,49824.55956325927,False,3805.9166666666665,199.69871403914706,4405.012808784108,14.11950281824113,5004.108950901549,29.640128261698166,5603.20509301899,45.16075370515517,6202.301235136431,60.681379148612216,False,4290.0,False,4590.0,18.911917098445596,18.911917098445596,9.844559585492219,26.943005181347157,3945.0,3635.0,2945.0,2150.0,2.2020725388601115,-5.829015544041449,-23.70466321243523,-44.30051813471503,True,False,False,False,,0.27082464498360015,3.0,0.0,-5.0,2.0,11415.0,-1080.0,-17945.0,7610.0,19025.0,7,21,21,21,81,81,81,25.925925925925924,25.925925925925924,25.925925925925924
180,2018-05-16,4350,4575,4310,4500,81572,4.408352668213457,4255.0,84.0,3955.5,50.25,3832.9166666666665,9.166666666666515,한진중공업홀딩스,003480,12114.316666666668,14812.883421188535,56552.96693023227,True,3832.9166666666665,237.4768263548166,4545.347145731116,5257.777624795566,5970.208103860015,6682.638582924466,1.0077143495803587,16.839502773234805,32.67129119688923,48.5030796205437,2.8090460175538867,True,True,False,4345.0,True,,4590.0,2.0000000000000018,4090.0,-9.111111111111114,4590.0,2.0000000000000018,3635.0,-19.222222222222218,4240.0,-5.777777777777782,2830.0,-37.11111111111111,4900.0,8.888888888888879,2150.0,-52.222222222222214,True,False,False,False,271.0,-20034.0,20772.0,-1009.0,1213120.0,-90148920.0,93456195.0,-4520395.0,94669315.0,2018-05-18,2018-05-16,4545.0,4610.0,4440.0,4590.0,14534.0,0.9900990099009901,4575.0,4427.0,88.0,4061.25,53.25,3852.75,10.166666666666515,13435.466666666667,17235.193333667274,65141.04666766849,False,3852.75,270.8403973437742,4665.271192031323,1.639895251227084,5477.792384062645,19.341882005722123,6290.313576093968,37.04386876021716,7102.834768125291,54.74585551471222,False,4575.0,True,4585.0,-0.10893246187363426,-0.10893246187363426,-7.625272331154687,6.753812636165568,4090.0,3635.0,2830.0,2150.0,-10.893246187363836,-20.80610021786492,-38.3442265795207,-53.15904139433552,False,False,False,False,,2.7220828474277345,373.0,-520.0,627.0,-480.0,1698275.0,-2352600.0,2815230.0,-2160905.0,4513505.0,2,23,23,23,94,94,94,24.46808510638298,24.46808510638298,24.46808510638298
181,2018-08-23,3695,3890,3630,3675,48226,-2.6490066225165565,3791.0,-57.0,3935.75,1.25,3984.25,-11.25,한진중공업홀딩스,003480,7435.033333333334,7593.228909071249,30214.72006054708,True,3984.25,239.77910841717105,4703.587325251513,5422.924650503026,6142.26197575454,6861.599301006052,27.98877075514321,47.562575523891866,67.13638029264054,86.71018506138917,-1.2897287092333438,False,True,True,4615.0,False,,3670.0,-0.1360544217687054,3260.0,-11.292517006802715,3670.0,-0.1360544217687054,2830.0,-22.99319727891157,3670.0,-0.1360544217687054,2150.0,-41.49659863945578,4900.0,33.33333333333333,2150.0,-41.49659863945578,False,False,False,False,-31663.0,19631.0,12032.0,0.0,-116258110.0,71739745.0,44518365.0,0.0,116258110.0,2019-03-06,2018-08-23,3620.0,4190.0,3620.0,4105.0,763645.0,12.465753424657535,4615.0,3625.0,161.0,3232.75,58.5,3059.25,14.0,321617.75,649271.1819104204,2269431.2957312614,False,3059.25,335.98465366739333,4067.20396100218,-0.9207317660857436,5075.15792200436,23.633566918498428,6083.11188300654,48.18786560308258,7091.06584400872,72.74216428766674,True,4615.0,False,4900.0,19.36662606577344,19.36662606577344,19.36662606577344,19.36662606577344,3970.0,3535.0,2850.0,2330.0,-3.2886723507917215,-13.885505481120585,-30.572472594397084,-43.23995127892813,True,False,False,False,54.1,3.11249334928028,-1302.0,-14800.0,43286.0,-27184.0,-4695955.0,-58544500.0,174996185.0,-111755730.0,174996185.0,195,153,153,153,286,286,243,62.96296296296296,53.4965034965035,53.4965034965035
182,2018-08-28,3575,3930,3445,3520,54400,-1.5384615384615385,3643.0,-61.0,3904.25,-21.25,3945.0,-13.833333333333485,한진중공업홀딩스,003480,8352.083333333334,9361.537562978388,36436.6960222685,True,3945.0,237.47105086725836,4657.413152601775,5369.82630520355,6082.239457805325,6794.6526104071,32.312873653459526,52.5518836705554,72.79089368765129,93.02990370474716,-1.7896918316901147,False,True,True,4615.0,False,,3590.0,1.9886363636363535,3260.0,-7.386363636363635,3590.0,1.9886363636363535,2830.0,-19.60227272727273,3590.0,1.9886363636363535,2150.0,-38.92045454545454,4900.0,39.20454545454546,2150.0,-38.92045454545454,False,False,False,False,-29172.0,361.0,28811.0,0.0,-103261765.0,1261695.0,102244975.0,-244905.0,103506670.0,2019-03-06,2018-08-28,3620.0,4190.0,3620.0,4105.0,763645.0,12.465753424657535,4615.0,3625.0,161.0,3232.75,58.5,3059.25,14.0,321617.75,649271.1819104204,2269431.2957312614,False,3059.25,335.98465366739333,4067.20396100218,-0.9207317660857436,5075.15792200436,23.633566918498428,6083.11188300654,48.18786560308258,7091.06584400872,72.74216428766674,True,4615.0,False,4900.0,19.36662606577344,19.36662606577344,19.36662606577344,19.36662606577344,3970.0,3535.0,2850.0,2330.0,-3.2886723507917215,-13.885505481120585,-30.572472594397084,-43.23995127892813,True,False,False,False,54.1,3.11249334928028,-1302.0,-14800.0,43286.0,-27184.0,-4695955.0,-58544500.0,174996185.0,-111755730.0,174996185.0,190,153,153,153,286,286,243,62.96296296296296,53.4965034965035,53.4965034965035
183,2018-09-13,3285,4095,3260,3590,346001,9.785932721712538,3342.0,61.0,3503.25,-18.5,3774.25,-10.25,한진중공업홀딩스,003480,13293.283333333333,13220.942298857593,52956.11022990611,True,3774.25,286.31542192716864,4633.196265781506,5492.142531563011,6351.088797344518,7210.0350631260235,29.05839180449876,52.98447163128165,76.91055145806457,100.83663128484746,-0.6435210466828033,False,True,False,4615.0,False,,3495.0,-2.646239554317553,3095.0,-13.7883008356546,3495.0,-2.646239554317553,2830.0,-21.169916434540394,4900.0,36.49025069637884,2150.0,-40.111420612813376,4900.0,36.49025069637884,2150.0,-40.111420612813376,False,False,False,False,-36757.0,0.0,42109.0,-5352.0,-131695235.0,0.0,154065840.0,-22370605.0,154065840.0,2019-03-06,2018-09-13,3620.0,4190.0,3620.0,4105.0,763645.0,12.465753424657535,4615.0,3625.0,161.0,3232.75,58.5,3059.25,14.0,321617.75,649271.1819104204,2269431.2957312614,False,3059.25,335.98465366739333,4067.20396100218,-0.9207317660857436,5075.15792200436,23.633566918498428,6083.11188300654,48.18786560308258,7091.06584400872,72.74216428766674,True,4615.0,False,4900.0,19.36662606577344,19.36662606577344,19.36662606577344,19.36662606577344,3970.0,3535.0,2850.0,2330.0,-3.2886723507917215,-13.885505481120585,-30.572472594397084,-43.23995127892813,True,False,False,False,54.1,3.11249334928028,-1302.0,-14800.0,43286.0,-27184.0,-4695955.0,-58544500.0,174996185.0,-111755730.0,174996185.0,174,153,153,153,286,286,243,62.96296296296296,53.4965034965035,53.4965034965035
184,2018-11-19,3180,3730,3080,3245,442335,7.2727272727272725,3000.0,64.0,2962.75,8.5,3234.75,-9.916666666666515,한진중공업홀딩스,003480,22973.666666666668,44024.1027755125,155045.97499320417,True,3234.75,246.57558847812112,3974.476765434363,4714.203530868726,5453.93029630309,6193.657061737454,22.48002358811597,45.27591774633979,68.07181190456363,90.86770606278748,0.041569402969951715,False,True,False,4615.0,False,,3330.0,2.6194144838212585,3090.0,-4.776579352850541,3370.0,3.852080123266566,2150.0,-33.74422187981509,4900.0,51.00154083204931,2150.0,-33.74422187981509,4900.0,51.00154083204931,2150.0,-33.74422187981509,False,False,False,False,973.0,-83.0,-890.0,0.0,3164300.0,-285950.0,4086110.0,-6964460.0,7250410.0,2019-03-06,2018-11-19,3620.0,4190.0,3620.0,4105.0,763645.0,12.465753424657535,4615.0,3625.0,161.0,3232.75,58.5,3059.25,14.0,321617.75,649271.1819104204,2269431.2957312614,False,3059.25,335.98465366739333,4067.20396100218,-0.9207317660857436,5075.15792200436,23.633566918498428,6083.11188300654,48.18786560308258,7091.06584400872,72.74216428766674,True,4615.0,False,4900.0,19.36662606577344,19.36662606577344,19.36662606577344,19.36662606577344,3970.0,3535.0,2850.0,2330.0,-3.2886723507917215,-13.885505481120585,-30.572472594397084,-43.23995127892813,True,False,False,False,54.1,3.11249334928028,-1302.0,-14800.0,43286.0,-27184.0,-4695955.0,-58544500.0,174996185.0,-111755730.0,174996185.0,107,153,153,153,286,286,243,62.96296296296296,53.4965034965035,53.4965034965035
185,2018-12-26,2920,2990,2880,2930,268456,-5.483870967741936,3140.0,-65.0,3197.75,-10.5,3115.8333333333335,-9.416666666666515,한진중공업홀딩스,003480,32929.4,63991.38958125536,224903.56874376608,True,3115.8333333333335,138.93693613370237,3532.6441417344404,3949.4549501355477,4366.265758536655,4783.0765669377615,20.568059444861447,34.7936843049675,49.01930916507355,63.244934025179575,-1.337537292131601,False,True,True,4615.0,False,,3370.0,15.017064846416384,2150.0,-26.62116040955631,4900.0,67.23549488054607,2150.0,-26.62116040955631,4900.0,67.23549488054607,2150.0,-26.62116040955631,4900.0,67.23549488054607,2150.0,-26.62116040955631,True,True,True,True,116.0,156287.0,-156456.0,53.0,343405.0,459588830.0,-460082535.0,150300.0,460082535.0,2019-01-15,2018-12-26,2480.0,3120.0,2415.0,3120.0,2323615.0,30.0,4615.0,2576.0,194.0,2871.5,-3.25,3002.0833333333335,-1.0833333333330302,51957.2,87936.51726743937,315766.7518023181,True,3002.0833333333335,244.31927824512798,3735.0411680687175,19.712857950920434,4467.999002804101,43.205096243721194,5200.956837539485,66.69733453652195,5933.914672274869,90.18957282932273,False,4615.0,False,4900.0,8.012820512820507,57.05128205128205,57.05128205128205,57.05128205128205,2645.0,2645.0,2645.0,2580.0,-15.224358974358976,-15.224358974358976,-15.224358974358976,-17.307692307692314,True,True,False,False,55.3,0.48263349299992425,-146.0,-373164.0,387715.0,-14405.0,-492245.0,-1167524765.0,1210375495.0,-42358485.0,1210375495.0,20,140,140,140,254,254,243,57.61316872427984,55.118110236220474,55.118110236220474
186,2019-01-08,2660,2660,2100,2150,333699,-18.867924528301888,2620.0,-156.0,3019.0,-50.75,3051.0833333333335,-16.666666666666515,한진중공업홀딩스,003480,37947.01666666667,70617.58901848074,249799.78372210887,True,3051.0833333333335,195.62100191157143,3637.9463390680476,4224.809344802762,4811.672350537477,5398.53535627219,69.20680646828129,96.50276022338429,123.7987139784873,151.09466773359023,-4.606270924533243,False,False,True,4615.0,False,54.9,3370.0,56.744186046511636,2395.0,11.395348837209296,4900.0,127.90697674418605,2395.0,11.395348837209296,4900.0,127.90697674418605,2395.0,11.395348837209296,4900.0,127.90697674418605,2395.0,11.395348837209296,True,True,True,False,-103820.0,0.0,99373.0,4447.0,-233050635.0,0.0,222654370.0,10396265.0,233050635.0,2019-01-15,2019-01-08,2480.0,3120.0,2415.0,3120.0,2323615.0,30.0,4615.0,2576.0,194.0,2871.5,-3.25,3002.0833333333335,-1.0833333333330302,51957.2,87936.51726743937,315766.7518023181,True,3002.0833333333335,244.31927824512798,3735.0411680687175,19.712857950920434,4467.999002804101,43.205096243721194,5200.956837539485,66.69733453652195,5933.914672274869,90.18957282932273,False,4615.0,False,4900.0,8.012820512820507,57.05128205128205,57.05128205128205,57.05128205128205,2645.0,2645.0,2645.0,2580.0,-15.224358974358976,-15.224358974358976,-15.224358974358976,-17.307692307692314,True,True,False,False,55.3,0.48263349299992425,-146.0,-373164.0,387715.0,-14405.0,-492245.0,-1167524765.0,1210375495.0,-42358485.0,1210375495.0,7,140,140,140,254,254,243,57.61316872427984,55.118110236220474,55.118110236220474
187,2019-01-09,2120,2545,2050,2515,331831,16.97674418604651,2540.0,-80.0,2985.5,-33.5,3041.4166666666665,-9.66666666666697,한진중공업홀딩스,003480,43398.48333333333,79991.12587270573,283371.86095145054,True,3041.4166666666665,207.199766060567,3663.0159648483677,4284.6152630300685,4906.214561211769,5527.813859393471,45.64675804566075,70.36243590576812,95.07811376587551,119.79379162598293,-2.540623846615679,False,True,False,4615.0,False,55.3,3370.0,33.99602385685885,2395.0,-4.771371769383704,4900.0,94.83101391650099,2395.0,-4.771371769383704,4900.0,94.83101391650099,2395.0,-4.771371769383704,4900.0,94.83101391650099,2395.0,-4.771371769383704,True,True,False,False,-5066.0,0.0,5907.0,-841.0,-10858355.0,0.0,14142350.0,-3283995.0,14142350.0,2019-01-15,2019-01-09,2480.0,3120.0,2415.0,3120.0,2323615.0,30.0,4615.0,2576.0,194.0,2871.5,-3.25,3002.0833333333335,-1.0833333333330302,51957.2,87936.51726743937,315766.7518023181,True,3002.0833333333335,244.31927824512798,3735.0411680687175,19.712857950920434,4467.999002804101,43.205096243721194,5200.956837539485,66.69733453652195,5933.914672274869,90.18957282932273,False,4615.0,False,4900.0,8.012820512820507,57.05128205128205,57.05128205128205,57.05128205128205,2645.0,2645.0,2645.0,2580.0,-15.224358974358976,-15.224358974358976,-15.224358974358976,-17.307692307692314,True,True,False,False,55.3,0.48263349299992425,-146.0,-373164.0,387715.0,-14405.0,-492245.0,-1167524765.0,1210375495.0,-42358485.0,1210375495.0,6,140,140,140,254,254,243,57.61316872427984,55.118110236220474,55.118110236220474
