,Date,Open,High,Low,Close,Volume,Change,ma_5,vel_5,ma_20,vel_20,ma_60,vel_60,com_name,com_code,vol_mean_60,vol_std_60,vol_bol_60,vol_bolin_check,mean_60,std_60,bolin_price_60_3,bolin_price_60_6,bolin_price_60_9,bolin_price_60_12,bolin_earning_60_3,bolin_earning_60_6,bolin_earning_60_9,bolin_earning_60_12,std_level,bolin_check,inverse_hammer,bear_candle,high_246,new_high_check,dec_246_1,Max_Price_20,Max_Return_20,Max_Loss_Price_20,Max_Loss_20,Max_Price_60,Max_Return_60,Max_Loss_Price_60,Max_Loss_60,Max_Price_120,Max_Return_120,Max_Loss_Price_120,Max_Loss_120,Max_Price_240,Max_Return_240,Max_Loss_Price_240,Max_Loss_240,Is_Max_Over_Bolin_60_3,Is_Max_Over_Bolin_60_6,Is_Max_Over_Bolin_60_9,Is_Max_Over_Bolin_60_12,기관순매,법인순매,개인순매,외인순매,기관대금,법인대금,개인대금,외인대금,거래대금,pump_date,dump_date,pmp_Open,pmp_High,pmp_Low,pmp_Close,pmp_Volume,pmp_Change,pmp_high_246,pmp_ma_5,pmp_vel_5,pmp_ma_20,pmp_vel_20,pmp_ma_60,pmp_vel_60,pmp_vol_mean_60,pmp_vol_std_60,pmp_vol_bol_60,pmp_vol_bolin_check,pmp_mean_60,pmp_std_60,pmp_bolin_price_60_3,pmp_bolin_earning_60_3,pmp_bolin_price_60_6,pmp_bolin_earning_60_6,pmp_bolin_price_60_9,pmp_bolin_earning_60_9,pmp_bolin_price_60_12,pmp_bolin_earning_60_12,pmp_bolin_check,pmp_high_246,pmp_new_high_check,pmp_Max_Price_60,pmp_Max_Return_20,pmp_Max_Return_60,pmp_Max_Return_120,pmp_Max_Return_240,pmp_Max_Loss_Price_20,pmp_Max_Loss_Price_60,pmp_Max_Loss_Price_120,pmp_Max_Loss_Price_240,pmp_Max_Loss_20,pmp_Max_Loss_60,pmp_Max_Loss_120,pmp_Max_Loss_240,pmp_Is_Max_Over_Bolin_60_3,pmp_Is_Max_Over_Bolin_60_6,pmp_Is_Max_Over_Bolin_60_9,pmp_Is_Max_Over_Bolin_60_12,pmp_dec_246_1,pmp_std_level,pmp_기관순매,pmp_법인순매,pmp_개인순매,pmp_외인순매,pmp_기관대금,pmp_법인대금,pmp_개인대금,pmp_외인대금,pmp_거래대금,dump_period,long_dec_3,long_dec_2,long_dec_1,period_long_dec_3,period_long_dec_2,period_long_dec_1,long_dec_ratio_1,long_dec_ratio_2,long_dec_ratio_3
323,2018-05-04,53000,53900,51800,51900,39565391,-2.0754716981132075,51580.0,0.0,50190.0,168.0,49103.0,33.33333333333576,삼성전자,005930,302527.7166666667,170397.61105593506,813720.5498344719,True,49103.0,1996.4763125733964,55092.42893772019,61081.85787544038,67071.28681316056,73060.71575088076,6.151115486936789,17.691440993141384,29.231766499345984,40.77209200555059,1.4009682871692843,False,True,True,54140.0,False,,52700.0,1.541425818882458,49200.0,-5.202312138728327,52700.0,1.541425818882458,44900.0,-13.48747591522158,48450.0,-6.647398843930641,41000.0,-21.001926782273607,47500.0,-8.477842003853564,37450.0,-27.842003853564545,False,False,False,False,-11260560.0,-211214.0,12462154.0,-990380.0,-591577541700.0,-11149318700.0,655448617100.0,-52721756700.0,655448617100.0,2019-12-13,2018-05-04,54500.0,54800.0,53900.0,54700.0,18120261.0,2.6266416510318953,53800.0,52520.0,860.0,51562.5,50.0,50819.166666666664,116.66666666666424,10639499.5,4656451.91714697,24608855.25144091,False,50819.166666666664,1616.2480128026073,55667.910705074486,1.7694894059862631,60516.65474348231,10.633738105086486,65365.39878189013,19.49798680418671,70214.14282029794,28.36223550328692,False,53800.0,True,62400.0,9.689213893967086,14.076782449725766,14.076782449725766,27.422303473491773,54700.0,49950.0,42500.0,42500.0,0.0,-8.683729433272392,-22.303473491773307,-22.303473491773307,True,True,False,False,46.7,2.4011372651922964,2462464.0,-593940.0,-7078573.0,5210049.0,134032419500.0,-32418136000.0,-385559320000.0,283945036500.0,417977456000.0,588,197,197,65,477,477,243,26.74897119341564,41.299790356394126,41.299790356394126
324,2018-05-08,52600,53200,51900,52600,23104720,1.348747591522158,52008.0,428.0,50414.0,224.0,49149.333333333336,46.33333333333576,삼성전자,005930,940390.4666666667,5029778.233811538,16029725.168101279,True,49149.333333333336,2044.2650404376518,55282.12845464629,61414.92357595925,67547.7186972722,73680.51381858515,5.099103525943521,16.758409840226708,28.417716154509883,40.07702246879307,1.6879742100016146,False,True,False,54140.0,False,,52700.0,0.19011406844107182,49200.0,-6.4638783269961975,52700.0,0.19011406844107182,44900.0,-14.638783269961975,48450.0,-7.889733840304181,41000.0,-22.0532319391635,47500.0,-9.695817490494296,37450.0,-28.80228136882129,False,False,False,False,-1049663.0,58958.0,-957475.0,1948180.0,-55407203100.0,3123733900.0,-50801179600.0,103084648800.0,106208382700.0,2019-11-06,2018-05-08,52900.0,53500.0,52700.0,53300.0,14361133.0,1.1385199240986716,52700.0,51980.0,580.0,50795.0,220.0,47590.833333333336,168.33333333333576,9924600.816666666,3623908.1757776737,20796325.343999688,False,47590.833333333336,3011.7615508018876,56626.117985738994,6.240371455420252,65661.40263814466,23.19212502466165,74696.68729055033,40.14387859390305,83731.97194295598,57.09563216314443,False,52700.0,True,62400.0,0.7504690431519689,17.07317073170731,17.07317073170731,17.07317073170731,49450.0,49450.0,42500.0,42500.0,-7.2232645403377145,-7.2232645403377145,-20.262664165103196,-20.262664165103196,True,False,False,False,47.2,1.8956237306192407,-2225167.0,-12616.0,-1977815.0,4215598.0,-118331014500.0,-669308500.0,-105056698100.0,224057021100.0,224057021100.0,547,197,197,91,450,450,243,37.4485596707819,43.77777777777778,43.77777777777778
325,2018-05-31,50400,50800,49850,50700,63491109,2.4242424242424243,51300.0,-140.0,51059.5,15.0,50115.166666666664,55.33333333332848,삼성전자,005930,4483889.3,7848160.4294941835,28028370.58848255,True,50115.166666666664,1672.3511310593747,55132.22005984479,60149.27345302291,65166.32684620104,70183.38023937916,8.742051400088341,18.637620222924877,28.533189045761414,38.42875786859794,0.3497072609164708,False,True,False,54140.0,False,,51300.0,1.183431952662728,45550.0,-10.157790927021694,51300.0,1.183431952662728,43850.0,-13.510848126232744,48450.0,-4.437869822485208,41000.0,-19.132149901380668,47500.0,-6.311637080867849,37450.0,-26.13412228796844,False,False,False,False,-23615581.0,83220.0,406455.0,23125906.0,-1145700536900.0,4202844750.0,20301236300.0,1121196455850.0,1145700536900.0,2018-06-01,2018-05-31,50500.0,51700.0,49950.0,51300.0,13038499.0,1.183431952662722,54140.0,51020.0,-280.0,51017.5,-42.0,50185.833333333336,70.66666666667152,5538797.6,10872226.58722872,38155477.361686155,False,50185.833333333336,1630.8262646755393,55078.31212735995,7.3651308525535155,59970.79092138657,16.902126552410472,64863.26971541319,26.439122252267428,69755.74850943981,35.97611795212439,False,54140.0,False,51300.0,0.0,0.0,-5.555555555555558,-7.4074074074074066,45550.0,43850.0,41000.0,37450.0,-11.20857699805068,-14.522417153996104,-20.077972709551663,-26.99805068226121,False,False,False,False,,0.6831915151233678,-540644.0,1673.0,-1778717.0,2317688.0,-27400617852.0,90982600.0,-91215164550.0,118524799802.0,118615782402.0,1,8,8,8,100,100,100,8.0,8.0,8.0
326,2018-10-11,44000,44650,43100,43100,19324537,-4.856512141280353,44550.0,-520.0,45505.0,-150.0,45981.666666666664,-48.33333333333576,삼성전자,005930,9654032.616666667,3052511.0183320185,18811565.67166272,True,45981.666666666664,1057.472090516939,49154.082938217485,52326.4992097683,55498.91548131911,58671.33175286993,14.046596144356114,21.40719074192181,28.7677853394875,36.12837993705321,-2.7250522188798176,False,True,True,54140.0,False,,44150.0,2.436194895591637,41000.0,-4.872389791183296,45200.0,4.872389791183296,37450.0,-13.10904872389791,47500.0,10.208816705336421,37450.0,-13.10904872389791,49500.0,14.849187935034802,37450.0,-13.10904872389791,False,False,False,False,2127126.0,35109.0,4013921.0,-6176156.0,93756097100.0,1539319850.0,175428539650.0,-270723956600.0,270723956600.0,2018-11-12,2018-10-11,43850.0,45250.0,43700.0,45200.0,8552566.0,2.0316027088036117,54140.0,44260.0,280.0,43220.0,70.0,44858.333333333336,-3.3333333333284827,10778642.283333333,3701871.9381930437,21884258.097912464,False,44858.333333333336,1682.264512164759,49905.12686982761,10.409572720857547,54951.92040632189,21.575045146729853,59998.71394281617,32.74051757260214,65045.50747931044,43.90598999847443,False,54140.0,False,46400.0,-1.5486725663716783,2.6548672566371723,5.088495575221241,15.707964601769909,40200.0,37450.0,37450.0,37450.0,-11.061946902654862,-17.146017699115045,-17.146017699115045,-17.146017699115045,False,False,False,False,,0.20309925353356192,1058406.0,-70684.0,-2842569.0,1854847.0,47546265500.0,-3179904000.0,-127770497100.0,83404135600.0,130950401100.0,32,107,107,107,208,208,208,51.442307692307686,51.442307692307686,51.442307692307686
327,2018-12-13,40650,40750,40000,40000,26254646,-1.1124845488257107,40370.0,-100.0,42020.0,-212.5,43525.0,-67.5,삼성전자,005930,10936512.066666666,3717295.885257366,22088399.722438764,True,43525.0,1818.1836174233774,48979.550852270135,54434.10170454026,59888.6525568104,65343.203409080525,22.44887713067534,36.085254261350656,49.721631392026,63.35800852270131,-1.9387480814481335,False,True,True,54140.0,False,,41100.0,2.750000000000008,37450.0,-6.374999999999997,47500.0,18.75,37450.0,-6.374999999999997,47500.0,18.75,37450.0,-6.374999999999997,53700.0,34.25,37450.0,-6.374999999999997,False,False,False,False,-3307941.0,3531.0,2183406.0,1121004.0,-132274704700.0,135268900.0,87620023450.0,44519412350.0,132274704700.0,2019-01-15,2018-12-13,40050.0,41100.0,39850.0,41100.0,11492756.0,2.6217228464419478,54140.0,40210.0,600.0,38960.0,55.0,41417.5,-49.16666666666424,11663928.416666666,3960601.4585330873,23545732.79226593,False,41417.5,2122.023896346812,47783.57168904044,16.26173160350471,54149.64337808087,31.750957124284362,60515.7150671213,47.240182645063996,66881.78675616175,62.72940816584366,False,54140.0,False,47500.0,15.571776155717764,15.571776155717764,15.571776155717764,37.95620437956204,41450.0,41450.0,41200.0,41200.0,0.8515815085158085,0.8515815085158085,0.24330900243310083,0.24330900243310083,False,False,False,False,53.3,-0.14962131225128747,736080.0,-14589.0,-2065409.0,1343918.0,29812307000.0,-596249000.0,-84357544350.0,55141486350.0,84953793350.0,33,149,149,149,251,251,243,61.31687242798354,59.36254980079681,59.36254980079681
328,2019-05-09,43900,44250,42450,42450,23029718,-4.067796610169491,44550.0,-680.0,45580.0,-210.0,45536.666666666664,-42.5,삼성전자,005930,10375088.266666668,3467863.402047148,20778678.47280811,True,45536.666666666664,1174.0551756861364,49058.83219372507,52580.99772078348,56103.16324784189,59625.3287749003,15.568509290282858,23.865719012446366,32.16292873460987,40.46013845677338,-2.6290644005404324,False,True,True,53900.0,False,51.6,44200.0,4.122497055359253,41200.0,-2.9446407538280317,47300.0,11.42520612485276,41200.0,-2.9446407538280317,51300.0,20.848056537102465,41200.0,-2.9446407538280317,62400.0,46.996466431095406,41200.0,-2.9446407538280317,False,False,False,False,-3556441.0,318619.0,5366210.0,-2128388.0,-152254471600.0,13650781700.0,231737343800.0,-93133653900.0,245388125500.0,2019-06-10,2019-05-09,44300.0,44850.0,44050.0,44800.0,8792182.0,1.3574660633484164,51800.0,44030.0,460.0,42900.0,95.0,44578.333333333336,15.833333333335759,11313621.916666666,4001493.19287815,23318101.495301116,False,44578.333333333336,1610.5218270968971,49409.89881462403,10.289952711214353,54241.46429591472,21.074697089095352,59073.02977720541,31.859441466976364,63904.595258496105,42.64418584485738,False,51800.0,False,47300.0,4.910714285714279,5.58035714285714,19.86607142857142,39.28571428571428,43750.0,42650.0,42650.0,42500.0,-2.34375,-4.79910714285714,-4.79910714285714,-5.133928571428569,False,False,False,False,52.0,0.13763654918371226,1122475.0,-208225.0,-2176175.0,1261925.0,49828040700.0,-9291304600.0,-97033862400.0,56497126300.0,106325167000.0,32,179,179,171,348,348,243,70.37037037037037,51.43678160919541,51.43678160919541
329,2019-05-28,42550,42950,42150,42550,24506881,-0.23446658851113714,43050.0,-120.0,43432.5,-115.0,44686.666666666664,-42.5,삼성전자,005930,11082648.616666667,3910059.1381775085,22812826.031199194,True,44686.666666666664,1520.8239725739184,49249.13858438842,53811.610502110176,58374.08241983193,62936.55433755368,15.744156485049166,26.46676968768549,37.189382890321816,47.91199609295812,-1.4049401542839064,False,True,True,53000.0,False,52.4,45700.0,7.403055229142175,41800.0,-1.762632197414804,47300.0,11.16333725029377,41800.0,-1.762632197414804,53700.0,26.204465334900107,41800.0,-1.762632197414804,62400.0,46.65099882491186,41800.0,-1.762632197414804,False,False,False,False,3867735.0,76336.0,624530.0,-4568601.0,164696957300.0,3250606500.0,26515499550.0,-194463063350.0,194463063350.0,2019-06-03,2019-05-28,42950.0,43900.0,42500.0,43800.0,15466580.0,3.058823529411765,51800.0,42640.0,230.0,42805.0,-75.0,44571.666666666664,-10.833333333335759,11170293.733333332,3983516.8304633196,23120844.22472329,False,44571.666666666664,1610.9098533299523,49404.39622665652,12.795425175014888,54237.12578664638,23.829054307411823,59069.855346636235,34.862683439808755,63902.58490662609,45.89631257220569,False,51800.0,False,47300.0,7.30593607305936,7.990867579908678,22.602739726027398,42.46575342465753,43450.0,42650.0,42650.0,42500.0,-0.7990867579908634,-2.6255707762557035,-2.6255707762557035,-2.9680365296803624,False,False,False,False,52.4,-0.4790253564291836,-1144420.0,-94556.0,-2018888.0,3257864.0,-49544822950.0,-4083914500.0,-87934352900.0,141563090350.0,141563090350.0,6,177,177,169,344,344,243,69.54732510288066,51.45348837209303,51.45348837209303
330,2019-09-05,44800,46100,44450,45700,18297430,3.6281179138321997,44170.0,460.0,43835.0,125.0,45055.0,18.33333333333576,삼성전자,005930,9135294.533333333,2907864.004269165,17858886.546140827,True,45055.0,1289.2730509864562,48922.81915295937,52790.638305918736,56658.4574588781,60526.27661183747,7.052120684812621,15.515619925423929,23.979119166035236,32.442618406646545,0.5002819220540551,False,True,False,47800.0,False,50.8,49500.0,8.315098468271342,46300.0,1.3129102844638973,53700.0,17.5054704595186,46300.0,1.3129102844638973,62400.0,36.54266958424508,46300.0,1.3129102844638973,62400.0,36.54266958424508,42500.0,-7.002188183807445,True,True,False,False,1764816.0,-65477.0,-4359267.0,2659928.0,80213706750.0,-2984387400.0,-197995422850.0,120766103500.0,200979810250.0,2019-09-06,2019-09-05,46500.0,46500.0,45850.0,46300.0,9896562.0,1.312910284463895,47600.0,44630.0,460.0,44017.5,182.5,45097.5,42.5,9296794.383333333,3134330.1963682165,18699784.97243798,False,45097.5,1287.5825216272244,48960.247564881676,5.745675086137529,52822.995129763345,14.088542396897076,56685.74269464502,22.431409707656634,60548.49025952669,30.77427701841618,False,47600.0,False,53700.0,6.911447084233258,15.982721382289423,34.773218142548586,34.773218142548586,46900.0,46900.0,46900.0,42500.0,1.2958963282937441,1.2958963282937441,1.2958963282937441,-8.207343412527003,True,True,False,False,50.8,0.9339207233725892,-67148.0,-59129.0,-1907332.0,2033609.0,-3185803050.0,-2737076750.0,-88189203300.0,94112083100.0,94112083100.0,1,197,197,126,411,411,243,51.85185185185185,47.93187347931874,47.93187347931874
331,2019-10-24,52500,52500,50500,50700,21185785,-0.9765625,50660.0,40.0,49447.5,60.0,46630.0,58.33333333333576,삼성전자,005930,9864927.966666667,3473893.897657975,20286609.65964059,True,46630.0,2622.4225441373437,54497.26763241203,62364.535264824066,70231.80289723609,78099.07052964813,7.489679748347205,23.006972908923206,38.5242660694992,54.04155923007521,1.552000080650177,False,False,True,51500.0,True,47.6,53700.0,5.9171597633136175,50400.0,-0.591715976331364,62400.0,23.076923076923084,49450.0,-2.4654832347140054,62400.0,23.076923076923084,42500.0,-16.173570019723872,62400.0,23.076923076923084,42500.0,-16.173570019723872,True,True,False,False,903966.0,54811.0,371241.0,-1330018.0,45276417400.0,2756135900.0,17869508800.0,-65902062100.0,65902062100.0,2019-11-05,2019-10-24,52400.0,52700.0,52100.0,52700.0,10581034.0,0.7648183556405354,52500.0,51400.0,320.0,50575.0,247.5,47422.5,153.33333333333576,9999647.316666666,3682868.874237456,21048253.939379036,False,47422.5,2969.924592196416,56332.27377658925,6.892360107379986,65242.0475531785,23.798951713811192,74151.82132976774,40.7055433202424,83061.595106357,57.61213492667362,False,52500.0,True,62400.0,1.8975332068311257,18.40607210626186,18.40607210626186,18.40607210626186,49900.0,49450.0,42500.0,42500.0,-5.313092979127132,-6.166982922201136,-19.354838709677423,-19.354838709677423,True,False,False,False,47.6,1.7769811441902672,-872188.0,-98187.0,-1402671.0,2373046.0,-45838380300.0,-5166408000.0,-73646530000.0,124651318300.0,124651318300.0,12,197,197,92,449,449,243,37.86008230452675,43.87527839643652,43.87527839643652
332,2019-11-26,51900,52900,51800,51800,27372226,0.0,51640.0,-340.0,52185.0,35.0,49606.666666666664,127.5,삼성전자,005930,10081101.766666668,3435313.0812752806,20387041.01049251,True,49606.666666666664,2647.4117339183254,57548.90186842164,65491.13707017661,73433.37227193158,81375.60747368657,11.098266155254136,26.430766544742497,41.763266934230856,57.09576732371925,0.8284821379434899,False,True,True,53800.0,False,47.2,56700.0,9.459459459459453,49450.0,-4.536679536679533,62400.0,20.463320463320468,49450.0,-4.536679536679533,62400.0,20.463320463320468,42500.0,-17.953667953667953,66300.0,27.99227799227799,42500.0,-17.953667953667953,True,False,False,False,6971446.0,44398.0,484545.0,-7500389.0,363465910900.0,2326833900.0,24414590500.0,-390207335300.0,390207335300.0,2019-12-12,2019-11-26,53000.0,53300.0,52700.0,53300.0,29178697.0,2.697495183044316,53800.0,51660.0,760.0,51512.5,25.0,50702.5,106.66666666666424,10269959.216666667,4004700.3760849806,22284060.34492161,True,50702.5,1584.2302284283548,55455.190685285066,4.043509728489806,60207.88137057013,12.960377805947715,64960.57205585519,21.877245883405614,69713.26274114026,30.794113960863534,False,53800.0,False,62400.0,12.570356472795496,17.07317073170731,17.07317073170731,30.393996247654776,54700.0,50800.0,42500.0,42500.0,2.6266416510319024,-4.690431519699811,-20.262664165103196,-20.262664165103196,True,True,False,False,46.7,1.63959754926332,1381791.0,-219814.0,-6707860.0,5545883.0,72930012100.0,-11682720400.0,-356010735600.0,294763443900.0,367693456000.0,16,197,197,66,476,476,243,27.160493827160494,41.38655462184874,41.38655462184874
