날짜,공시_제목,공시자
2024-08-30,대규모기업집단현황공시[분기별공시(개별회사용)],SK텔레콤
2024-08-14,반기보고서 (2024.06),SK텔레콤
2024-08-14,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,SK텔레콤
2024-08-06,연결재무제표기준영업(잠정)실적(공정공시)              ,SK텔레콤
2024-08-06,영업(잠정)실적(공정공시)              ,SK텔레콤
2024-07-30,기업설명회(IR)개최(안내공시)              ,SK텔레콤
2024-07-26,현금ㆍ현물배당결정              ,SK텔레콤
2024-06-28,지속가능경영보고서등관련사항(자율공시)              ,SK텔레콤
2024-06-28,특수관계인과의내부거래,SK텔레콤
2024-06-28,동일인등출자계열회사와의상품ㆍ용역거래,SK텔레콤
2024-05-31,대규모기업집단현황공시[연1회공시및1/4분기용(개별회사)],SK텔레콤
2024-05-30,[기재정정]기업지배구조보고서공시              ,SK텔레콤
2024-05-16,분기보고서 (2024.03),SK텔레콤
2024-05-08,연결재무제표기준영업(잠정)실적(공정공시)              ,SK텔레콤
2024-05-08,영업(잠정)실적(공정공시)              ,SK텔레콤
2024-04-30,자기주식처분결과보고서,SK텔레콤
2024-04-30,임원ㆍ주요주주특정증권등소유상황보고서,오혜연
2024-04-30,임원ㆍ주요주주특정증권등소유상황보고서,노미경
2024-04-30,임원ㆍ주요주주특정증권등소유상황보고서,김준모
2024-04-30,임원ㆍ주요주주특정증권등소유상황보고서,김석동
2024-04-30,임원ㆍ주요주주특정증권등소유상황보고서,김용학
2024-04-30,기업설명회(IR)개최(안내공시)              ,SK텔레콤
2024-04-30,해외증권거래소등에신고한사업보고서등의국내신고              ,SK텔레콤
2024-04-25,현금ㆍ현물배당결정              ,SK텔레콤
2024-04-25,수시공시의무관련사항(공정공시)              ,SK텔레콤
2024-04-25,특수관계인과의내부거래,SK텔레콤
2024-04-25,주요사항보고서(자기주식처분결정),SK텔레콤
2024-04-25,[기재정정]특수관계인과의내부거래,SK텔레콤
2024-04-02,[기재정정]지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,SK텔레콤
2024-03-27,동일인등출자계열회사와의상품ㆍ용역거래,SK텔레콤
2024-03-26,사외이사의선임ㆍ해임또는중도퇴임에관한신고,SK텔레콤
2024-03-26,정기주주총회결과              ,SK텔레콤
2024-03-26,특수관계인에대한증여,SK텔레콤
2024-03-26,특수관계인에대한부동산임대,SK텔레콤
2024-03-26,[기재정정]특수관계인에대한부동산임대,SK텔레콤
2024-03-18,사업보고서 (2023.12),SK텔레콤
2024-03-06,감사보고서제출              ,SK텔레콤
2024-02-29,대규모기업집단현황공시[분기별공시(개별회사용)],SK텔레콤
2024-02-22,증권발행실적보고서,SK텔레콤
2024-02-22,의결권대리행사권유참고서류,SK텔레콤
2024-02-22,주주총회소집공고,SK텔레콤
2024-02-22,투자설명서,SK텔레콤
2024-02-22,주주총회소집결의              ,SK텔레콤
2024-02-21,[발행조건확정]증권신고서(채무증권),SK텔레콤
2024-02-05,매출액또는손익구조30%(대규모법인은15%)이상변경              ,SK텔레콤
2024-02-05,현금ㆍ현물배당결정              ,SK텔레콤
