날짜,공시_제목,공시자
2024-10-16,전환청구권행사              ,나이벡
2024-09-11,투자판단관련주요경영사항              (중국시장 독점판매권 회수 및 보상금 지급의 건),나이벡
2024-08-13,반기보고서 (2024.06),나이벡
2024-05-22,전환가액의조정              ,나이벡
2024-05-13,분기보고서 (2024.03),나이벡
2024-03-29,사외이사의선임ㆍ해임또는중도퇴임에관한신고,나이벡
2024-03-29,정기주주총회결과              ,나이벡
2024-03-21,사업보고서 (2023.12),나이벡
2024-03-21,감사보고서제출              ,나이벡
2024-03-12,주주총회소집공고,나이벡
2024-03-12,의결권대리행사권유참고서류,나이벡
2024-03-12,주주총회소집결의              ,나이벡
2024-03-12,매출액또는손익구조30%(대규모법인은15%)이상변동              ,나이벡
2024-03-12,주주총회집중일개최사유신고              ,나이벡
2024-03-11,[기재정정]감사보고서제출              ,나이벡
2024-03-11,[기재정정]파생상품거래손실발생              ,나이벡
2024-03-11,[기재정정]사업보고서 (2022.12),나이벡
2023-12-28,전환사채(해외전환사채포함)발행후만기전사채취득,나이벡
2023-12-14,전환청구권행사,나이벡
2023-12-14,주주명부폐쇄기간또는기준일설정,나이벡
2023-11-22,전환가액의조정,나이벡
2023-11-14,분기보고서 (2023.09),나이벡
2023-10-05,투자판단관련주요경영사항(임상시험결과)(NP-201 호주 1상 임상 시험결과),나이벡
2023-08-14,반기보고서 (2023.06),나이벡
2023-07-20,주식등의대량보유상황보고서(일반),정종평
2023-07-20,임원ㆍ주요주주특정증권등소유상황보고서,정종평
2023-07-20,임원ㆍ주요주주특정증권등소유상황보고서,박윤정
2023-07-14,임원ㆍ주요주주특정증권등소유상황보고서,박윤정
2023-07-12,주식등의대량보유상황보고서(일반),정종평
2023-07-07,주식등의대량보유상황보고서(일반),정종평
2023-06-28,전환사채(해외전환사채포함)발행후만기전사채취득,나이벡
2023-05-22,전환가액의조정,나이벡
2023-05-15,분기보고서 (2023.03),나이벡
2023-04-05,주식등의대량보유상황보고서(일반),정종평
2023-03-30,정기주주총회결과,나이벡
2023-03-28,신주인수권부사채(해외신주인수권부사채포함)발행후만기전사채취득,나이벡
2023-03-28,전환사채(해외전환사채포함)발행후만기전사채취득,나이벡
2023-03-10,매출액또는손익구조30%(대규모법인은15%)이상변동,나이벡
2023-03-10,주주총회소집공고,나이벡
2023-03-10,의결권대리행사권유참고서류,나이벡
2023-03-10,주주총회집중일개최사유신고,나이벡
2023-03-10,주주총회소집결의,나이벡
2023-01-05,주식등의대량보유상황보고서(일반),정종평
2022-12-29,단일판매ㆍ공급계약해지,나이벡
2022-12-28,신주인수권부사채(해외신주인수권부사채포함)발행후만기전사채취득,나이벡
2022-12-28,전환사채(해외전환사채포함)발행후만기전사채취득,나이벡
2022-12-28,[기재정정]신규시설투자등,나이벡
2022-12-16,주주명부폐쇄기간또는기준일설정,나이벡
2022-12-13,[기재정정]투자판단관련주요경영사항(중국 독점 판매권 및 독점 공급계약 취소),나이벡
2022-12-13,기타주요경영사항(중국 독점 판매권 및 독점 공급계약 취소),나이벡
2022-11-30,주식등의대량보유상황보고서(일반),정종평
2022-11-30,임원ㆍ주요주주특정증권등소유상황보고서,박윤정
2022-11-30,임원ㆍ주요주주특정증권등소유상황보고서,이주연
2022-11-22,증권발행결과(자율공시),나이벡
2022-11-18,주요사항보고서(전환사채권발행결정),나이벡
2022-11-14,분기보고서 (2022.09),나이벡
2022-10-17,주식등의대량보유상황보고서(일반),정종평
2022-10-17,임원ㆍ주요주주특정증권등소유상황보고서,박윤정
2022-10-04,임원ㆍ주요주주특정증권등소유상황보고서,김사성
2022-10-04,임원ㆍ주요주주특정증권등소유상황보고서,설양조
2022-10-04,임원ㆍ주요주주특정증권등소유상황보고서,박윤정
2022-10-04,주식등의대량보유상황보고서(일반),정종평
2022-09-08,단기차입금증가결정,나이벡
2022-08-12,반기보고서 (2022.06),나이벡
2022-07-22,"투자판단관련주요경영사항(나이벡 펩타이드 기반 폐섬유증 치료제(NIPEP-PF, 임상시험코드명 NP-201) 호주 임상 1상 시험계획 승인)",나이벡
2022-06-13,"투자판단관련주요경영사항(나이벡 펩타이드 기반 폐섬유증 치료제(NIPEP-PF, 임상시험코드명 NP-201) 호주 임상 1상 시험계획 신청)",나이벡
2022-05-16,분기보고서 (2022.03),나이벡
2022-03-30,정기주주총회결과,나이벡
2022-03-22,사업보고서 (2021.12),나이벡
2022-03-22,감사보고서제출,나이벡
2022-03-18,[첨부정정]의결권대리행사권유참고서류,나이벡
2022-03-17,[기재정정]주주총회소집공고,나이벡
2022-03-10,[기재정정]단일판매ㆍ공급계약체결,나이벡
2022-03-10,주주총회집중일개최사유신고,나이벡
2022-03-10,주주총회소집결의,나이벡
2022-03-10,매출액또는손익구조30%(대규모법인은15%)이상변동,나이벡
2021-12-28,전환가액의조정,나이벡
2021-12-28,신주인수권행사가액의조정,나이벡
2021-12-16,주주명부폐쇄기간또는기준일설정,나이벡
2021-11-15,분기보고서 (2021.09),나이벡
2021-11-03,기타경영사항(특허권취득)(자율공시),나이벡
2021-08-17,반기보고서 (2021.06),나이벡
2021-05-14,분기보고서 (2021.03),나이벡
2021-04-20,기타경영사항(특허권취득)(자율공시)(다중의 질환 바이오마커의 기능 및 발현을 억제하는 펩타이드의 신규한 용도),나이벡
2021-03-31,주식매수선택권부여에관한신고,나이벡
2021-03-31,사외이사의선임ㆍ해임또는중도퇴임에관한신고,나이벡
2021-03-31,정기주주총회결과,나이벡
2021-03-29,전환가액의조정,나이벡
2021-03-29,신주인수권행사가액의조정,나이벡
2021-03-23,사업보고서 (2020.12),나이벡
2021-03-23,감사보고서제출,나이벡
2021-03-15,주식등의대량보유상황보고서(일반),정종평
2021-03-12,주주총회집중일개최사유신고,나이벡
2021-03-12,매출액또는손익구조30%(대규모법인은15%)이상변동,나이벡
2021-03-12,주주총회소집결의,나이벡
2021-03-12,주주총회소집공고,나이벡
2021-03-12,의결권대리행사권유참고서류,나이벡
2020-12-30,[기재정정]단일판매ㆍ공급계약체결,나이벡
2020-12-30,[기재정정]단일판매ㆍ공급계약체결,나이벡
2020-12-28,증권발행결과(자율공시),나이벡
2020-12-28,증권발행결과(자율공시),나이벡
2020-12-23,주요사항보고서(신주인수권부사채권발행결정),나이벡
2020-12-23,주요사항보고서(전환사채권발행결정),나이벡
2020-12-15,주식등의대량보유상황보고서(일반),정종평
2020-12-15,주주명부폐쇄기간또는기준일설정,나이벡
2020-11-16,분기보고서 (2020.09),나이벡
2020-11-11,투자판단관련주요경영사항(소뼈유래 치과용 골이식재 의료기기 중국 품목허가 획득),나이벡
2020-09-17,[기재정정]주식등의대량보유상황보고서(일반),정종평
2020-08-14,반기보고서 (2020.06),나이벡
2020-06-12,주식등의대량보유상황보고서(일반),정종평
2020-05-15,분기보고서 (2020.03),나이벡
2020-03-30,사업보고서 (2019.12),나이벡
2020-03-27,주식매수선택권부여에관한신고,나이벡
2020-03-27,정기주주총회결과,나이벡
2020-03-18,감사보고서제출,나이벡
2020-03-10,주주총회소집공고,나이벡
2020-03-10,의결권대리행사권유참고서류,나이벡
2020-03-10,주주총회집중일개최사유신고,나이벡
2020-03-10,주주총회소집결의,나이벡
2020-03-10,매출액또는손익구조30%(대규모법인은15%)이상변동,나이벡
2020-01-30,주식등의대량보유상황보고서(약식),현대기술투자
2019-12-27,[기재정정]단일판매ㆍ공급계약체결,나이벡
2019-12-13,주식등의대량보유상황보고서(일반),정종평
2019-12-13,주주명부폐쇄기간또는기준일설정,나이벡
2019-11-28,기업설명회(IR)개최,나이벡
2019-11-14,분기보고서 (2019.09),나이벡
2019-11-05,주식등의대량보유상황보고서(약식),현대기술투자
2019-10-31,기업설명회(IR)개최,나이벡
2019-08-13,반기보고서 (2019.06),나이벡
2019-06-25,임원ㆍ주요주주특정증권등소유상황보고서,설양조
2019-06-25,임원ㆍ주요주주특정증권등소유상황보고서,김사성
2019-06-25,임원ㆍ주요주주특정증권등소유상황보고서,이주연
2019-06-25,임원ㆍ주요주주특정증권등소유상황보고서,박윤정
2019-06-25,주식등의대량보유상황보고서(일반),정종평
2019-06-25,임원ㆍ주요주주특정증권등소유상황보고서,정종평
2019-06-24,주식등의대량보유상황보고서(약식),현대기술투자
2019-06-21,단기차입금감소결정(자율공시),나이벡
2019-06-18,증권발행실적보고서,나이벡
2019-06-18,증권발행결과(자율공시)(주주배정 유상증자),나이벡
2019-06-13,주식등의대량보유상황보고서(일반),정종평
2019-06-12,유상증자또는주식관련사채등의청약결과(자율공시),나이벡
2019-06-05,[기재정정]주요사항보고서(유상증자결정),나이벡
2019-06-05,임원ㆍ주요주주특정증권등소유상황보고서,이주연
2019-06-05,[기재정정]투자설명서,나이벡
2019-06-05,[발행조건확정]증권신고서(지분증권),나이벡
2019-06-04,유상증자최종발행가액확정,나이벡
2019-05-31,임원ㆍ주요주주특정증권등소유상황보고서,현대기술투자
2019-05-31,주식등의대량보유상황보고서(약식),현대기술투자
2019-05-27,임원ㆍ주요주주특정증권등소유상황보고서,현대기술투자
2019-05-24,주식등의대량보유상황보고서(약식),현대기술투자
2019-05-22,임원ㆍ주요주주특정증권등소유상황보고서,이주연
2019-05-22,임원ㆍ주요주주특정증권등소유상황보고서,설양조
2019-05-22,임원ㆍ주요주주특정증권등소유상황보고서,김사성
2019-05-22,임원ㆍ주요주주특정증권등소유상황보고서,박윤정
2019-05-22,임원ㆍ주요주주특정증권등소유상황보고서,정종평
2019-05-22,주식등의대량보유상황보고서(일반),정종평
2019-05-14,기업설명회(IR)개최,나이벡
2019-05-10,주식등의대량보유상황보고서(약식),코리아에셋투자증권
2019-05-09,분기보고서 (2019.03),나이벡
2019-04-29,권리락(유상증자),코스닥시장본부
2019-04-26,유상증자1차발행가액결정,나이벡
2019-04-17,[첨부추가]전환사채(해외전환사채포함)발행후만기전사채취득(제5회차),나이벡
2019-04-15,[기재정정]주주명부폐쇄기간또는기준일설정,나이벡
2019-04-02,단기차입금증가결정,나이벡
2019-04-01,사업보고서 (2018.12),나이벡
2019-03-28,정기주주총회결과,나이벡
2019-03-20,감사보고서제출,나이벡
2019-03-11,주주총회소집공고,나이벡
2019-03-11,의결권대리행사권유참고서류,나이벡
2019-03-11,매출액또는손익구조30%(대규모법인은15%)이상변동,나이벡
2019-03-11,주주총회집중일개최사유신고,나이벡
2019-03-11,주주총회소집결의,나이벡
2019-02-22,수시공시의무관련사항(공정공시)(치과용 골재생 바이오소재 및 콜라겐 바이오소재 등 품목계약의 건),나이벡
2019-02-20,주권매매거래정지(단일판매공급계약),코스닥시장본부
2019-02-20,[기재정정]단일판매ㆍ공급계약체결,나이벡
2019-02-19,단일판매ㆍ공급계약해지,나이벡
