코드,회사명,매집일,이상_거래량,이상_가격,신고가_매집봉,매집_저항,종가,등락률,거래량,포착일,매집_기간,거래대금,주식수,시총_순위/2683,매석일
010130,고려아연,2024-05-08,True,False,False,493000,495000,0.4,72610,2024-05-09,1,35932685500,20908588,45,2024-05-09
267260,HD현대일렉트릭,2024-04-12,True,True,True,265500,269000,3.9,618181,2024-05-09,27,166515490000,36047135,48,2024-05-09
251270,넷마블,2024-05-08,True,False,False,62600,64800,6.8,899213,2024-05-09,1,57802623900,85953502,67,2024-05-09
004170,신세계,2024-05-08,True,False,False,176600,177100,2.2,167539,2024-05-09,1,29894626400,9845181,175,2024-05-09
284740,쿠쿠홈시스,2023-07-05,True,False,False,23600,23600,0.8,22246,2024-05-09,309,522463550,22437330,437,2024-05-09
357120,코람코라이프인프라리츠,2024-05-08,True,False,False,4770,4820,1.3,271981,2024-05-09,1,1303325865,88534474,522,2024-05-09
042000,카페24,2024-04-26,True,False,False,17780,19390,19.7,5177515,2024-05-09,13,96997130940,24253054,480,2024-05-09
041020,폴라리스오피스,2024-02-29,True,False,False,8230,9660,22.7,63497599,2024-05-09,70,572535635500,49725498,466,2024-05-09
00104K,CJ4우(전환),2024-03-29,True,False,True,92100,92200,0.3,14682,2024-05-09,41,1348095200,4226512,553,2024-05-09
003960,사조대림,2024-05-08,True,False,False,40400,40800,1.0,79142,2024-05-09,1,3312305500,9164467,581,2024-05-09
206640,바디텍메드,2024-03-20,True,False,False,16000,16210,3.1,113263,2024-05-09,50,1807953330,23486560,573,2024-05-09
263720,디앤씨미디어,2024-05-08,True,False,False,28250,34450,29.8,3354949,2024-05-09,1,108023662300,12524473,517,2024-05-09
006340,대원전선,2024-05-07,True,True,True,4170,4205,3.8,51202114,2024-05-09,2,217653786600,74979175,656,2024-05-09
211270,AP위성,2024-01-03,True,True,False,18520,19120,6.2,1869080,2024-05-09,127,35732697840,15082304,708,2024-05-09
462520,조선내화,2024-05-08,True,True,False,21550,22600,4.9,2311035,2024-05-09,1,53560404100,11855168,756,2024-05-09
015360,예스코홀딩스,2024-03-25,True,False,True,41750,42400,2.2,12566,2024-05-09,45,532618150,6000000,792,2024-05-09
006060,화승인더,2023-05-03,True,False,False,4185,4240,2.0,515159,2024-05-09,372,2182893045,55320000,839,2024-05-09
322510,제이엘케이,2024-05-08,True,False,False,13320,14680,14.8,2345218,2024-05-09,1,32674320340,16195712,834,2024-05-09
290550,디케이티,2024-05-03,True,False,False,9890,9900,3.4,205112,2024-05-09,6,2032057930,18894839,1011,2024-05-09
052260,현대바이오랜드,2024-05-03,True,True,False,12010,12090,1.6,335557,2024-05-09,6,4041130580,15000000,1035,2024-05-09
156100,엘앤케이바이오,2024-05-08,True,False,False,8910,9400,10.6,383387,2024-05-09,1,3526549750,19936743,1009,2024-05-09
452280,한선엔지니어링,2024-05-08,True,False,False,8600,8900,5.8,10793844,2024-05-09,1,107180258020,17002500,1172,2024-05-09
164060,이루다,2024-04-18,True,False,False,6700,6970,8.1,2939102,2024-05-09,21,20600958970,20612413,1208,2024-05-09
309960,LB인베스트먼트,2024-01-15,True,True,False,5770,7210,29.9,2954266,2024-05-09,115,21264746510,23217239,1101,2024-05-09
323280,태성,2024-05-07,True,False,False,4640,4900,8.0,12690273,2024-05-09,2,64013740480,25820730,1324,2024-05-09
260930,씨티케이,2023-10-31,True,False,False,5930,5950,2.1,126989,2024-05-09,191,750270360,19341591,1413,2024-05-09
086710,선진뷰티사이언스,2024-05-08,True,True,False,9480,9890,7.3,3031638,2024-05-09,1,30708394810,12203280,1363,2024-05-09
056090,이노시스,2022-12-09,True,False,False,1180,1180,0.0,0,2024-05-09,517,0,93815001,1447,2024-05-09
003480,한진중공업홀딩스,2024-04-24,True,True,False,3600,3600,3.0,45542,2024-05-09,15,162344925,29529812,1488,2024-05-09
033790,스카이문스테크놀로지,2024-05-08,True,True,True,5700,5700,0.0,0,2024-05-09,1,0,17117100,1564,2024-05-09
087600,픽셀플러스,2024-05-08,True,False,False,11490,11580,0.8,5863074,2024-05-09,1,75856684560,8166558,1589,2024-05-09
302550,리메드,2024-04-09,True,False,False,3280,3425,16.1,10704945,2024-05-09,30,36161051400,30638080,1504,2024-05-09
046120,오르비텍,2024-05-08,True,False,False,3075,3100,0.8,598293,2024-05-09,1,1851044980,27068824,1702,2024-05-09
009190,대양금속,2024-05-08,True,False,False,1937,1965,6.8,6222742,2024-05-09,1,12561893005,39608790,1767,2024-05-09
317690,퀀타매트릭스,2024-04-26,True,False,False,4200,4210,1.7,52131,2024-05-09,13,220196020,16537411,1876,2024-05-09
071090,하이스틸,2024-04-18,True,True,False,3775,3810,18.3,25644947,2024-05-09,21,98397152605,20191471,1783,2024-05-09
129890,앱코,2024-01-10,True,True,False,1339,1390,8.7,3302543,2024-05-09,120,4576421039,50643410,1867,2024-05-09
177830,파버나인,2024-03-18,True,True,False,3750,3980,15.9,12857103,2024-05-09,52,51015751975,14288753,2064,2024-05-09
101240,씨큐브,2024-04-23,True,False,False,4700,4700,1.1,36322,2024-05-09,16,170016185,10340947,2195,2024-05-09
111870,KH 전자,2023-01-16,True,False,False,5100,8910,0.0,0,2024-05-09,479,0,4665773,2296,2024-05-09
368970,오에스피,2024-05-02,True,False,False,4385,4400,1.7,40822,2024-05-09,7,179325450,9346160,2299,2024-05-09
318160,셀바이오휴먼텍,2023-11-15,True,False,False,4440,4500,4.3,267603,2024-05-09,176,1190194880,9260901,2294,2024-05-09
115530,씨엔플러스,2024-03-26,True,True,False,448,498,11.9,6862494,2024-05-09,44,3329154291,67963000,2399,2024-05-09
071460,위니아,2023-12-21,True,False,False,613,613,0.0,0,2024-05-09,140,0,35967295,2568,2024-05-09
