item,전체,조건1(t3) 수,조건1(t3) 비율(%),조건2(t6) 수,조건2(t6) 비율(%),조건3(t9) 수,조건3(t9) 비율(%)
condition_number == 10,7,6,85.71,4,57.14,2,28.57
condition_number == 9,6,6,100.0,4,66.67,2,33.33
condition_number == 8,7,7,100.0,2,28.57,0,0.0
condition_number == 7,13,12,92.31,6,46.15,4,30.77
condition_number == 6,10,8,80.0,5,50.0,2,20.0
condition_number == 5,8,6,75.0,5,62.5,1,12.5
condition_number == 4,6,3,50.0,1,16.67,1,16.67
condition_number == 3,2,0,0.0,0,0.0,0,0.0
condition_number == 2,1,0,0.0,0,0.0,0,0.0
condition_number == 1,1,0,0.0,0,0.0,0,0.0
