회사명,매집일,이상_가격,매석_거래,신고가_매집봉,매집_기간,매집_저항,매석_종가,등락률,포착일_매석,매집_거래량,매석_거래량,골크_단중,골크_중장,우상향_5일,우상향_20일,우상향_60일,거래대금_억,시가총액_억,주식수,시총_순위_2714,이상_거래량,회사_코드
고려아연,2024-09-20,True,False,True,14,753000,776000.0,8.835904628330995,2024-10-04,379226,1208944.0,True,True,True,True,True,9423,160657,20703283,27,True,010130
고려아연,2024-10-02,False,False,False,2,740000,776000.0,8.835904628330995,2024-10-04,770619,1208944.0,True,True,True,True,True,9423,160657,20703283,27,True,010130
엔씨소프트,2024-09-27,False,True,False,7,207500,209000.0,5.025125628140704,2024-10-04,209628,197245.0,True,True,True,True,True,405,45883,21954022,80,True,036570
엔씨소프트,2024-10-02,False,True,False,2,203000,209000.0,5.025125628140704,2024-10-04,205928,197245.0,True,True,True,True,True,405,45883,21954022,80,True,036570
JB금융지주,2024-09-24,False,True,False,10,15800,15900.0,2.646868947708199,2024-10-04,1676738,525994.0,True,True,True,True,True,82,31018,195083198,119,True,175330
HL만도,2024-09-25,False,True,False,9,37000,38100.0,3.112313937753721,2024-10-04,694073,338987.0,True,False,True,True,False,129,17890,46957120,167,True,204320
영풍정밀,2024-10-02,True,False,True,2,28100,31850.0,25.14734774066797,2024-10-04,2998598,4535632.0,True,True,True,True,True,1447,5016,15750000,430,True,036560
코아스템켐온,2024-09-24,False,False,False,10,13660,13990.0,11.119936457505956,2024-10-04,629861,988451.0,True,True,True,True,True,138,4598,32870376,452,True,166480
흥구석유,2024-06-04,True,True,True,122,20950,21800.0,16.390816871329417,2024-10-04,24948825,20361206.0,True,True,True,True,True,4435,3270,15000000,587,True,024060
제테마,2024-02-19,False,True,False,228,17150,17300.0,5.0394656952034005,2024-10-04,137792,89863.0,True,True,True,True,True,15,3089,17858759,615,True,216080
제테마,2024-08-19,False,True,False,46,17200,17300.0,5.0394656952034005,2024-10-04,157883,89863.0,True,True,True,True,True,15,3089,17858759,615,True,216080
대화제약,2024-03-08,True,False,False,210,13670,13910.0,18.88888888888889,2024-10-04,6489844,12483829.0,True,True,True,True,True,1739,2589,18616650,694,True,067080
대화제약,2024-09-26,True,False,False,8,13270,13910.0,18.88888888888889,2024-10-04,8264421,12483829.0,True,True,True,True,True,1739,2589,18616650,694,True,067080
케이티알파,2024-06-27,False,False,False,99,4755,4825.0,18.842364532019705,2024-10-04,190641,10369248.0,True,False,True,True,True,506,2365,49019283,743,True,036030
케이티알파,2024-09-19,False,False,False,15,4645,4825.0,18.842364532019705,2024-10-04,3101958,10369248.0,True,False,True,True,True,506,2365,49019283,743,True,036030
인스코비,2024-01-23,True,False,False,255,1445,1660.0,29.99216914643696,2024-10-04,1977169,34080926.0,True,True,True,True,True,547,1981,119368998,862,True,006490
인스코비,2024-09-26,False,False,False,8,1334,1660.0,29.99216914643696,2024-10-04,3035196,34080926.0,True,True,True,True,True,547,1981,119368998,862,True,006490
중앙에너비스,2024-04-12,True,True,False,175,27100,28000.0,29.930394431554525,2024-10-04,3979062,3611024.0,True,False,True,True,True,961,1743,6227130,971,True,000440
