회사명,매집일,이상_가격,매석_거래,신고가_매집봉,매집_기간,매집_저항,매석_종가,등락률,포착일_매석,매집_거래량,매석_거래량,골크_단중,골크_중장,우상향_5일,우상향_20일,우상향_60일,거래대금_억,시가총액_억,주식수,매석_일반_상승,장기하락일수,장기하락비율,우선주,스팩주,시총_순위_2745,이상_거래량,회사_코드
차바이오텍,2024-12-24,False,True,False,3,11060,11060.0,1.5610651974288337,2024-12-27,1366784,507864.0,False,False,False,False,False,56,6228,56314443,True,451,61.11111111111112,False,False,336,True,085660
KB스타리츠,2024-12-17,False,True,False,10,3845,3850.0,0.7853403141361256,2024-12-27,258855,75334.0,False,False,True,False,False,2,3904,101414285,True,224,30.35230352303523,False,False,487,True,432320
삼현,2024-12-02,False,False,False,25,8700,9010.0,18.552631578947366,2024-12-27,11607960,24550398.0,True,False,True,True,True,2178,2856,31707567,False,104,14.092140921409213,False,False,607,True,437730
국도화학,2024-12-23,False,True,False,4,31050,31100.0,1.3029315960912051,2024-12-27,56635,14049.0,True,False,True,True,False,4,2802,9010616,True,517,70.05420054200542,False,False,614,True,007690
다올투자증권,2024-12-26,True,False,False,1,3420,3665.0,10.725075528700906,2024-12-27,423724,776128.0,True,False,True,True,True,27,2232,60911106,False,561,76.01626016260163,False,False,739,True,030210
스마트레이더시스템,2024-12-24,False,False,False,3,12990,14050.0,15.258408531583264,2024-12-27,3545992,8878563.0,True,False,True,True,True,1245,2199,15652340,False,159,21.544715447154477,False,False,751,True,424960
스마트레이더시스템,2024-12-26,True,False,False,1,14000,14050.0,15.258408531583264,2024-12-27,6170777,8878563.0,True,False,True,True,True,1245,2199,15652340,False,159,21.544715447154477,False,False,751,True,424960
드림시큐리티,2024-12-11,True,False,False,16,3900,3940.0,8.83977900552486,2024-12-27,11923679,15985890.0,True,True,True,True,True,634,1993,50605754,False,375,50.81300813008131,False,False,803,True,203650
케이씨에스,2024-12-12,True,True,True,15,11580,12610.0,30.0,2024-12-27,17991855,9445527.0,True,True,True,True,True,1108,1513,12000000,False,400,54.20054200542005,False,False,1009,True,115500
케이씨에스,2024-12-16,True,True,True,11,12480,12610.0,30.0,2024-12-27,11949561,9445527.0,True,True,True,True,True,1108,1513,12000000,False,400,54.20054200542005,False,False,1009,True,115500
오스테오닉,2024-12-20,False,True,False,7,6230,6240.0,0.3215434083601286,2024-12-27,1914687,336134.0,True,False,True,True,True,20,1289,20661601,True,354,47.96747967479675,False,False,1134,True,226400
대보마그네틱,2024-12-23,False,True,False,4,15390,16260.0,6.2050947093403,2024-12-27,66305,41646.0,True,False,True,True,False,6,1277,7857660,True,461,62.46612466124661,False,False,1143,True,290670
우리넷,2024-10-04,True,False,False,84,8400,8630.0,18.87052341597796,2024-12-27,4553426,10239214.0,True,False,True,True,True,871,928,10754239,False,404,54.74254742547425,False,False,1433,True,115440
우리넷,2024-10-10,True,False,False,78,8500,8630.0,18.87052341597796,2024-12-27,6503048,10239214.0,True,False,True,True,True,871,928,10754239,False,404,54.74254742547425,False,False,1433,True,115440
한컴위드,2024-09-10,False,True,False,108,3170,3200.0,6.666666666666667,2024-12-27,7547020,1058561.0,True,True,True,True,True,34,902,28217081,True,531,71.95121951219512,False,False,1461,True,054920
동원금속,2024-12-23,True,True,False,4,1820,1827.0,1.218836565096953,2024-12-27,19623847,9576944.0,True,True,True,True,True,187,854,46754933,True,429,58.13008130081301,False,False,1504,True,018500
에이엘티,2024-12-19,False,False,False,8,8710,9140.0,15.842839036755388,2024-12-27,2609927,3760989.0,True,False,True,True,False,342,818,8960259,False,222,30.08130081300813,False,False,1539,True,172670
코위버,2024-04-19,False,False,False,252,6390,7120.0,21.08843537414966,2024-12-27,104324,10967814.0,True,True,True,True,True,797,697,9796800,False,487,65.98915989159892,False,False,1695,True,056360
코위버,2024-12-19,True,False,False,8,6150,7120.0,21.08843537414966,2024-12-27,3683453,10967814.0,True,True,True,True,True,797,697,9796800,False,487,65.98915989159892,False,False,1695,True,056360
코위버,2024-12-23,True,False,False,4,5970,7120.0,21.08843537414966,2024-12-27,2924119,10967814.0,True,True,True,True,True,797,697,9796800,False,487,65.98915989159892,False,False,1695,True,056360
코위버,2024-12-24,True,False,False,3,6430,7120.0,21.08843537414966,2024-12-27,3545936,10967814.0,True,True,True,True,True,797,697,9796800,False,487,65.98915989159892,False,False,1695,True,056360
오션인더블유,2024-12-26,False,True,False,1,297,300.0,6.007067137809187,2024-12-27,844243,546695.0,False,False,True,False,False,1,505,168651433,True,586,79.40379403794037,False,False,1993,True,052300
금호전기,2024-12-12,False,False,False,15,858,897.0,10.877626699629172,2024-12-27,2004131,2737264.0,True,False,True,True,True,24,503,56089833,False,591,80.08130081300813,False,False,1997,True,001210
한국첨단소재,2022-05-09,False,False,False,963,3495,4270.0,29.98477929984779,2024-12-27,1208351,2271771.0,True,True,True,True,True,96,421,9868409,False,492,66.66666666666666,False,False,2149,True,062970
한국첨단소재,2022-06-09,False,False,False,932,3410,4270.0,29.98477929984779,2024-12-27,768324,2271771.0,True,True,True,True,True,96,421,9868409,False,492,66.66666666666666,False,False,2149,True,062970
한국첨단소재,2024-12-20,True,True,True,7,3680,4270.0,29.98477929984779,2024-12-27,19113288,2271771.0,True,True,True,True,True,96,421,9868409,False,492,66.66666666666666,False,False,2149,True,062970
한국첨단소재,2024-12-23,True,True,True,4,3900,4270.0,29.98477929984779,2024-12-27,11100640,2271771.0,True,True,True,True,True,96,421,9868409,False,492,66.66666666666666,False,False,2149,True,062970
시큐센,2024-12-13,True,False,False,14,2830,2920.0,10.18867924528302,2024-12-27,6396923,10408783.0,True,True,True,True,True,321,341,11707472,False,422,57.18157181571816,False,False,2311,True,232830
시큐센,2024-12-16,True,False,False,11,2895,2920.0,10.18867924528302,2024-12-27,3972432,10408783.0,True,True,True,True,True,321,341,11707472,False,422,57.18157181571816,False,False,2311,True,232830
시큐센,2024-12-23,True,False,False,4,2845,2920.0,10.18867924528302,2024-12-27,7928180,10408783.0,True,True,True,True,True,321,341,11707472,False,422,57.18157181571816,False,False,2311,True,232830
디와이씨,2024-03-20,False,True,False,282,1619,1633.0,1.4916096954630205,2024-12-27,183780,176914.0,True,True,True,True,True,2,337,20687271,True,508,68.83468834688347,False,False,2319,True,310870
지엔코,2024-12-02,False,False,False,25,258,300.0,29.87012987012987,2024-12-27,558783,7988701.0,True,False,True,True,False,23,324,108008044,False,507,68.69918699186992,False,False,2344,True,065060
유안타제10호스팩,2024-12-26,False,True,False,1,2070,2070.0,0.4854368932038834,2024-12-27,138549,5580.0,False,False,True,False,False,0,118,5730000,True,231,31.30081300813008,False,True,2714,True,435380
비엔케이제2호스팩,2024-12-18,False,True,False,9,1963,1965.0,0.6144393241167435,2024-12-27,36308,3160.0,False,False,True,False,False,0,82,4210000,True,85,11.51761517615176,False,True,2786,True,473370
동양2우B,2024-11-18,False,True,False,39,9410,9800.0,11.363636363636363,2024-12-27,22876,1318.0,True,False,True,True,True,0,30,308569,False,429,58.13008130081301,True,False,2849,True,001527
동양2우B,2024-11-22,False,True,False,35,9140,9800.0,11.363636363636363,2024-12-27,30711,1318.0,True,False,True,True,True,0,30,308569,False,429,58.13008130081301,True,False,2849,True,001527
