회사명,매집일,이상_가격,매석_거래,신고가_매집봉,매집_기간,매집_저항,매석_종가,등락률,포착일_매석,매집_거래량,매석_거래량,골크_단중,골크_중장,우상향_5일,우상향_20일,우상향_60일,거래대금_억,시가총액_억,주식수,매석_일반_상승,장기하락일수,장기하락비율,우선주,스팩주,시총_순위_2744,이상_거래량,회사_코드
이마트,2024-12-23,True,True,False,1,70500,71600.0,2.8735632183908044,2024-12-24,904388,492727.0,True,True,True,True,True,352,19959,27875819,True,527,71.50610583446404,False,False,147,True,139480
이수페타시스,2024-12-03,False,True,False,21,27100,27700.0,5.123339658444023,2024-12-24,23578097,8072146.0,True,False,True,True,False,2318,17519,63246419,True,262,35.549525101763905,False,False,166,True,007660
ESR켄달스퀘어리츠,2024-12-18,False,True,False,6,4395,4500.0,2.73972602739726,2024-12-24,708079,274455.0,False,False,True,False,False,12,9589,213089000,True,370,50.20352781546812,False,False,252,True,365550
대신증권,2024-12-17,False,True,False,7,16620,16630.0,1.0328068043742409,2024-12-24,399987,68747.0,False,False,True,False,True,11,8443,50773400,True,393,53.32428765264586,False,False,275,True,003540
NICE평가정보,2024-12-18,False,True,True,6,12680,12900.0,3.2,2024-12-24,576363,140986.0,True,True,True,True,True,18,7676,59506593,True,492,66.75712347354138,False,False,293,True,030190
아세아,2024-12-23,False,True,False,1,236500,242500.0,4.07725321888412,2024-12-24,6147,1586.0,False,False,True,False,False,3,5091,2099584,False,245,33.242876526458616,False,False,405,True,002030
한일홀딩스,2022-02-25,True,True,True,1033,15650,15800.0,1.8697614442295287,2024-12-24,555455,68363.0,True,True,True,True,True,10,4871,30832884,True,193,26.187245590230663,False,False,423,True,003300
한국쉘석유,2024-12-05,False,False,False,19,348000,349000.0,2.346041055718475,2024-12-24,7156,8648.0,True,True,True,True,True,30,4537,1300000,True,355,48.16824966078697,False,False,448,True,002960
유티아이,2024-12-18,False,False,False,6,24100,27000.0,12.5,2024-12-24,212164,648692.0,True,True,True,True,True,173,4397,16286895,False,333,45.1831750339213,False,False,458,True,179900
유티아이,2024-12-20,False,False,False,4,24250,27000.0,12.5,2024-12-24,244230,648692.0,True,True,True,True,True,173,4397,16286895,False,333,45.1831750339213,False,False,458,True,179900
