회사,구분,1년,2년,3년,합산
삼성전자,외인,96.8,93.8,93.1,94.6
삼성전자,기관,58.8,42.3,43.1,48.1
삼성전자,개인,1.8,3.4,2.9,2.7
삼성전자,개반,98.2,96.6,97.1,97.3
삼성전자,법인,13.9,17.6,19.8,17.1
삼성전자,총점,84.6,77.6,77.8,80.0
SK하이닉스,외인,96.6,98.0,95.9,96.8
SK하이닉스,기관,17.8,25.2,36.2,26.4
SK하이닉스,개인,22.3,9.0,6.6,12.6
SK하이닉스,개반,77.7,91.0,93.4,87.4
SK하이닉스,법인,42.7,39.0,35.0,38.9
SK하이닉스,총점,64.0,71.4,75.2,70.2
LG에너지솔루션,외인,87.7,97.8,80.3,88.6
LG에너지솔루션,기관,81.9,89.8,70.3,80.7
LG에너지솔루션,개인,13.4,2.0,8.7,8.0
LG에너지솔루션,개반,86.6,98.0,91.3,92.0
LG에너지솔루션,법인,44.9,9.9,20.9,25.2
LG에너지솔루션,총점,85.4,95.2,80.6,87.1
