회사명,항목,외인,기관,개인,개반,법인,총점
삼성전자,1년,96.8,58.8,1.8,98.2,13.9,84.6
삼성전자,2년,93.8,42.3,3.4,96.6,17.6,77.6
삼성전자,3년,93.1,43.1,2.9,97.1,19.8,77.8
삼성전자,합산,94.6,48.1,2.7,97.3,17.1,80.0
SK하이닉스,1년,96.6,17.8,22.3,77.7,42.7,64.0
SK하이닉스,2년,98.0,25.2,9.0,91.0,39.0,71.4
SK하이닉스,3년,95.9,36.2,6.6,93.4,35.0,75.2
SK하이닉스,합산,96.8,26.4,12.6,87.4,38.9,70.2
LG에너지솔루션,1년,87.7,81.9,13.4,86.6,44.9,85.4
LG에너지솔루션,2년,97.8,89.8,2.0,98.0,9.9,95.2
LG에너지솔루션,3년,80.3,70.3,8.7,91.3,20.9,80.6
LG에너지솔루션,합산,88.6,80.7,8.0,92.0,25.2,87.1
삼성바이오로직스,1년,97.0,62.1,2.6,97.4,4.5,85.5
삼성바이오로직스,2년,97.6,45.3,1.8,98.2,7.6,80.4
삼성바이오로직스,3년,94.3,52.9,6.5,93.5,20.9,80.2
삼성바이오로직스,합산,96.3,53.4,3.6,96.4,11.0,82.0
현대차,1년,78.3,80.9,16.2,83.8,28.1,81.0
현대차,2년,92.8,86.5,5.5,94.5,30.8,91.3
현대차,3년,91.7,55.6,5.8,94.2,27.9,80.5
현대차,합산,87.6,74.3,9.2,90.8,28.9,84.3
기아,1년,88.8,36.4,6.3,93.7,57.4,73.0
기아,2년,95.7,23.8,3.2,96.8,89.7,72.1
기아,3년,92.8,24.9,4.5,95.5,88.4,71.1
기아,합산,92.4,28.4,4.7,95.3,78.5,72.1
셀트리온,1년,33.7,74.7,25.9,74.1,63.3,60.8
셀트리온,2년,19.8,83.3,6.9,93.1,88.4,65.4
셀트리온,3년,26.0,81.1,16.4,83.6,81.6,63.6
셀트리온,합산,26.5,79.7,16.4,83.6,77.8,63.3
KB금융,1년,68.1,90.9,4.3,95.7,8.8,84.9
KB금융,2년,81.1,92.9,1.8,98.2,6.8,90.7
KB금융,3년,65.7,92.2,1.9,98.1,7.1,85.3
KB금융,합산,71.6,92.0,2.7,97.3,7.6,87.0
NAVER,1년,91.5,93.5,2.2,97.8,47.7,94.3
NAVER,2년,89.9,92.8,5.2,94.8,28.1,92.5
NAVER,3년,92.0,55.7,7.3,92.7,24.4,80.1
NAVER,합산,91.1,80.7,4.9,95.1,33.4,89.0
HD현대중공업,1년,93.3,77.7,5.5,94.5,14.7,88.5
HD현대중공업,2년,94.4,85.8,10.8,89.2,9.9,89.8
HD현대중공업,3년,85.8,80.5,13.4,86.6,12.2,84.3
HD현대중공업,합산,91.2,81.3,9.9,90.1,12.3,87.5
신한지주,1년,40.7,90.9,3.2,96.8,9.2,76.1
신한지주,2년,40.2,95.5,2.2,97.8,3.4,77.8
신한지주,3년,34.3,90.2,5.1,94.9,5.8,73.1
신한지주,합산,38.4,92.2,3.5,96.5,6.1,75.7
현대모비스,1년,74.5,88.8,20.0,80.0,51.1,81.1
현대모비스,2년,77.3,67.2,20.1,79.9,67.1,74.8
현대모비스,3년,80.5,40.4,17.2,82.8,77.3,67.9
현대모비스,합산,77.4,65.5,19.1,80.9,65.2,74.6
POSCO홀딩스,1년,84.8,7.3,80.8,19.2,23.6,37.1
POSCO홀딩스,2년,38.0,24.1,64.5,35.5,48.8,32.5
POSCO홀딩스,3년,17.3,17.0,83.5,16.5,70.8,16.9
POSCO홀딩스,합산,46.7,16.1,76.3,23.7,47.7,28.8
삼성물산,1년,50.3,66.3,42.1,57.9,55.4,58.2
삼성물산,2년,88.1,40.1,9.4,90.6,13.8,72.9
삼성물산,3년,87.1,35.7,10.6,89.4,15.5,70.7
삼성물산,합산,75.2,47.4,20.7,79.3,28.2,67.3
메리츠금융지주,1년,10.6,96.2,4.1,95.9,4.2,67.6
메리츠금융지주,2년,14.8,97.7,3.7,96.3,7.8,69.6
메리츠금융지주,3년,11.9,97.2,9.2,90.8,4.7,66.6
메리츠금융지주,합산,12.4,97.0,5.7,94.3,5.6,67.9
SK이노베이션,1년,83.0,68.9,22.8,77.2,18.3,76.4
SK이노베이션,2년,93.5,92.3,6.0,94.0,5.7,93.3
SK이노베이션,3년,89.5,94.1,6.8,93.2,7.9,92.3
SK이노베이션,합산,88.7,85.1,11.9,88.1,10.6,87.3
알테오젠,1년,97.6,59.2,4.7,95.3,15.4,84.0
알테오젠,2년,98.5,82.4,2.9,97.1,4.7,92.7
알테오젠,3년,95.1,85.9,3.4,96.6,3.7,92.5
알테오젠,합산,97.1,75.8,3.7,96.3,7.9,89.7
한화에어로스페이스,1년,94.8,10.1,7.5,92.5,14.9,65.8
한화에어로스페이스,2년,93.0,24.1,5.0,95.0,8.7,70.7
한화에어로스페이스,3년,91.7,14.4,7.3,92.7,27.7,66.3
한화에어로스페이스,합산,93.2,16.2,6.6,93.4,17.1,67.6
LG화학,1년,95.9,23.2,2.5,97.5,14.1,72.2
LG화학,2년,98.0,7.1,1.4,98.6,15.2,67.9
LG화학,3년,94.9,13.5,3.8,96.2,14.3,68.2
LG화학,합산,96.3,14.6,2.6,97.4,14.5,69.4
HD한국조선해양,1년,97.9,92.6,1.7,98.3,20.6,96.3
HD한국조선해양,2년,95.6,95.2,3.1,96.9,31.5,95.9
HD한국조선해양,3년,96.4,94.1,2.5,97.5,19.4,96.0
HD한국조선해양,합산,96.6,94.0,2.4,97.6,23.8,96.1
삼성생명,1년,87.5,83.5,7.7,92.3,20.5,87.8
삼성생명,2년,95.0,50.8,2.6,97.4,8.4,81.1
삼성생명,3년,93.9,46.6,5.8,94.2,6.4,78.2
삼성생명,합산,92.1,60.3,5.4,94.6,11.8,82.4
HMM,1년,58.4,70.2,26.9,73.1,71.8,67.2
HMM,2년,30.9,48.5,61.3,38.7,61.0,39.4
HMM,3년,28.3,43.4,82.4,17.6,19.4,29.8
HMM,합산,39.2,54.0,56.9,43.1,50.7,45.5
하나금융지주,1년,51.0,81.6,9.6,90.4,6.0,74.3
하나금융지주,2년,39.3,93.3,15.0,85.0,38.2,72.5
하나금융지주,3년,30.6,89.8,15.4,84.6,51.2,68.3
하나금융지주,합산,40.3,88.2,13.3,86.7,31.8,71.7
삼성SDI,1년,91.5,87.3,5.5,94.5,36.5,91.1
삼성SDI,2년,96.3,23.1,3.5,96.5,4.1,72.0
삼성SDI,3년,94.3,47.2,4.1,95.9,5.0,79.1
삼성SDI,합산,94.0,52.5,4.4,95.6,15.2,80.7
삼성화재,1년,81.6,40.8,8.5,91.5,16.2,71.3
삼성화재,2년,89.3,16.7,7.3,92.7,8.9,66.2
삼성화재,3년,89.4,14.3,7.5,92.5,9.0,65.4
삼성화재,합산,86.8,23.9,7.8,92.2,11.4,67.6
한화오션,1년,53.5,23.5,80.3,19.7,89.2,32.2
한화오션,2년,58.8,31.0,65.2,34.8,47.2,41.5
한화오션,3년,69.0,31.4,59.4,40.6,26.2,47.0
한화오션,합산,60.4,28.6,68.3,31.7,54.2,40.2
크래프톤,1년,96.6,57.8,4.0,96.0,5.0,83.5
크래프톤,2년,97.5,87.4,3.4,96.6,4.7,93.8
크래프톤,3년,78.9,66.9,23.5,76.5,17.9,74.1
크래프톤,합산,91.0,70.7,10.3,89.7,9.2,83.8
카카오,1년,96.9,92.2,2.5,97.5,94.0,95.5
카카오,2년,79.8,64.8,21.9,78.1,89.1,74.2
카카오,3년,94.1,74.6,6.1,93.9,87.8,87.5
카카오,합산,90.3,77.2,10.2,89.8,90.3,85.7
고려아연,1년,33.4,92.5,5.7,94.3,91.1,73.4
고려아연,2년,36.3,90.9,6.6,93.4,70.7,73.5
고려아연,3년,39.2,88.4,12.5,87.5,64.6,71.7
