,Date,Open,High,Low,Close,Volume,Change,ma_5,vel_5,ma_20,vel_20,ma_60,vel_60,com_name,com_code,vol_mean_60,vol_std_60,vol_bol_60,vol_bolin_check,mean_60,std_60,bolin_price_60_3,bolin_price_60_6,bolin_price_60_9,bolin_price_60_12,bolin_earning_60_3,bolin_earning_60_6,bolin_earning_60_9,bolin_earning_60_12,std_level,bolin_check,inverse_hammer,bear_candle,high_246,new_high_check,dec_246_1,Max_Price_20,Max_Return_20,Max_Loss_Price_20,Max_Loss_20,Max_Price_60,Max_Return_60,Max_Loss_Price_60,Max_Loss_60,Max_Price_120,Max_Return_120,Max_Loss_Price_120,Max_Loss_120,Max_Price_240,Max_Return_240,Max_Loss_Price_240,Max_Loss_240,Is_Max_Over_Bolin_60_3,Is_Max_Over_Bolin_60_6,Is_Max_Over_Bolin_60_9,Is_Max_Over_Bolin_60_12,기관순매,법인순매,개인순매,외인순매,기관대금,법인대금,개인대금,외인대금,거래대금,pump_date,dump_date,pmp_Open,pmp_High,pmp_Low,pmp_Close,pmp_Volume,pmp_Change,pmp_high_246,pmp_ma_5,pmp_vel_5,pmp_ma_20,pmp_vel_20,pmp_ma_60,pmp_vel_60,pmp_vol_mean_60,pmp_vol_std_60,pmp_vol_bol_60,pmp_vol_bolin_check,pmp_mean_60,pmp_std_60,pmp_bolin_price_60_3,pmp_bolin_earning_60_3,pmp_bolin_price_60_6,pmp_bolin_earning_60_6,pmp_bolin_price_60_9,pmp_bolin_earning_60_9,pmp_bolin_price_60_12,pmp_bolin_earning_60_12,pmp_bolin_check,pmp_high_246,pmp_new_high_check,pmp_Max_Price_60,pmp_Max_Return_20,pmp_Max_Return_60,pmp_Max_Return_120,pmp_Max_Return_240,pmp_Max_Loss_Price_20,pmp_Max_Loss_Price_60,pmp_Max_Loss_Price_120,pmp_Max_Loss_Price_240,pmp_Max_Loss_20,pmp_Max_Loss_60,pmp_Max_Loss_120,pmp_Max_Loss_240,pmp_Is_Max_Over_Bolin_60_3,pmp_Is_Max_Over_Bolin_60_6,pmp_Is_Max_Over_Bolin_60_9,pmp_Is_Max_Over_Bolin_60_12,pmp_dec_246_1,pmp_std_level,pmp_기관순매,pmp_법인순매,pmp_개인순매,pmp_외인순매,pmp_기관대금,pmp_법인대금,pmp_개인대금,pmp_외인대금,pmp_거래대금,dump_period,long_dec_3,long_dec_2,long_dec_1,period_long_dec_3,period_long_dec_2,period_long_dec_1,long_dec_ratio_1,long_dec_ratio_2,long_dec_ratio_3
2841,2025-07-18,145600,156200,139100,147400,1818154,6.195965417867435,138380.0,2140.0,124085.0,2000.0,113711.66666666667,638.333333333343,리가켐바이오,141080,380874.9,264776.9558473586,1175205.7675420758,True,113711.66666666667,11156.927469314243,147182.4490746094,180653.23148255213,214124.01389049488,247594.79629843758,-0.14759221532604555,22.559858536331163,45.26730928798839,67.97476003964557,3.0194991789620347,True,True,False,143600.0,True,52.8,156300.0,6.0379918588873815,127200.0,-13.704206241519678,156300.0,6.0379918588873815,127200.0,-13.704206241519678,156300.0,6.0379918588873815,127200.0,-13.704206241519678,156300.0,6.0379918588873815,127200.0,-13.704206241519678,True,False,False,False,12267.0,4955.0,-24230.0,7008.0,1957773450.0,707722500.0,-4068106100.0,1402610150.0,4068106100.0,2025-08-14,2025-07-18,155400.0,158900.0,153700.0,156300.0,374387.0,0.3209242618741977,157900.0,151820.0,1440.0,143640.0,875.0,125915.0,813.3333333333285,458170.9666666667,319621.0654407858,1417034.162989024,False,125915.0,15465.659000938655,172311.97700281595,10.24438707793727,218708.9540056319,39.92895329854888,265105.9310084479,69.61351951916052,311502.9080112638,99.29808573977212,False,157900.0,True,,,,,,,,,,,,,,False,False,False,False,53.3,1.9646754139707754,45230.0,3366.0,4760.0,-53356.0,7070838100.0,525661400.0,734859800.0,-8331359300.0,8331359300.0,27,254,123,80,734,487,242,33.057851239669425,25.256673511293638,34.60490463215259
5229,2025-02-26,27900,30700,27650,30550,651209,8.9126559714795,28480.0,680.0,25002.5,370.0,24735.0,39.16666666666788,SK아이이테크놀로지,361610,187051.8,87678.82939317684,450088.28817953053,True,24735.0,1786.0174504445547,30093.052351333663,35451.104702667326,40809.15705400099,46167.20940533465,-1.4957369841778625,16.04289591707799,33.58152881833386,51.120161719589696,3.255847247490554,True,True,False,77700.0,False,56.9,29500.0,-3.436988543371522,24350.0,-20.29459901800328,29500.0,-3.436988543371522,19400.0,-36.49754500818331,31700.0,3.764320785597386,19400.0,-36.49754500818331,31700.0,3.764320785597386,19400.0,-36.49754500818331,False,False,False,False,143846.0,-311.0,-116033.0,-27502.0,4281863550.0,-8825550.0,-3433883500.0,-839154500.0,4281863550.0,2025-08-14,2025-02-26,29100.0,32250.0,29100.0,31700.0,859192.0,10.452961672473867,38750.0,29250.0,680.0,28610.0,225.0,26116.833333333332,177.5,164605.46666666667,99576.38670243729,463334.6267739785,True,26116.833333333332,3156.237470815885,35585.54574578098,12.257242100255466,45054.25815822864,42.12699734456983,54522.9705706763,71.99675258888422,63991.682983123945,101.86650783319857,False,38750.0,False,,,,,,,,,,,,,,False,False,False,False,52.0,1.7689311144333584,158203.0,2134.0,-315955.0,155618.0,4972552175.0,68160550.0,-9867152600.0,4826439875.0,9867152600.0,169,459,359,173,734,487,242,71.48760330578511,73.71663244353182,62.53405994550408
6554,2025-06-23,22350,25500,22200,23950,3652855,2.1321961620469083,20888.0,952.0,18583.5,363.5,16247.833333333334,142.5,두산퓨얼셀,336260,455605.06666666665,1059061.635752929,3632789.9739254536,True,16247.833333333334,2296.4161147788213,23137.081677669798,30026.33002200626,36915.57836634273,43804.82671067919,-3.394230990940303,25.370897795433233,54.136026581806796,82.90115536818034,3.353994346712071,True,True,False,24600.0,True,56.9,24300.0,1.4613778705636848,21700.0,-9.394572025052195,26150.0,9.185803757828804,21700.0,-9.394572025052195,26150.0,9.185803757828804,21700.0,-9.394572025052195,26150.0,9.185803757828804,21700.0,-9.394572025052195,True,False,False,False,84808.0,20923.0,-69232.0,-36499.0,1974914800.0,494684225.0,-1355808000.0,-1113791025.0,2469599025.0,2025-08-14,2025-06-23,25000.0,28350.0,24650.0,26150.0,4296221.0,5.23138832997988,25500.0,24730.0,490.0,23447.5,185.0,21468.166666666668,143.16666666666788,673671.8666666667,1133528.8253901717,4074258.342837182,True,21468.166666666668,2700.7397083423357,29570.385791693676,13.079869184297038,37672.60491672068,44.06349872550929,45774.82404174769,75.04712826672157,53877.043166774696,106.03075780793382,False,25500.0,True,,,,,,,,,,,,,,False,False,False,False,52.8,1.7335374152761116,140837.0,9914.0,-589410.0,438659.0,3764031900.0,267793950.0,-15833430650.0,11801604800.0,15833430650.0,52,466,312,158,734,487,242,65.28925619834712,64.06570841889116,63.48773841961853
6632,2025-08-11,43000,48450,42700,47300,1994989,13.975903614457833,42720.0,1980.0,39087.5,515.0,35708.333333333336,200.0,코스모신소재,005070,328893.56666666665,189004.35785957123,895906.6402453803,True,35708.333333333336,3316.9786285464547,45659.2692189727,55610.20510461206,65561.14099025143,75512.0768758908,-3.468775435575682,17.56914398438068,38.607063404337055,59.644982824293436,3.494646171943016,True,True,False,132900.0,False,60.2,51000.0,7.822410147991543,46950.0,-0.7399577167019,51000.0,7.822410147991543,46950.0,-0.7399577167019,51000.0,7.822410147991543,46950.0,-0.7399577167019,51000.0,7.822410147991543,46950.0,-0.7399577167019,True,False,False,False,33488.0,8453.0,-178880.0,136939.0,1588134175.0,395596850.0,-8407533275.0,6423802250.0,8407533275.0,2025-08-14,2025-08-11,48750.0,51500.0,48450.0,51000.0,789534.0,6.806282722513089,132900.0,46900.0,1810.0,40967.5,765.0,36482.5,320.0,371185.76666666666,285335.9069072957,1227193.4873885538,False,36482.5,4293.83108851275,49363.99326553825,-3.2078563420818615,62245.4865310765,22.04997359034608,75126.97979661476,47.30780352277404,88008.473062153,72.56563345520198,True,132900.0,False,,,,,,,,,,,,,,False,False,False,False,59.8,3.3810132957578474,6508.0,8595.0,15950.0,-31053.0,324462225.0,428607275.0,752446650.0,-1505516150.0,1505516150.0,3,443,393,226,734,487,242,93.38842975206612,80.69815195071868,60.3542234332425
7215,2025-02-18,25950,31650,25650,30000,3103094,12.994350282485875,27010.0,1400.0,23982.5,312.5,21270.333333333332,145.0,STX엔진,077970,556627.5166666667,464872.72675900336,1951245.6969436766,True,21270.333333333332,2673.6030412577384,29291.142457106547,37311.95158087976,45332.760704652974,53353.56982842619,-2.3628584763115095,24.373171936265862,51.10920234884324,77.84523276142063,3.2651319331833144,True,True,False,27650.0,True,49.2,29150.0,-2.833333333333332,24150.0,-19.499999999999996,29150.0,-2.833333333333332,18310.0,-38.96666666666667,29150.0,-2.833333333333332,18310.0,-38.96666666666667,36300.0,20.999999999999996,18310.0,-38.96666666666667,False,False,False,False,-213000.0,-29810.0,69441.0,173369.0,-6186774000.0,-872033650.0,1838133650.0,5220674000.0,7058807650.0,2025-08-14,2025-02-18,28000.0,36950.0,27600.0,36300.0,4778174.0,27.592267135325134,31650.0,30270.0,1770.0,24975.0,807.5,23455.833333333332,180.83333333333212,400529.51666666666,334409.9934950371,1403759.4971517778,True,23455.833333333332,2864.67118047127,32049.84687474714,-11.708410813368756,40643.860416160955,11.966557620278111,49237.87395757476,35.64152605392496,57831.887498988566,59.3164944875718,True,31650.0,True,,,,,,,,,,,,,,False,False,False,False,50.8,4.483644319887932,278028.0,2746.0,-446227.0,165453.0,9794130500.0,89942575.0,-15789737025.0,5905663950.0,15789737025.0,177,309,184,82,734,487,242,33.88429752066116,37.782340862423,42.09809264305177
8642,2023-11-22,47550,53100,47450,52100,1613266,10.264550264550266,48600.0,940.0,44297.5,322.5,45519.166666666664,68.33333333332848,에스앤에스텍,101490,268100.9,142921.10522484206,696864.2156745262,True,45519.166666666664,2860.391751530636,54100.34192125857,62681.51717585048,71262.69243044239,79843.86768503429,3.8394278718974517,20.310013773225492,36.78059967455353,53.25118557588156,2.300675538520847,False,True,False,63900.0,False,52.8,52500.0,0.7677543186180413,44150.0,-15.25911708253359,52500.0,0.7677543186180413,39000.0,-25.143953934740882,52500.0,0.7677543186180413,38050.0,-26.967370441458737,52500.0,0.7677543186180413,19110.0,-63.32053742802304,False,False,False,False,119716.0,18489.0,-251144.0,112939.0,6041024300.0,940456100.0,-12736793950.0,5755313550.0,12736793950.0,2025-08-14,2023-11-22,52000.0,55200.0,51400.0,54600.0,381319.0,4.798464491362764,52800.0,51980.0,720.0,49807.5,267.5,43258.333333333336,331.6666666666715,186902.28333333333,144382.0563499393,620048.4523831512,False,43258.333333333336,6174.6131232834205,61782.1727031836,13.15416246004322,80306.01207303387,47.08060819236972,98829.85144288413,81.00705392469621,117353.69081273439,114.93349965702268,False,52800.0,True,,,,,,,,,,,,,,False,False,False,False,49.2,1.8368222332665929,116561.0,-489.0,-160682.0,44610.0,6355070000.0,-26656800.0,-8748275000.0,2419861800.0,8774931800.0,631,280,258,80,734,487,242,33.057851239669425,52.977412731006154,38.14713896457766
11153,2025-05-26,17620,22550,17480,22100,7296279,26.06959498003423,18110.0,1084.0,17540.5,232.0,16491.333333333332,58.83333333333212,현대힘스,460930,382804.0,445402.0791328994,1719010.2373986982,True,16491.333333333332,1669.7259921582524,21500.51130980809,26509.689286282846,31518.8672627576,36528.045239232364,-2.7126185076556966,19.95334518680021,42.61930888125612,65.28527257571206,3.3590341726770534,True,True,False,22350.0,True,54.5,22400.0,1.3574660633484115,19230.0,-12.986425339366514,23000.0,4.072398190045257,18270.0,-17.330316742081454,23000.0,4.072398190045257,18270.0,-17.330316742081454,23000.0,4.072398190045257,18270.0,-17.330316742081454,True,False,False,False,315241.0,11494.0,-413072.0,86337.0,6439544210.0,229454115.0,-7845603360.0,1176605035.0,7845603360.0,2025-08-14,2025-05-26,22400.0,24500.0,21400.0,23000.0,2559713.0,3.1390134529147984,23500.0,22230.0,320.0,20440.0,226.5,19768.5,105.33333333333212,675356.4833333333,1158717.9161424313,4151510.2317606276,False,19768.5,1311.6043928461136,23703.31317853834,3.0578833849493092,27638.126357076682,20.165766769898617,31572.93953561502,37.273650154847914,35507.752714153365,54.38153353979723,True,23500.0,True,,,,,,,,,,,,,,False,False,False,False,52.8,2.4637764387078733,14389.0,8281.0,-143348.0,120678.0,329820950.0,191329100.0,-3277754000.0,2756603950.0,3277754000.0,80,151,151,85,377,377,242,35.12396694214876,40.05305039787798,40.05305039787798
11155,2025-07-31,20650,22700,19760,20350,3772236,0.24630541871921183,20044.0,304.0,19034.0,73.5,19044.166666666668,54.16666666666788,현대힘스,460930,537611.8833333333,1077969.7416388113,3771521.108249767,True,19044.166666666668,1367.6004431931651,23146.967996246163,27249.76932582566,31352.570655405154,35455.37198498465,13.744314477868125,33.90550037260766,54.066686267347194,74.22787216208675,0.9548354125159428,False,True,False,22600.0,True,53.3,23000.0,13.022113022113025,20250.0,-0.49140049140049546,23000.0,13.022113022113025,20250.0,-0.49140049140049546,23000.0,13.022113022113025,20250.0,-0.49140049140049546,23000.0,13.022113022113025,20250.0,-0.49140049140049546,False,False,False,False,-10579.0,3505.0,-26295.0,33369.0,-213691495.0,73906295.0,-439501410.0,579286610.0,653192905.0,2025-08-14,2025-07-31,22400.0,24500.0,21400.0,23000.0,2559713.0,3.1390134529147984,23500.0,22230.0,320.0,20440.0,226.5,19768.5,105.33333333333212,675356.4833333333,1158717.9161424313,4151510.2317606276,False,19768.5,1311.6043928461136,23703.31317853834,3.0578833849493092,27638.126357076682,20.165766769898617,31572.93953561502,37.273650154847914,35507.752714153365,54.38153353979723,True,23500.0,True,,,,,,,,,,,,,,False,False,False,False,52.8,2.4637764387078733,14389.0,8281.0,-143348.0,120678.0,329820950.0,191329100.0,-3277754000.0,2756603950.0,3277754000.0,14,151,151,85,377,377,242,35.12396694214876,40.05305039787798,40.05305039787798
13145,2025-03-18,4640,5370,4640,5190,4716009,11.85344827586207,4705.0,149.0,4793.5,0.5,4954.166666666667,1.3333333333339397,후성,093370,347015.43333333335,262785.0993417776,1135370.7313586662,True,4954.166666666667,226.6902561237915,5634.237435038041,6314.308203409416,6994.37897178079,7674.449740152165,8.559488151021993,21.662971163957916,34.76645417689384,47.86993718982976,1.0403329078447405,False,True,False,8800.0,False,57.3,5360.0,3.2755298651252485,3830.0,-26.20423892100193,5360.0,3.2755298651252485,3830.0,-26.20423892100193,5840.0,12.524084778420042,3830.0,-26.20423892100193,5840.0,12.524084778420042,3830.0,-26.20423892100193,False,False,False,False,51861.0,17741.0,-243221.0,173619.0,246246604.0,93359995.0,-1169583083.0,829976484.0,1169583083.0,2025-08-14,2025-03-18,5300.0,5940.0,5220.0,5840.0,3483398.0,10.606060606060606,7130.0,5238.0,162.0,4934.25,57.25,4783.333333333333,29.5,380866.23333333334,207710.49852755963,1003997.7289160122,True,4783.333333333333,355.80620505380284,5850.751948494742,0.18410870710173896,6918.17056365615,18.461824720139557,7985.589178817559,36.73954073317737,9053.007793978966,55.01725674621517,True,7130.0,False,,,,,,,,,,,,,,False,False,False,False,53.3,2.9697814474789284,445506.0,38040.0,-855184.0,371638.0,2574203895.0,214604580.0,-4883712995.0,2094904520.0,4883712995.0,149,567,394,188,734,487,242,77.68595041322314,80.9034907597536,77.24795640326975
13184,2025-07-22,45150,49000,45150,47250,187083,5.0,46380.0,20.0,45740.0,47.5,47608.333333333336,-57.5,휴온스글로벌,084110,52667.63333333333,23602.085246111616,123473.88907166818,True,47608.333333333336,2509.1692959137454,55135.841221074574,62663.349108815804,70190.85699655704,77718.36488429828,16.689611049893276,32.62084467474244,48.552078299591614,64.4833119244408,-0.14280954813088617,False,True,False,54900.0,False,51.6,49550.0,4.867724867724865,41400.0,-12.380952380952381,49550.0,4.867724867724865,41400.0,-12.380952380952381,49550.0,4.867724867724865,41400.0,-12.380952380952381,49550.0,4.867724867724865,41400.0,-12.380952380952381,False,False,False,False,-6503.0,260.0,29.0,6214.0,-306340550.0,11505650.0,12910750.0,281924150.0,306340550.0,2025-08-14,2025-07-22,48150.0,50500.0,48150.0,49550.0,63266.0,3.3368091762252345,54900.0,48460.0,150.0,45592.5,122.5,46830.833333333336,65.83333333333576,48426.8,28839.964550819037,134946.6936524571,False,46830.833333333336,2631.129219978199,54724.22099326793,10.442423800742548,62617.60865320253,26.372570440368374,70510.99631313713,42.30271707999421,78404.38397307173,58.23286371962004,False,54900.0,False,,,,,,,,,,,,,,False,False,False,False,52.0,1.0334599479265387,766.0,-127.0,-20539.0,19900.0,39914100.0,-6271500.0,-1023576525.0,989933925.0,1029848025.0,23,267,126,42,734,487,242,17.355371900826448,25.87268993839836,36.37602179836512
