회사,구분,점수
삼성전자,골크_단중,0
삼성전자,골크_단장,0
삼성전자,골크_중장,0
삼성전자,우상향_5,15
삼성전자,우상향_20,0
삼성전자,우상향_60,0
삼성전자,합계,15
SK하이닉스,골크_단중,15
SK하이닉스,골크_단장,15
SK하이닉스,골크_중장,15
SK하이닉스,우상향_5,15
SK하이닉스,우상향_20,15
SK하이닉스,우상향_60,25
SK하이닉스,합계,100
LG에너지솔루션,골크_단중,15
LG에너지솔루션,골크_단장,15
LG에너지솔루션,골크_중장,15
LG에너지솔루션,우상향_5,0
LG에너지솔루션,우상향_20,0
LG에너지솔루션,우상향_60,25
LG에너지솔루션,합계,70
삼성바이오로직스,골크_단중,15
삼성바이오로직스,골크_단장,15
삼성바이오로직스,골크_중장,15
삼성바이오로직스,우상향_5,15
삼성바이오로직스,우상향_20,15
삼성바이오로직스,우상향_60,0
삼성바이오로직스,합계,75
현대차,골크_단중,0
현대차,골크_단장,0
현대차,골크_중장,0
현대차,우상향_5,15
현대차,우상향_20,0
현대차,우상향_60,0
현대차,합계,15
기아,골크_단중,15
기아,골크_단장,0
기아,골크_중장,0
기아,우상향_5,15
기아,우상향_20,15
기아,우상향_60,0
기아,합계,45
셀트리온,골크_단중,0
셀트리온,골크_단장,0
셀트리온,골크_중장,0
셀트리온,우상향_5,0
셀트리온,우상향_20,0
셀트리온,우상향_60,0
셀트리온,합계,0
KB금융,골크_단중,15
KB금융,골크_단장,0
KB금융,골크_중장,0
KB금융,우상향_5,15
KB금융,우상향_20,15
KB금융,우상향_60,0
KB금융,합계,45
NAVER,골크_단중,15
NAVER,골크_단장,15
NAVER,골크_중장,15
NAVER,우상향_5,15
NAVER,우상향_20,15
NAVER,우상향_60,25
NAVER,합계,100
HD현대중공업,골크_단중,15
HD현대중공업,골크_단장,15
HD현대중공업,골크_중장,15
HD현대중공업,우상향_5,15
HD현대중공업,우상향_20,15
HD현대중공업,우상향_60,25
HD현대중공업,합계,100
신한지주,골크_단중,0
신한지주,골크_단장,0
신한지주,골크_중장,0
신한지주,우상향_5,0
신한지주,우상향_20,0
신한지주,우상향_60,0
신한지주,합계,0
현대모비스,골크_단중,0
현대모비스,골크_단장,15
현대모비스,골크_중장,15
현대모비스,우상향_5,15
현대모비스,우상향_20,15
현대모비스,우상향_60,25
현대모비스,합계,85
POSCO홀딩스,골크_단중,15
POSCO홀딩스,골크_단장,0
POSCO홀딩스,골크_중장,0
POSCO홀딩스,우상향_5,15
POSCO홀딩스,우상향_20,0
POSCO홀딩스,우상향_60,0
POSCO홀딩스,합계,30
삼성물산,골크_단중,15
삼성물산,골크_단장,0
삼성물산,골크_중장,0
삼성물산,우상향_5,15
삼성물산,우상향_20,15
삼성물산,우상향_60,0
삼성물산,합계,45
메리츠금융지주,골크_단중,0
메리츠금융지주,골크_단장,0
메리츠금융지주,골크_중장,0
메리츠금융지주,우상향_5,0
메리츠금융지주,우상향_20,0
메리츠금융지주,우상향_60,0
메리츠금융지주,합계,0
SK이노베이션,골크_단중,15
SK이노베이션,골크_단장,0
SK이노베이션,골크_중장,0
