,com_code,com_name,dump_date,High
20,900120,씨엑스아이,2024-01-24,142
14,900110,이스트아시아홀딩스,2023-10-19,160
17,900280,골든센츄리,2024-01-02,178
16,004410,서울식품,2023-12-20,203
12,900270,헝셩그룹,2023-12-28,257
10,038530,케이바이오,2024-03-19,309
6,900300,오가닉티코스메틱,2022-12-09,315
4,065420,에스아이리소스,2024-02-21,340
14,054630,에이디칩스,2023-12-19,353
24,096040,이트론,2023-04-19,421
21,032800,판타지오,2024-03-18,430
13,046070,코다코,2023-12-28,440
18,016600,큐캐피탈,2023-06-26,453
16,042040,케이피엠테크,2024-03-15,459
6,016670,디모아,2024-01-11,461
20,051780,큐로홀딩스,2023-10-19,465
14,208640,썸에이지,2023-11-20,478
3,168490,한국패러랠,2023-12-27,481
6,065150,대산F&B,2023-08-29,481
14,027040,서울전자통신,2024-03-11,527
20,096350,대창솔루션,2024-02-23,540
19,004060,SG세계물산,2023-11-29,544
23,021880,메이슨캐피탈,2023-12-26,546
14,043100,솔고바이오,2023-10-13,550
12,038880,아이에이,2024-02-16,564
15,052300,씨티프라퍼티,2023-12-11,570
16,096690,에이루트,2023-10-25,575
9,042940,상지카일룸,2024-03-15,593
11,040350,큐로컴,2023-10-16,595
11,003060,에이프로젠바이오로직스,2023-08-10,612
14,123840,뉴온,2023-02-08,629
10,001620,케이비아이동국실업,2023-12-06,645
8,101400,엔시트론,2024-02-23,664
9,007720,대명소노시즌,2024-01-11,670
17,083640,인콘,2023-12-08,677
12,001510,SK증권,2023-12-04,694
9,000890,보해양조,2023-01-19,696
13,023760,한국캐피탈,2024-02-22,702
20,065170,비엘팜텍,2023-09-27,718
3,054220,비츠로시스,2023-12-21,729
13,118000,에스메디,2023-05-04,730
0,115530,씨엔플러스,2023-01-13,731
22,044380,주연테크,2023-09-26,735
5,004870,티웨이홀딩스,2023-01-19,745
15,002630,오리엔트바이오,2023-09-27,749
16,363260,모비데이즈,2023-12-22,764
17,054300,팬스타엔터프라이즈,2023-09-21,779
23,035620,바른손이앤에이,2024-01-04,793
24,245620,EDGC,2024-02-27,798
18,019570,리더스 기술투자,2024-01-10,800
4,035290,골드앤에스,2024-03-07,803
10,012160,영흥,2023-06-05,813
14,008290,원풍물산,2024-01-30,826
9,044180,KD,2024-03-04,832
18,043200,파루,2023-10-23,834
20,227950,엔투텍,2024-02-26,836
21,114630,폴라리스우노,2023-10-12,840
15,008970,동양철관,2023-12-28,847
18,030350,드래곤플라이,2023-11-24,848
33,032680,소프트센,2024-02-16,860
11,065060,지엔코,2022-03-24,864
12,900260,로스웰,2024-03-07,870
13,072520,제넨바이오,2024-01-10,880
13,184230,SGA솔루션즈,2024-03-13,886
26,002360,SH에너지화학,2023-10-17,912
14,038620,위즈코프,2023-12-19,915
13,071950,코아스,2023-05-17,916
17,208710,바이오로그디바이스,2024-02-21,920
16,195990,에이비프로바이오,2023-09-26,940
14,015020,이스타코,2023-05-18,940
12,009310,참엔지니어링,2024-02-15,941
13,049470,SGA,2023-06-22,950
15,001210,금호전기,2024-02-26,972
16,900070,글로벌에스엠,2023-05-25,990
15,214330,금호에이치티,2023-07-05,993
10,005320,국동,2023-12-14,993
10,152550,한국ANKOR유전,2023-10-16,994
19,193250,와이제이엠게임즈,2023-12-01,999
19,010280,쌍용정보통신,2024-01-16,1010
6,001290,상상인증권,2023-02-02,1020
13,025750,한솔홈데코,2023-11-22,1030
14,001020,페이퍼코리아,2023-12-26,1044
21,036090,위지트,2024-02-15,1048
13,031820,콤텍시스템,2023-05-30,1051
10,085310,엔케이,2023-12-04,1059
15,131760,파인텍,2024-03-07,1059
14,043710,서울리거,2023-05-16,1062
16,033830,티비씨,2023-11-23,1080
17,019550,SBI인베스트먼트,2024-01-11,1080
19,006200,한국전자홀딩스,2023-12-07,1088
17,002870,신풍,2024-01-10,1092
17,219550,디와이디,2024-03-15,1099
10,001520,동양,2023-11-22,1107
16,145270,케이탑리츠,2023-12-26,1116
6,131090,시큐브,2023-08-23,1129
18,033050,제이엠아이,2023-12-28,1155
17,012280,영화금속,2023-03-15,1165
16,043340,에쎈테크,2023-02-22,1190
13,011370,서한,2023-05-09,1190
10,036180,지더블유바이텍,2023-08-29,1198
20,060260,뉴보텍,2023-06-29,1200
8,192410,휴림네트웍스,2024-02-20,1202
10,250930,예선테크,2023-06-23,1215
17,050090,비케이홀딩스,2024-03-19,1225
12,214310,에스엘에너지,2022-08-11,1236
24,008040,사조동아원,2023-05-25,1238
19,200230,텔콘RF제약,2023-11-14,1238
24,102280,쌍방울,2022-04-20,1240
17,000300,대유플러스,2023-06-08,1255
7,053590,한국테크놀로지,2022-03-25,1260
15,058400,KNN,2023-11-22,1280
7,079970,투비소프트,2022-10-11,1285
11,031860,에스유홀딩스,2023-08-09,1288
18,060560,홈센타홀딩스,2024-03-04,1290
12,007110,일신석재,2024-01-12,1294
7,036630,세종텔레콤,2021-11-19,1305
15,252500,세화피앤씨,2023-08-11,1319
11,115480,씨유메디칼,2023-06-23,1320
3,129890,앱코,2024-01-10,1339
18,011080,형지I&C,2023-05-22,1340
23,002680,한탑,2024-01-15,1350
21,020180,대신정보통신,2023-06-20,1350
20,084180,수성웹툰,2023-06-02,1352
17,041590,플래스크,2024-03-14,1375
20,007460,에이프로젠,2024-03-19,1387
8,353190,휴럼,2022-12-16,1390
13,099220,SDN,2023-12-20,1394
13,153490,우리이앤엘,2023-04-12,1406
17,192250,케이사인,2024-01-23,1410
22,002780,진흥기업,2023-06-05,1414
19,014160,대영포장,2024-01-10,1419
11,054940,엑사이엔씨,2023-06-22,1425
6,230980,비유테크놀러지,2022-08-29,1425
15,007120,미래아이앤지,2024-01-02,1430
16,014990,인디에프,2023-06-16,1430
16,900310,컬러레이,2023-07-18,1433
0,056730,CNT85,2023-12-15,1443
15,006490,인스코비,2024-01-23,1445
21,225430,케이엠제약,2023-06-27,1450
13,027970,한국제지,2022-11-30,1450
8,359090,씨엔알리서치,2024-01-15,1453
0,138360,협진,2023-11-17,1454
14,049080,기가레인,2024-02-26,1455
16,079950,인베니아,2023-12-20,1463
10,034830,한국토지신탁,2023-06-20,1478
10,009270,신원,2024-01-03,1500
8,049630,재영솔루텍,2021-09-02,1505
23,018620,우진비앤지,2023-10-23,1505
16,036170,클라우드에어,2023-06-05,1513
19,002760,보락,2023-12-19,1513
26,037950,엘컴텍,2024-03-07,1513
10,093240,형지엘리트,2024-01-02,1520
18,006340,대원전선,2024-03-14,1522
17,290660,네오펙트,2024-02-21,1524
7,276730,제주맥주,2024-03-19,1535
17,065650,메디프론,2024-02-15,1547
11,032980,바이온,2024-01-05,1580
17,331520,밸로프,2023-07-14,1580
17,045510,정원엔시스,2023-11-20,1595
22,293580,나우IB,2023-09-06,1595
20,032820,우리기술,2024-03-14,1597
24,027740,마니커,2023-05-22,1598
10,090150,아이윈,2024-01-08,1599
18,052900,KX하이텍,2024-02-27,1611
16,052420,오성첨단소재,2024-01-22,1614
18,065500,오리엔트정공,2023-05-15,1623
19,023440,제이스코홀딩스,2024-03-06,1624
11,065770,CS,2024-01-25,1626
6,049120,파인디앤씨,2023-08-29,1627
2,204610,티쓰리,2023-10-12,1629
6,020760,일진디스플,2023-05-31,1634
24,050110,캠시스,2024-01-26,1635
10,005110,한창,2024-03-19,1638
16,068330,일신바이오,2024-01-04,1650
18,187790,나노,2023-11-21,1651
17,333050,모코엠시스,2024-01-23,1665
8,196450,코아시아씨엠,2024-01-12,1670
26,013000,세우글로벌,2024-03-11,1679
4,079190,케스피온,2023-05-04,1681
8,035890,서희건설,2023-05-19,1685
14,038060,루멘스,2023-11-09,1689
5,078590,휴림에이텍,2024-02-21,1695
13,900340,윙입푸드,2023-08-28,1697
19,016920,카스,2023-10-06,1698
9,143540,영우디에스피,2023-03-31,1700
15,225590,패션플랫폼,2023-06-09,1702
15,328380,솔트웨어,2024-03-19,1713
22,043910,자연과환경,2023-07-17,1719
15,006050,국영지앤엠,2023-06-20,1721
19,043260,성호전자,2024-02-27,1730
3,452260,한화갤러리아,2024-02-20,1734
30,027710,팜스토리,2024-01-17,1742
20,009620,삼보산업,2023-11-07,1745
12,014910,성문전자,2024-01-08,1746
17,297570,알로이스,2023-11-29,1747
8,079650,서산,2024-03-15,1748
17,074430,아미노로직스,2023-11-08,1749
3,226360,KH 건설,2022-06-08,1760
7,065690,파커스,2023-11-28,1765
18,258790,소프트캠프,2024-01-19,1787
24,021050,서원,2024-02-15,1790
13,037760,쎄니트,2023-06-16,1809
