년월,선행,동행,kospi,kosdaq,snp,nasdaq,usdkrw,jpykrw
1996-01,104.3,104.5,878.82,,636.02001953125,1059.7900390625,,
1996-02,103.9,104.9,852.83,,640.4299926757812,1100.050048828125,,
1996-03,104.0,104.7,874.16,,645.5,1101.4000244140625,,
1996-04,103.5,104.9,980.9,,654.1699829101562,1190.52001953125,,
1996-05,103.2,105.2,903.09,,669.1199951171875,1243.4300537109375,,
1996-06,102.1,105.0,817.43,,670.6300048828125,1185.02001953125,,
1996-07,102.0,104.9,821.71,1141.3,639.9500122070312,1080.5899658203125,,
1996-08,101.7,104.6,781.49,1155.3,651.989990234375,1141.5,,
1996-09,100.8,104.6,789.67,1168.8,687.3300170898438,1226.9200439453125,,
1996-10,99.9,104.7,757.59,1223.5,705.27001953125,1221.510009765625,,
1996-11,99.4,104.8,726.48,1272.7,757.02001953125,1292.6099853515625,,
1996-12,99.8,104.9,651.22,1204.7,740.739990234375,1291.030029296875,,
1997-01,99.6,104.3,685.84,1207.9,786.1599731445312,1379.8499755859375,,
1997-02,99.9,104.3,676.53,1183.5,790.8200073242188,1309.0,,
1997-03,100.0,104.1,677.34,1204.7,757.1199951171875,1221.699951171875,,
1997-04,100.7,104.5,703.23,1252.9,801.3400268554688,1260.760009765625,,
1997-05,100.6,104.5,756.77,1308.1,848.280029296875,1400.3199462890625,,
1997-06,100.9,104.3,745.4,1331.1,885.1400146484375,1442.0699462890625,,
1997-07,100.7,104.2,726.12,1331.3,954.3099975585938,1593.81005859375,,
1997-08,100.9,104.2,695.37,1340.1,899.469970703125,1587.3199462890625,,
1997-09,100.6,104.1,647.11,1327.4,947.280029296875,1685.68994140625,,
1997-10,100.0,103.7,470.79,1204.3,914.6199951171875,1593.6099853515625,,
1997-11,98.8,103.2,407.86,1098.1,955.4000244140625,1600.550048828125,,
1997-12,96.1,102.3,376.31,972.5,970.4299926757812,1570.3499755859375,,
1998-01,93.3,100.6,567.38,1031.2,980.280029296875,1619.3599853515625,,
1998-02,91.8,98.6,558.98,1032.7,1049.3399658203125,1770.510009765625,,
1998-03,91.9,96.5,481.04,1030.6,1101.75,1835.6800537109375,,
1998-04,92.6,95.4,421.22,906.0,1111.75,1868.4100341796875,,
1998-05,92.9,94.7,332.03,782.9,1090.8199462890625,1778.8699951171875,,
1998-06,92.7,93.9,297.88,746.7,1133.8399658203125,1894.739990234375,,
1998-07,93.0,93.3,343.33,698.1,1120.6700439453125,1872.3900146484375,,
1998-08,93.6,93.0,310.16,637.6,957.280029296875,1499.25,,
1998-09,94.0,93.2,310.32,610.3,1017.010009765625,1693.8399658203125,,
1998-10,94.5,94.3,403.44,639.4,1098.6700439453125,1771.3900146484375,,
1998-11,95.1,95.5,451.88,641.3,1163.6300048828125,1949.5400390625,,
1998-12,95.9,96.1,562.46,751.8,1229.22998046875,2192.68994140625,,
1999-01,96.9,96.5,571.43,761.6,1279.6400146484375,2505.889892578125,,
1999-02,98.2,96.6,520.06,723.0,1238.3299560546875,2288.030029296875,,
1999-03,99.3,96.9,618.98,797.9,1286.3699951171875,2461.39990234375,,
1999-04,100.2,97.2,752.59,1191.0,1335.1800537109375,2542.860107421875,,
1999-05,101.0,97.5,736.02,1454.8,1301.8399658203125,2470.52001953125,,
1999-06,102.4,98.1,883.0,1795.5,1372.7099609375,2686.1201171875,,
1999-07,103.6,98.8,969.72,1929.7,1328.719970703125,2638.489990234375,,
1999-08,104.2,99.3,937.88,2009.6,1320.4100341796875,2739.35009765625,,
1999-09,104.2,99.8,836.18,1571.2,1282.7099609375,2746.159912109375,,
1999-10,103.9,99.9,833.51,1793.8,1362.9300537109375,2966.429931640625,,
1999-11,104.2,100.4,996.66,2292.0,1388.9100341796875,3336.159912109375,,
1999-12,104.1,100.4,1028.07,2561.4,1469.25,4069.31005859375,,
2000-01,105.1,100.4,943.88,1903.7,1394.4599609375,3940.35009765625,,
2000-02,105.1,100.4,828.38,2663.7,1366.4200439453125,4696.68994140625,,
2000-03,105.2,100.7,860.94,2212.7,1498.5799560546875,4572.830078125,,
2000-04,104.5,100.9,725.39,1581.8,1452.4300537109375,3860.659912109375,,
2000-05,104.2,101.4,731.88,1441.5,1420.5999755859375,3400.909912109375,,
2000-06,104.2,101.7,821.22,1518.6,1454.5999755859375,3966.110107421875,,
2000-07,104.1,102.6,705.97,1158.0,1430.8299560546875,3766.989990234375,,
2000-08,104.5,102.6,688.62,1085.9,1517.6800537109375,4206.35009765625,,
2000-09,103.7,102.3,613.22,901.7,1436.510009765625,3672.820068359375,,
2000-10,102.2,101.7,514.48,746.8,1429.4000244140625,3369.6298828125,,
2000-11,99.7,101.2,509.23,672.6,1314.949951171875,2597.929931640625,,
2000-12,98.3,100.7,504.62,525.8,1320.280029296875,2470.52001953125,,
2001-01,96.9,100.3,617.91,843.6,1366.010009765625,2772.72998046875,,
2001-02,96.6,99.9,578.1,767.6,1239.93994140625,2151.830078125,,
2001-03,96.7,99.8,523.22,684.3,1160.3299560546875,1840.260009765625,,
2001-04,96.8,99.6,577.36,789.7,1249.4599609375,2116.239990234375,,
2001-05,97.2,99.8,612.16,813.5,1255.8199462890625,2110.489990234375,,
2001-06,97.3,99.8,595.13,768.7,1224.3800048828125,2160.5400390625,,
2001-07,97.0,99.2,541.55,680.9,1211.22998046875,2027.1300048828125,,
2001-08,96.7,99.0,545.11,618.4,1133.5799560546875,1805.4300537109375,,
2001-09,96.7,99.4,479.68,516.4,1040.93994140625,1498.800048828125,,
2001-10,97.0,99.8,537.81,625.5,1059.780029296875,1690.199951171875,,
2001-11,98.1,100.1,643.89,705.2,1139.449951171875,1930.5799560546875,,
2001-12,99.4,99.7,693.7,722.1,1148.0799560546875,1950.4000244140625,,
2002-01,101.1,100.1,748.07,773.6,1130.199951171875,1934.030029296875,,
2002-02,102.3,100.6,819.99,787.1,1106.72998046875,1731.489990234375,,
2002-03,103.7,101.4,895.58,927.3,1147.3900146484375,1845.3499755859375,,
2002-04,104.0,101.7,842.34,733.4,1076.9200439453125,1688.22998046875,,
2002-05,103.7,101.5,796.4,697.8,1067.1400146484375,1615.72998046875,,
2002-06,102.7,101.0,742.72,608.5,989.8200073242188,1463.2099609375,,
2002-07,102.1,101.0,717.99,586.2,911.6199951171875,1328.260009765625,,
2002-08,101.6,101.0,736.4,591.1,916.0700073242188,1314.8499755859375,,
2002-09,101.1,101.3,646.42,467.1,815.280029296875,1172.06005859375,,
2002-10,100.3,101.2,658.92,480.5,885.760009765625,1329.75,,
2002-11,100.2,101.5,724.8,519.0,936.3099975585938,1478.780029296875,,
2002-12,100.3,101.3,627.55,443.6,879.8200073242188,1335.510009765625,,
2003-01,100.1,101.2,591.86,433.9,855.7000122070312,1320.9100341796875,,
2003-02,99.9,100.7,575.43,417.8,841.1500244140625,1337.52001953125,,
2003-03,99.6,100.4,535.7,377.7,848.1799926757812,1341.1700439453125,,
2003-04,99.2,99.8,599.35,428.0,916.9199829101562,1464.31005859375,,
2003-05,99.0,99.7,633.42,471.8,963.5900268554688,1595.9100341796875,,
2003-06,99.4,99.8,669.93,497.5,974.5,1622.800048828125,,
2003-07,99.3,99.7,713.52,493.3,990.3099975585938,1735.02001953125,,
2003-08,99.8,99.8,759.47,495.4,1008.010009765625,1810.449951171875,,
2003-09,100.0,99.8,697.52,448.6,995.969970703125,1786.93994140625,,
2003-10,100.4,100.2,782.36,463.8,1050.7099609375,1932.2099609375,,
